time,side,ticker_id,mv_up_composite_labels,accel_price_5_df021,dist_lower_bb_50_2.0_df055
2015-08-24 00:00:00+00,LONG,2923,0.0,-0.03651473,0.038983926
2015-08-24 00:00:00+00,LONG,959,1.0,-0.037921175,0.051489018
2015-08-24 00:00:00+00,LONG,974,0.0,-0.039267752,0.048270185
2015-08-24 00:00:00+00,LONG,1144,0.5347353233646894,-0.03000612,0.047923293
2015-08-24 00:00:00+00,LONG,1377,0.4081481982057356,-0.03925236,0.058863897
2015-08-24 00:00:00+00,LONG,3429,0.0,-0.039798617,0.033696752
2015-08-24 00:00:00+00,LONG,1865,1.0,-0.010935287,0.04821688
2015-08-24 00:00:00+00,LONG,1919,1.0,-0.02233734,0.053161044
2015-08-25 00:00:00+00,LONG,273,0.0,-0.032034017,0.06045586
2015-08-25 00:00:00+00,LONG,2437,0.0,-0.004700206,0.047699787
2015-08-25 00:00:00+00,LONG,405,0.5457113716852623,-0.013650049,0.033873904
2015-08-25 00:00:00+00,LONG,558,0.9583333333333334,-0.023623016,0.039626736
2015-08-25 00:00:00+00,LONG,2710,0.9523809523809523,-0.03013916,0.052695766
