time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_high52_vol_norm_20_df015,skew_weighted_20_df037
2007-01-16 00:00:00+00,LONG,3466,0.8888888888888888,-0.3482846,-0.156459,-0.48253936
2007-01-16 00:00:00+00,LONG,1462,0.7353437869798869,-0.3073027,-0.088628486,-0.53593636
2007-01-16 00:00:00+00,LONG,1740,0.7230675765595123,0.44851887,-0.17462943,-0.5006926
2007-01-17 00:00:00+00,LONG,2546,0.12900081994137888,0.41744325,-0.061391134,-0.54214424
2007-01-17 00:00:00+00,LONG,2619,0.0,0.11709953,-0.19801801,-0.50165176
2007-01-17 00:00:00+00,LONG,1411,0.9375,0.26130635,-0.046609625,-0.48479006
2007-01-17 00:00:00+00,LONG,3466,0.8518518518518519,-0.22557952,-0.16950186,-0.5222155
2007-01-17 00:00:00+00,LONG,1740,0.6977556904084217,-0.30910605,-0.18188342,-0.5392055
2007-01-18 00:00:00+00,LONG,2619,0.0,0.04868799,-0.21532118,-0.5172639
2007-01-18 00:00:00+00,LONG,1411,0.90625,-0.16120052,-0.047333684,-0.50644654
2007-01-18 00:00:00+00,LONG,3466,0.8148148148148149,0.11035142,-0.18518274,-0.51072377
2007-01-18 00:00:00+00,LONG,1790,0.5080575298680404,-0.12154387,-0.108630024,-0.50508636
2007-01-19 00:00:00+00,LONG,907,0.38174658644629633,0.12948303,-0.06781402,-0.49459568
2007-01-25 00:00:00+00,LONG,3179,0.0,-0.06871322,-0.034806795,-0.49610338
2007-01-26 00:00:00+00,LONG,3179,0.0,0.049117237,-0.036280993,-0.52174604
2007-02-27 00:00:00+00,LONG,918,0.0,0.32456997,-0.07074437,-0.48088786
2007-03-02 00:00:00+00,LONG,2971,0.37914347529849,-0.4559243,-0.20567423,-0.49986658
2007-03-05 00:00:00+00,LONG,4171,0.36467783591412056,0.25272927,-0.03430668,-0.51931506
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,0.04148975,-0.055487234,-0.5152438
2007-03-06 00:00:00+00,LONG,4171,0.163817299545153,-0.58114356,-0.030996872,-0.48135883
2007-03-07 00:00:00+00,LONG,4171,0.1661291763747204,-0.3391812,-0.03330377,-0.48115003
2007-03-08 00:00:00+00,LONG,2116,0.9,0.16658404,-0.21752131,-0.49603233
2007-03-08 00:00:00+00,LONG,3912,0.6033899832322704,0.12825243,-0.08342906,-0.47646677
2007-03-09 00:00:00+00,LONG,2116,0.8666666666666667,-0.06716881,-0.22268152,-0.4875444
2007-03-09 00:00:00+00,LONG,505,1.0,0.0018840779,-0.07617515,-0.5150294
2007-03-14 00:00:00+00,LONG,516,1.0,-0.23645541,-0.06367318,-0.48416692
2007-03-14 00:00:00+00,LONG,3218,0.3958746765124739,0.18656251,-0.04744002,-0.53521
2007-03-14 00:00:00+00,LONG,1967,0.3445636912995648,-0.029127765,-0.0694947,-0.48076856
2007-03-15 00:00:00+00,LONG,3275,0.0,-0.47036034,-0.16959848,-0.526746
2007-03-16 00:00:00+00,LONG,516,0.9555555555555556,0.17567848,-0.060261123,-0.5277242
2007-03-16 00:00:00+00,LONG,3218,0.3207446141934666,-0.16662262,-0.04646509,-0.5302913
2007-03-16 00:00:00+00,LONG,3742,0.5791285317415726,-0.1605353,-0.15395042,-0.48473284
2007-03-16 00:00:00+00,LONG,1967,0.2727954033613855,0.25734788,-0.07539485,-0.5450304
2007-03-20 00:00:00+00,LONG,167,0.0,-0.6019415,-0.2051235,-0.48414654
2007-03-20 00:00:00+00,LONG,900,0.8571428571428572,0.2900161,-0.051816363,-0.4972143
2007-03-20 00:00:00+00,LONG,1171,0.16628661763864305,0.2427,-0.072493285,-0.5283377
2007-03-21 00:00:00+00,LONG,3612,0.8524590163934427,0.18744168,-0.1657341,-0.5040513
2007-03-28 00:00:00+00,LONG,2084,0.3560647700745481,-0.29751378,-0.18230723,-0.52888936
2007-03-29 00:00:00+00,LONG,195,0.0,0.35574883,-0.12875096,-0.52937216
2007-03-30 00:00:00+00,LONG,1816,0.13559248715373715,-0.04955164,-0.12575328,-0.4858048
