time,side,ticker_id,mv_dn_composite_labels,weighted_pos_sum_20_df035,joint_fall_flag_5_5_df042,ma_cloud_diff_8_100_df007,dist_upper_bb_50_2.0_df055
2005-07-01 00:00:00+00,SHORT,787,1.0,0.10947298,0.0,0.02391657,-0.0029333404
2005-07-01 00:00:00+00,SHORT,2041,0.0,0.09883462,0.0,0.05314922,-0.015827147
2005-07-05 00:00:00+00,SHORT,444,0.0,0.113242686,0.0,-0.02067723,-0.01988599
2005-07-05 00:00:00+00,SHORT,687,0.0,0.11034566,0.0,0.030861638,-0.019606085
2005-07-05 00:00:00+00,SHORT,787,0.9230769230769231,0.10146104,0.0,0.026029326,-0.012497689
2005-07-06 00:00:00+00,SHORT,787,0.0,0.10005892,0.0,0.026890272,-0.021530364
2005-07-06 00:00:00+00,SHORT,1816,0.0,0.072265655,0.0,-0.060273442,-0.022341026
2005-07-08 00:00:00+00,SHORT,773,0.0,0.14635603,0.0,0.016461015,-0.015033575
2005-07-11 00:00:00+00,SHORT,773,0.0,0.14312528,0.0,0.017897217,-0.01475332
2005-07-11 00:00:00+00,SHORT,934,0.0,0.1390223,0.0,-0.014329473,-0.01145889
2005-07-11 00:00:00+00,SHORT,3641,0.0,0.10094615,0.0,-0.0036011154,-0.015870806
2005-07-11 00:00:00+00,SHORT,1816,0.0,0.09246117,0.0,-0.05696045,-0.0070717274
2005-07-12 00:00:00+00,SHORT,28,1.0,0.05389739,0.0,0.029854486,0.0021865978
2005-07-12 00:00:00+00,SHORT,559,0.19109716393852472,0.056885976,0.0,0.0217426,-0.009608715
