time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,sessions_since_bearish_13_100_df059,velocity_price_vs_etf_diff_5_df050
2008-08-20 00:00:00+00,LONG,555,0.0,-0.08153337,4.0,-0.033635367
2008-08-20 00:00:00+00,LONG,1846,0.0,-0.71207976,3.0,-0.029986482
2008-08-21 00:00:00+00,LONG,1846,0.0,0.29786283,4.0,-0.04011488
2008-09-12 00:00:00+00,LONG,2050,0.0,-0.16473594,3.0,-0.0419602
2008-09-15 00:00:00+00,LONG,2050,0.0,0.35573146,4.0,-0.054686125
2008-10-16 00:00:00+00,LONG,2408,0.0,0.23458648,3.0,-0.041068066
2008-11-28 00:00:00+00,LONG,786,0.0,-0.34920135,3.0,-0.033390477
2009-01-26 00:00:00+00,LONG,858,0.0,0.13568579,3.0,-0.034090623
2009-01-27 00:00:00+00,LONG,2370,0.0,-0.35145915,3.0,-0.04848447
2009-01-27 00:00:00+00,LONG,858,0.0,0.090447225,4.0,-0.03307442
2009-01-28 00:00:00+00,LONG,2370,0.0,-0.05324403,4.0,-0.04490955
2009-03-04 00:00:00+00,LONG,558,0.975,0.022919655,3.0,-0.02986078
2009-03-09 00:00:00+00,LONG,2661,0.7031689694734616,0.51972085,4.0,-0.045994986
2009-03-09 00:00:00+00,LONG,3885,1.0,0.5839175,3.0,-0.050292376
2009-03-11 00:00:00+00,LONG,858,0.9,0.40828922,3.0,-0.052046858
2009-03-11 00:00:00+00,LONG,2938,0.20498303593711512,0.030561073,3.0,-0.06545832
2009-04-03 00:00:00+00,LONG,2582,0.0,0.060259856,3.0,-0.04538261
2009-04-21 00:00:00+00,LONG,3645,1.0,0.67915714,3.0,-0.057124205
2009-04-29 00:00:00+00,LONG,1210,0.0,-0.30125624,4.0,-0.03424405
2009-05-07 00:00:00+00,LONG,2151,0.825,-0.20163605,3.0,-0.045157462
2009-05-08 00:00:00+00,LONG,2151,0.8,0.38601905,4.0,-0.047317587
2009-05-08 00:00:00+00,LONG,417,0.88,0.83325285,4.0,-0.036597513
2009-05-08 00:00:00+00,LONG,594,0.2902511965327635,0.30222586,3.0,-0.049997732
2009-05-21 00:00:00+00,LONG,4176,1.0,-0.17435502,3.0,-0.04367774
2009-06-01 00:00:00+00,LONG,773,0.9583333333333334,0.32143906,3.0,-0.065382116
2009-06-02 00:00:00+00,LONG,773,0.9166666666666666,0.3482099,4.0,-0.04412145
2009-07-09 00:00:00+00,LONG,4169,0.9583333333333334,-0.58820516,4.0,-0.048866555
2009-07-13 00:00:00+00,LONG,4187,0.7603635754459181,-0.06618907,3.0,-0.038583048
2009-07-13 00:00:00+00,LONG,842,1.0,0.37137166,4.0,-0.030678887
2009-07-13 00:00:00+00,LONG,1012,0.9319539517249994,-0.069755144,4.0,-0.029845279
2009-07-14 00:00:00+00,LONG,4187,0.7075907963789785,-0.14996512,4.0,-0.0340657
2009-07-15 00:00:00+00,LONG,558,0.9428571428571428,0.16307686,3.0,-0.050626386
2009-07-15 00:00:00+00,LONG,900,0.9583333333333334,0.057465818,4.0,-0.040650606
2009-07-20 00:00:00+00,LONG,4059,0.5754376894909486,-0.044883426,3.0,-0.031042006
2009-08-07 00:00:00+00,LONG,3825,0.520653933301047,-0.123150304,4.0,-0.03993587
2009-08-24 00:00:00+00,LONG,843,0.42592592592592593,-0.07148726,3.0,-0.05315924
2009-08-25 00:00:00+00,LONG,843,0.40740740740740744,-0.34952503,4.0,-0.042635284
2009-09-15 00:00:00+00,LONG,2431,0.0,0.2000704,3.0,-0.03611764
2009-09-16 00:00:00+00,LONG,1108,0.7692307692307693,0.14273357,3.0,-0.030684434
2009-09-29 00:00:00+00,LONG,2582,0.0,0.011956086,3.0,-0.03596754
2009-10-12 00:00:00+00,LONG,1108,0.3076923076923077,-0.35549277,3.0,-0.032793198
2009-10-12 00:00:00+00,LONG,3179,0.7088927300949666,-0.08452322,3.0,-0.03186083
2009-10-14 00:00:00+00,LONG,1840,0.8378378378378378,0.30271316,3.0,-0.033175804
2009-10-16 00:00:00+00,LONG,516,0.0,0.5784766,3.0,-0.06540592
2009-10-19 00:00:00+00,LONG,516,0.0,0.54257715,4.0,-0.06849485
2009-11-03 00:00:00+00,LONG,2835,1.0,0.46726635,4.0,-0.050510645
2009-11-04 00:00:00+00,LONG,84,0.9777777777777777,-0.32848695,3.0,-0.036897395
2009-11-04 00:00:00+00,LONG,195,0.6046629196302061,0.47517177,4.0,-0.034488015
2009-11-06 00:00:00+00,LONG,3359,0.5411775786584013,0.21312904,3.0,-0.046583496
2009-11-10 00:00:00+00,LONG,1333,0.3072070334908376,0.06365593,3.0,-0.030551415
2009-11-11 00:00:00+00,LONG,1333,0.24049236281049652,-0.12375376,4.0,-0.040214594
2009-11-12 00:00:00+00,LONG,335,0.8103448275862069,0.1883222,4.0,-0.036575764
2009-11-12 00:00:00+00,LONG,3216,0.7727272727272727,0.38826424,4.0,-0.028718442
2009-11-13 00:00:00+00,LONG,2508,0.8,-0.49256393,4.0,-0.06753276
2009-11-16 00:00:00+00,LONG,1011,0.6818181818181819,0.14839678,4.0,-0.037944946
2009-11-16 00:00:00+00,LONG,1411,0.0,-0.3132723,4.0,-0.030006934
2009-12-01 00:00:00+00,LONG,934,0.0,0.010694306,3.0,-0.036124323
2009-12-03 00:00:00+00,LONG,1360,0.6140350877192983,0.06954012,3.0,-0.03176398
2009-12-11 00:00:00+00,LONG,76,0.0,-0.65637165,4.0,-0.053806633
2009-12-11 00:00:00+00,LONG,1851,0.9523809523809523,-0.3990573,3.0,-0.03651726
2009-12-29 00:00:00+00,LONG,1463,0.0,-0.029605888,3.0,-0.029230071
2009-12-29 00:00:00+00,LONG,3923,0.3190833281655674,-0.03700128,4.0,-0.03587402
2010-02-08 00:00:00+00,LONG,2072,0.9818181818181818,-0.49886632,4.0,-0.029450525
2010-02-08 00:00:00+00,LONG,2816,0.0,-0.4889527,3.0,-0.04763848
2010-02-08 00:00:00+00,LONG,3905,0.9818181818181818,-0.57819724,3.0,-0.039092634
2010-02-09 00:00:00+00,LONG,4097,1.0,-0.028702414,3.0,-0.043618932
2010-02-09 00:00:00+00,LONG,487,0.0,-0.2743447,3.0,-0.028872848
2010-02-09 00:00:00+00,LONG,3905,0.9636363636363636,0.07427739,4.0,-0.051681254
2010-02-11 00:00:00+00,LONG,2352,1.0,-0.51600724,4.0,-0.036222413
2010-02-12 00:00:00+00,LONG,834,0.458105313978733,0.75533867,3.0,-0.032915194
2010-02-12 00:00:00+00,LONG,857,0.9827586206896551,0.08423669,4.0,-0.032446366
2010-02-12 00:00:00+00,LONG,3021,1.0,-0.1840614,4.0,-0.03540051
2010-02-16 00:00:00+00,LONG,834,0.3808417567956149,-0.50015604,4.0,-0.042497527
2010-02-17 00:00:00+00,LONG,220,0.78125,0.06666138,3.0,-0.042925484
2010-02-18 00:00:00+00,LONG,2262,0.2348464701401026,-0.11511208,3.0,-0.029421488
2010-02-18 00:00:00+00,LONG,220,0.75,0.60297304,4.0,-0.030310223
2010-03-10 00:00:00+00,LONG,622,0.0,0.051668588,4.0,-0.04381451
2010-03-15 00:00:00+00,LONG,4083,0.0,-0.6422754,4.0,-0.044767376
2010-03-19 00:00:00+00,LONG,19,0.0,0.39888948,4.0,-0.036417942
2010-03-30 00:00:00+00,LONG,2835,0.0,0.69792473,3.0,-0.035109002
2010-04-14 00:00:00+00,LONG,91,0.0,0.6253362,4.0,-0.029191796
2010-04-14 00:00:00+00,LONG,2508,0.0,0.48346543,3.0,-0.051809736
2010-04-15 00:00:00+00,LONG,111,0.0,-0.002747821,3.0,-0.028450064
2010-05-10 00:00:00+00,LONG,937,0.0,-0.5612906,4.0,-0.03002203
2010-05-25 00:00:00+00,LONG,2990,0.0,0.25660247,4.0,-0.028529003
2010-05-25 00:00:00+00,LONG,1897,1.0,0.22742961,3.0,-0.03408798
2010-05-26 00:00:00+00,LONG,2638,0.0,0.018171094,4.0,-0.029454261
2010-05-27 00:00:00+00,LONG,4176,0.9591836734693877,-0.10857164,3.0,-0.03382396
2010-06-02 00:00:00+00,LONG,2482,0.0,-0.18501028,3.0,-0.032465395
2010-06-03 00:00:00+00,LONG,2482,0.0,0.6573748,4.0,-0.04351415
2010-06-08 00:00:00+00,LONG,920,0.5931479448703033,0.7909908,3.0,-0.0291548
2010-07-06 00:00:00+00,LONG,835,0.7623071536481874,0.008620891,3.0,-0.03652844
2010-07-06 00:00:00+00,LONG,2912,0.73023846795492,0.21262075,3.0,-0.05442862
2010-07-07 00:00:00+00,LONG,304,0.9714285714285714,-0.632519,4.0,-0.07169181
2010-07-07 00:00:00+00,LONG,791,0.6566629048513444,-0.57769585,4.0,-0.054944057
2010-07-08 00:00:00+00,LONG,1195,0.0,0.3220093,3.0,-0.06736277
2010-07-13 00:00:00+00,LONG,4070,0.0,-0.1566918,3.0,-0.05194973
2010-09-01 00:00:00+00,LONG,2159,0.4445501541144541,0.6413638,3.0,-0.054236542
2010-09-01 00:00:00+00,LONG,2613,0.9545454545454546,-0.61893165,3.0,-0.033428185
2010-09-02 00:00:00+00,LONG,2262,0.0,-0.44656017,3.0,-0.029688863
2010-09-14 00:00:00+00,LONG,1072,1.0,-0.30735973,3.0,-0.03513427
2010-09-15 00:00:00+00,LONG,1072,0.9777777777777777,-0.6779447,4.0,-0.052694872
2010-10-08 00:00:00+00,LONG,5,0.16291943389182123,0.46330777,3.0,-0.040521096
2010-10-11 00:00:00+00,LONG,5,0.15306357109052748,-0.6578009,4.0,-0.0386524
2010-12-01 00:00:00+00,LONG,3078,0.6571428571428571,0.1210991,3.0,-0.035962705
2011-02-02 00:00:00+00,LONG,2751,0.0,0.2065403,3.0,-0.029451756
2011-02-23 00:00:00+00,LONG,9,0.3284521216369166,0.16820072,3.0,-0.029584603
