id,strategy,ticker,ticker_id,signal_date,side,close_reason,entry_date,exit_date,entry_price,entry_price_adjusted,exit_price,exit_price_adjusted,tp,sl,atr,atr_entry_adjusted,size,size_adjusted,allocation_usd,gross_pnl_usd,net_pnl_usd,gross_pnl_pct,net_pnl_pct,commission_usd,commission_pct
374013,wf1-p16-short-17225,MLM,2473,2022-05-04,Short,Time,2022-05-05,2022-05-23,373.25,366.09710717695293,332.2,325.8337881887166,304.54943899562636,386.61299657072846,13.944489164410756,13.67725959585035,5,5.097691195625724,1866.25,205.24996671300238,205.09996671300237,0.10262498335650119,0.10254998335650119,0.15,0.000075
374014,wf1-p16-short-17225,MLM,2473,2022-12-13,Short,Time,2022-12-14,2023-01-03,361.92,356.9636654306809,341.9,337.21779277920695,318.7542595638393,369.70013405296146,8.60887380645919,8.490979081520365,5,5.069423516302972,1809.6000000000001,100.10019116930589,99.95019116930588,0.05005009558465295,0.04997509558465294,0.15,0.000075
374015,wf1-p16-short-17225,MLM,2473,2023-08-08,Short,Time,2023-08-09,2023-08-25,457.19,452.4992310050051,437.91,433.4170257730308,407.4895690091839,467.5024516702788,10.105832947269128,10.002147110182472,4,4.0414654317495895,1828.76,77.12007280657524,77.00007280657523,0.03856003640328762,0.03850003640328761,0.12,0.000059999999999999995
374016,wf1-p16-short-17225,MLM,2473,2023-09-01,Short,Time,2023-09-05,2023-09-21,454.72,450.80245665640285,418.85,415.241519062377,405.72535209307875,465.8281581775109,10.10418480022599,10.017134347405351,4,4.0347606210725075,1818.88,143.47987065279244,143.35987065279244,0.07173993532639622,0.07167993532639622,0.12,0.000059999999999999995
374017,wf1-p16-short-17225,MLM,2473,2023-10-17,Short,SL,2023-10-18,2023-11-02,432.38,428.65492174458734,448.4318668872219,444.56849927421314,380.91418915571,444.56849927421314,10.701246003437463,10.609051686417189,4,4.034760625075778,1729.52,-64.20747602062484,-64.32747602062484,-0.03210373801031242,-0.03216373801031242,0.12,0.000059999999999999995
374018,wf1-p16-short-17225,MLM,2473,2024-05-15,Short,TP,2024-05-16,2024-05-31,611.38,607.8622711031649,556.9690740262849,553.764418376612,553.764418376612,625.8948886786825,12.091315480957999,12.021745050345098,3,3.017361147733932,1834.1399999999999,163.23275899293287,163.14275899293287,0.08161637949646644,0.08157137949646644,0.09,0.000044999999999999996
374019,wf1-p16-short-17225,MLM,2473,2024-07-31,Short,Time,2024-08-01,2024-08-19,593.07,590.4213683820891,536.19,533.7953971880788,513.8629755920398,615.9408326454388,17.089296425859715,17.012976175566518,3,3.0134580069070105,1779.21,170.639986293476,170.549986293476,0.085319993146738,0.085274993146738,0.09,0.000044999999999999996
374020,wf1-p16-short-17225,MLM,2473,2024-11-11,Short,Time,2024-11-12,2024-11-29,613.61,611.8000835906986,600.26,598.4894330866666,542.7120107598176,634.8294412009923,15.398324280829538,15.352905073529106,3,3.008875038388417,1840.83,40.050084046293996,39.96008404629399,0.020025042023146998,0.019980042023146995,0.09,0.000044999999999999996
374021,wf1-p16-short-17225,MLM,2473,2025-01-22,Short,Time,2025-01-23,2025-02-10,551.61,550.7080562840534,542.09,541.2036174586135,501.3741393167278,567.152695273162,10.981047894341266,10.963092659405698,3,3.0049133676490904,1654.83,28.560015278567477,28.470015278567477,0.014280007639283738,0.014235007639283738,0.09,0.000044999999999999996
374022,wf1-p16-short-17225,MMC,2479,2020-06-09,Short,TP,2020-06-10,2020-06-15,110.14,102.36828875771884,102.00709135261586,94.80924002732317,94.80924002732317,104.88797166785074,1.8073166934130345,1.6797886067545953,18,19.36654430838586,1982.52,146.3926521664557,145.8526521664557,0.07319632608322785,0.07292632608322785,0.54,0.00027
374023,wf1-p16-short-17225,MMC,2479,2020-09-16,Short,Time,2020-09-17,2020-10-05,117.7,109.83792356633865,115.44,107.72889545218744,98.45050946105233,113.63372826810075,2.711669454357853,2.530536467841402,16,17.145262208663354,1883.2,36.15984002256513,35.67984002256513,0.018079920011282564,0.017839920011282564,0.48,0.00023999999999999998
374024,wf1-p16-short-17225,MMC,2479,2020-10-14,Short,TP,2020-10-15,2020-10-29,113.76,106.59329905561385,104.20267315457822,97.63805657100708,97.63805657100708,109.57837988381611,2.1238533005038467,1.9900538854681702,17,18.14297912846284,1933.92,162.47477748854436,161.96477748854437,0.08123738874427218,0.08098238874427219,0.51,0.000255
374025,wf1-p16-short-17225,MMC,2479,2021-10-25,Short,Time,2021-10-26,2021-11-11,169.71,161.44071924101593,165.2,157.1504567062818,151.63965429995028,164.70774088803782,2.2895762040816465,2.1780144313479233,11,11.563439563305135,1866.8100000000002,49.61019153111036,49.28019153111036,0.02480509576555518,0.02464009576555518,0.32999999999999996,0.00016499999999999997
374026,wf1-p16-short-17225,MMC,2479,2021-11-12,Short,Time,2021-11-15,2021-12-02,166.94,158.8056776695548,164.17,156.17062258562353,147.1722218874887,162.68349626357684,2.717631785739557,2.585212396014692,11,11.563440469811686,1836.34,30.4703025977138,30.140302597713802,0.0152351512988569,0.015070151298856901,0.32999999999999996,0.00016499999999999997
374027,wf1-p16-short-17225,MMC,2479,2022-12-13,Short,Time,2022-12-14,2023-01-03,173.39,167.27663696698957,166.31,160.4462649054103,153.19198991451591,171.9715193178141,3.2443090103894288,3.1299215672163663,11,11.402010672753931,1907.29,77.87997514500725,77.54997514500725,0.03893998757250362,0.038774987572503625,0.32999999999999996,0.00016499999999999997
374028,wf1-p16-short-17225,MMC,2479,2023-09-20,Short,Time,2023-09-21,2023-10-09,197.04,192.11647296757337,192.62,188.50722181479182,182.51053810985286,195.31845125348022,2.1893586798656015,2.1346521906045575,10,10.256278233530637,1970.3999999999999,37.0174840376188,36.7174840376188,0.0185087420188094,0.018358742018809403,0.3,0.00015
374029,wf1-p16-short-17225,MMC,2479,2023-12-13,Short,TP,2023-12-14,2023-12-15,201.5,197.19767423014588,188.7162518150253,184.68686938195253,184.68686938195253,201.367942512877,2.8408349211042903,2.7801788551540745,9,9.196355926000916,1813.5,115.05381430472386,114.78381430472386,0.05752690715236193,0.05739190715236193,0.27,0.000135
374030,wf1-p16-short-17225,MMM,2482,2020-07-27,Short,SL,2020-07-28,2020-08-10,155.47,107.69758116268589,160.00759505134783,110.84084104395991,98.26780151886385,110.84084104395991,3.025029955584465,2.0955065875160095,12,17.32295173075243,1865.6399999999999,-54.45053920052045,-54.81053920052045,-0.027225269600260227,-0.027405269600260226,0.36,0.00017999999999999998
374031,wf1-p16-short-17225,MMM,2482,2020-09-17,Short,Time,2020-09-18,2020-10-06,172.06,120.27465883810085,163.44,114.24912378721568,106.43649578357727,124.88737985627537,4.399179821996384,3.0751473454496825,11,15.736149395756502,1892.66,94.81871975009626,94.48871975009627,0.04740935987504813,0.04724435987504813,0.32999999999999996,0.00016499999999999997
374032,wf1-p16-short-17225,MMM,2482,2020-10-20,Short,Time,2020-10-21,2020-11-06,170.3399,119.0722923955193,163.66,114.40280756790114,108.54489644641441,122.58142437855426,3.3466794502254276,2.339421322023307,11,15.736145347534345,1873.7389,73.47969194550576,73.14969194550577,0.03673984597275288,0.03657484597275288,0.32999999999999996,0.00016499999999999997
374033,wf1-p16-short-17225,MMM,2482,2021-11-12,Short,Time,2021-11-15,2021-12-02,184.09,132.8361344007419,171.54,124.78764248795959,123.19762249970533,136.04897170108745,2.968324953089996,2.1418915335636846,10,13.858427966944198,1840.9,111.53944541582678,111.23944541582678,0.05576972270791339,0.05561972270791339,0.3,0.00015
374034,wf1-p16-short-17225,MMM,2482,2023-06-16,Short,Time,2023-06-20,2023-07-07,102.7801,80.1703869168133,96.19,75.03000139788118,68.57545346720978,84.0353647333478,3.30332118677342,2.576651877689669,19,24.35839435359461,1952.8219000000001,125.21153759965566,124.64153759965566,0.06260576879982784,0.062320768799827835,0.57,0.000285
374035,wf1-p16-short-17225,MMM,2482,2024-05-20,Short,Time,2024-05-21,2024-06-07,104.89,102.55402627496608,99.51,97.96959782867341,94.52810103797655,105.22933468729592,1.8241643587735386,1.7835389415532283,19,19.432781650684728,1992.91,89.08819698999315,88.51819698999316,0.044544098494996576,0.04425909849499658,0.57,0.000285
374036,wf1-p16-short-17225,MMM,2482,2024-12-09,Short,Time,2024-12-10,2024-12-27,130.12,129.48128196039147,129.91,129.27232531878937,117.57003880275855,133.4516963462691,2.6600000250663616,2.6469429239184286,15,15.07399347959081,1951.8000000000002,3.1498110530272494,2.6998110530272497,0.0015749055265136247,0.0013499055265136248,0.44999999999999996,0.00022499999999999997
374037,wf1-p16-short-17225,MMM,2482,2025-03-03,Short,Time,2025-03-04,2025-03-20,150.5,150.5,151.65,151.65,134.89653114913932,155.70115628362024,3.4674375224134857,3.4674375224134857,13,13,1956.5,-14.950000000000074,-15.340000000000074,-0.007475000000000037,-0.007670000000000037,0.39,0.000195
