time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,skew_weighted_60_df037
2005-05-09 00:00:00+00,SHORT,2932,0.0,0.004451595,0.036261056
2005-05-09 00:00:00+00,SHORT,3613,0.0,-0.0059543625,0.11333482
2005-05-09 00:00:00+00,SHORT,3815,0.0,0.008781504,0.21263306
2005-05-09 00:00:00+00,SHORT,3994,0.3221684459665731,-0.002280657,4.3955728E-4
2005-05-10 00:00:00+00,SHORT,835,0.0,-5.310354E-4,0.16945015
2005-05-10 00:00:00+00,SHORT,1826,0.0,-0.0037514379,0.06406463
2005-05-10 00:00:00+00,SHORT,3994,0.32102641957605993,-0.0061123744,-0.036473922
2005-05-11 00:00:00+00,SHORT,610,0.0,-0.0019510891,-0.10185942
2005-05-11 00:00:00+00,SHORT,3573,0.0,-0.002952052,0.16073109
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.015813768,0.19371608
2005-05-19 00:00:00+00,SHORT,2640,0.0,0.01990585,0.32914314
2005-05-20 00:00:00+00,SHORT,2067,0.6459612209834655,-0.003872059,0.20724685
2005-05-26 00:00:00+00,SHORT,11,1.0,0.004572965,-0.041654248
2005-05-31 00:00:00+00,SHORT,862,0.48831110171343206,-0.0015705102,-0.024548916
2005-05-31 00:00:00+00,SHORT,1244,1.0,-0.00430129,0.07274269
2005-06-01 00:00:00+00,SHORT,505,1.0,-0.0045451126,0.07851814
2005-06-02 00:00:00+00,SHORT,19,1.0,0.011948514,0.07007263
2005-06-02 00:00:00+00,SHORT,796,1.0,0.022623796,0.18295296
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,-0.0010066835,-0.062436458
2005-06-02 00:00:00+00,SHORT,1817,0.0,-0.0010244295,0.043041557
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.0019248867,0.103300415
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,0.0067031872,0.09149618
2005-06-07 00:00:00+00,SHORT,2297,0.6058787381223188,0.0069739604,0.2035906
2005-06-07 00:00:00+00,SHORT,323,0.0,0.0011653192,-0.038244076
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,-1.9594458E-4,0.14440356
2005-06-07 00:00:00+00,SHORT,4083,1.0,0.0068896636,0.2632738
2005-06-09 00:00:00+00,SHORT,191,0.0,0.010245141,0.15675667
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,-0.0061455625,0.20557274
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,0.0055371737,0.004016926
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,-0.0039071934,0.28238517
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.011043511,-0.05579512
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,-0.0036992265,-0.06631265
2005-06-16 00:00:00+00,SHORT,356,0.3757201425148478,-0.0051662694,0.001797638
2005-06-16 00:00:00+00,SHORT,631,0.0,-0.0066114976,0.10194578
2005-06-16 00:00:00+00,SHORT,1063,0.19937735181705368,0.011420627,-0.10139759
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.0014091071,0.06947764
2005-06-16 00:00:00+00,SHORT,3641,0.0,-0.0062281718,0.12601541
2005-06-17 00:00:00+00,SHORT,2055,0.0,-0.0042584306,0.0065752207
2005-06-17 00:00:00+00,SHORT,4223,0.2313351026997672,-0.0067208707,0.050807003
2005-06-17 00:00:00+00,SHORT,234,1.0,-0.0022148828,0.04905082
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,-0.0050830883,-0.025113445
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,0.0047085173,-0.02562595
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,0.007368517,0.0012322942
2005-06-17 00:00:00+00,SHORT,335,0.0,0.008256689,0.0068320557
2005-06-17 00:00:00+00,SHORT,498,0.0,0.008910415,0.020613123
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,-0.0054923464,0.16317005
2005-06-17 00:00:00+00,SHORT,817,0.0,0.02228741,-0.11863455
2005-06-17 00:00:00+00,SHORT,838,0.0,0.0016077609,-0.09561225
2005-06-17 00:00:00+00,SHORT,2993,0.0,0.02711468,0.19555053
2005-06-17 00:00:00+00,SHORT,3013,0.0,-0.0045962953,-0.072215244
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,0.010513114,0.10057403
2005-06-17 00:00:00+00,SHORT,3049,1.0,-0.001321915,0.19165215
2005-06-17 00:00:00+00,SHORT,1063,0.16517651069942135,-0.0062729227,-0.10942506
2005-06-17 00:00:00+00,SHORT,3286,0.0,0.001984355,0.009643899
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.04352689,0.087474346
2005-06-17 00:00:00+00,SHORT,3573,0.0,0.019527825,0.21346205
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.0044253683,0.04768705
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.0083780205,0.20636202
2005-06-17 00:00:00+00,SHORT,3947,0.1344109708135434,0.0024791101,0.0214793
2005-06-17 00:00:00+00,SHORT,2028,0.0,4.8514418E-4,0.10759256
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,-0.0068395403,-0.03571492
2005-06-20 00:00:00+00,SHORT,2343,0.3613206811227334,-0.0058937846,-0.056429796
2005-06-20 00:00:00+00,SHORT,907,0.5434883358259087,-0.0041165,0.29596
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.0064721443,0.05801913
2005-06-20 00:00:00+00,SHORT,3641,0.0,-0.0059378725,0.14430678
2005-06-20 00:00:00+00,SHORT,3748,0.0,0.024612304,0.19377041
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.012592285,0.10805826
2005-06-20 00:00:00+00,SHORT,1819,0.0,-0.0062775095,0.039220978
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,0.0067550074,0.2032398
2005-06-20 00:00:00+00,SHORT,2028,0.0,-0.0053991345,0.094888695
2005-06-20 00:00:00+00,SHORT,4086,0.07612320828031426,-0.0058691236,0.20887907
2005-06-21 00:00:00+00,SHORT,2367,0.380207478860489,-0.0064004897,-0.03322695
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,0.0036201326,0.12922731
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,-0.003977009,0.031176155
2005-06-21 00:00:00+00,SHORT,1330,0.0,-0.0025966286,-0.09585487
2005-06-21 00:00:00+00,SHORT,2006,0.3568095509434414,0.011834472,0.1528681
2005-06-21 00:00:00+00,SHORT,4062,0.0,0.0053509786,0.086289346
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,-0.0014852362,0.22559538
2005-06-22 00:00:00+00,SHORT,730,0.0,-0.002655073,-0.048194643
2005-06-22 00:00:00+00,SHORT,1927,0.6885107414441294,-0.0036683308,0.18654507
2005-06-22 00:00:00+00,SHORT,2006,0.9375,0.003635522,0.15561187
2005-06-23 00:00:00+00,SHORT,68,0.0,-0.00591128,0.10431386
