time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,co_fall_count_1_10_df044,dist_upper_bb_20_2.5_df055
2007-07-20 00:00:00+00,SHORT,3855,0.9411764705882353,0.009319881,4.0,-0.0034972818
2007-07-23 00:00:00+00,SHORT,2105,0.0,-0.020587923,6.0,-0.015829025
2007-07-23 00:00:00+00,SHORT,212,0.5230091410684652,-0.015677137,5.0,-0.03513053
2007-07-23 00:00:00+00,SHORT,3233,0.37812496361244213,-0.019848589,4.0,0.012090203
2007-07-23 00:00:00+00,SHORT,1740,1.0,0.003543815,4.0,0.011194256
2007-07-24 00:00:00+00,SHORT,2830,0.5469870594862036,-0.017304957,4.0,-0.0223783
2007-07-25 00:00:00+00,SHORT,2830,0.875,0.003989809,4.0,-0.0017448235
2007-07-25 00:00:00+00,SHORT,1144,0.4417335852840844,-0.004483935,6.0,-1.0932076E-4
2007-08-03 00:00:00+00,SHORT,1108,1.0,-0.003380757,4.0,-0.012112477
2007-08-06 00:00:00+00,SHORT,1108,0.6992498496326582,0.017250134,4.0,-0.002239098
2007-08-07 00:00:00+00,SHORT,808,0.1587252564055162,-0.015892683,5.0,-0.019406293
2007-08-07 00:00:00+00,SHORT,1108,0.5749821289850138,0.003441898,4.0,-0.023493903
2007-08-08 00:00:00+00,SHORT,1832,0.12290818127877413,3.8330638E-4,5.0,-0.007707221
2007-08-31 00:00:00+00,SHORT,2393,0.0,-0.014343354,4.0,-0.02416819
2007-09-19 00:00:00+00,SHORT,4097,0.3263535651801138,-0.02059475,5.0,-0.008272696
2007-09-19 00:00:00+00,SHORT,2095,0.7862206797478846,0.0012975113,4.0,0.004204251
2007-09-19 00:00:00+00,SHORT,2381,0.7923708527806668,-0.01882871,4.0,0.0020657904
2007-10-05 00:00:00+00,SHORT,2262,1.0,-0.0061501684,4.0,-0.0050224657
2007-10-05 00:00:00+00,SHORT,3100,1.0,0.0034672315,4.0,-0.01909384
2007-10-05 00:00:00+00,SHORT,3824,0.6873522439916593,-0.005602278,4.0,-0.009667332
2007-10-08 00:00:00+00,SHORT,3824,0.6861999032428447,-0.016814796,4.0,-0.020627227
2007-10-09 00:00:00+00,SHORT,1371,1.0,-0.010430709,4.0,-0.02513089
2007-10-10 00:00:00+00,SHORT,1371,0.9375,-0.0129227135,4.0,-0.023668721
2007-10-11 00:00:00+00,SHORT,395,0.7912145873553749,-0.010865999,4.0,-0.01326824
2007-10-12 00:00:00+00,SHORT,395,0.9,-0.002366525,4.0,-0.009816074
2007-10-12 00:00:00+00,SHORT,1377,1.0,0.0110800415,5.0,0.012194228
2007-10-15 00:00:00+00,SHORT,1063,0.5956929391583744,-0.014580035,4.0,-0.010749038
2007-10-15 00:00:00+00,SHORT,1377,0.8888888888888888,-0.018975714,4.0,-0.021081792
2007-10-25 00:00:00+00,SHORT,1236,0.4529207479907467,-0.015709287,4.0,-0.010819512
2007-10-26 00:00:00+00,SHORT,1236,0.9090909090909091,-0.011174404,4.0,-0.008255042
2007-10-29 00:00:00+00,SHORT,712,1.0,0.0023497154,5.0,-0.009610798
2007-10-29 00:00:00+00,SHORT,1700,0.8235294117647058,-0.019346582,4.0,-0.046768907
2007-10-29 00:00:00+00,SHORT,3915,0.0,-0.014283523,4.0,-0.035762552
