time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2005-12-06 00:00:00+00,LONG,3677,0.7045454545454546,-0.11236618,-0.071446195
2005-12-16 00:00:00+00,LONG,897,0.42574322176418067,-0.113600194,-0.09069146
2005-12-19 00:00:00+00,LONG,1195,1.0,-0.120155774,-0.062425155
2005-12-27 00:00:00+00,LONG,424,1.0,-0.16733451,-0.079402275
2006-01-10 00:00:00+00,LONG,234,1.0,-0.13112392,-0.086363636
2006-01-17 00:00:00+00,LONG,220,0.0,-0.109492004,-0.06542056
2006-01-19 00:00:00+00,LONG,157,0.5181099795165645,-0.15972789,-0.074062966
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,-0.15637283,-0.06677019
2006-01-31 00:00:00+00,LONG,610,0.0,-0.116006464,-0.08875
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,-0.111201964,-0.06090713
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,-0.15899442,-0.054425344
2006-02-06 00:00:00+00,LONG,2070,0.6299046171880753,-0.15596586,-0.05352054
2006-02-08 00:00:00+00,LONG,76,0.0,-0.16177818,-0.0713379
2006-02-10 00:00:00+00,LONG,167,1.0,-0.17291667,-0.06661442
2006-02-13 00:00:00+00,LONG,167,0.975,-0.14396612,-0.063320465
2006-02-21 00:00:00+00,LONG,3447,1.0,-0.14813979,-0.09182692
2006-02-22 00:00:00+00,LONG,2085,0.0,-0.16281265,-0.06631579
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,-0.12277138,-0.08238905
2006-02-23 00:00:00+00,LONG,2085,0.0,-0.16533957,-0.06847883
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,-0.11229825,-0.08096023
2006-02-24 00:00:00+00,LONG,2085,0.0,-0.17890334,-0.05102041
2006-03-02 00:00:00+00,LONG,1908,0.0,-0.13253012,-0.05263158
2006-03-03 00:00:00+00,LONG,1377,0.0,-0.12586606,-0.0654321
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,-0.1438327,-0.081922196
2006-03-08 00:00:00+00,LONG,3283,0.2103276418937557,-0.17240156,-0.06305221
2006-03-08 00:00:00+00,LONG,3613,0.44476253859166703,-0.1295356,-0.08237598
2006-03-08 00:00:00+00,LONG,3824,0.0,-0.10826651,-0.065669
2006-03-08 00:00:00+00,LONG,4086,0.6500823440598269,-0.12990914,-0.058822013
2006-03-09 00:00:00+00,LONG,3283,0.24095102302409174,-0.11217458,-0.079030976
2006-03-09 00:00:00+00,LONG,1280,0.0,-0.11756757,-0.057991922
2006-03-09 00:00:00+00,LONG,3573,0.9787234042553191,-0.18423694,-0.07879818
2006-03-09 00:00:00+00,LONG,1719,0.0,-0.124,-0.06676137
2006-03-10 00:00:00+00,LONG,4123,0.6953499797783559,-0.11091314,-0.07891094
2006-03-10 00:00:00+00,LONG,2305,0.3905998320712504,-0.13604724,-0.06548026
2006-03-10 00:00:00+00,LONG,356,0.0,-0.15296163,-0.058845203
2006-03-10 00:00:00+00,LONG,2619,0.5222650583543641,-0.12728904,-0.08747888
2006-03-10 00:00:00+00,LONG,2690,0.2844353938486449,-0.15896194,-0.08670864
2006-03-10 00:00:00+00,LONG,1280,0.0,-0.1144171,-0.069225304
2006-03-10 00:00:00+00,LONG,1404,0.0,-0.12486902,-0.06423903
2006-03-10 00:00:00+00,LONG,3573,0.9574468085106383,-0.15856777,-0.051599886
2006-03-10 00:00:00+00,LONG,1610,0.0,-0.13636301,-0.08345521
2006-03-22 00:00:00+00,LONG,356,0.0,-0.113210596,-0.054206267
2006-03-22 00:00:00+00,LONG,3610,0.0,-0.11727941,-0.05695208
2006-03-22 00:00:00+00,LONG,3699,0.0,-0.11622419,-0.059045225
2006-03-27 00:00:00+00,LONG,487,1.0,-0.12932985,-0.061362356
2006-03-29 00:00:00+00,LONG,796,0.0,-0.16185528,-0.05858193
2006-04-12 00:00:00+00,LONG,2582,0.4251687681876683,-0.12236848,-0.058800712
2006-04-12 00:00:00+00,LONG,1904,0.9,-0.16001166,-0.08260385
2006-05-02 00:00:00+00,LONG,3773,0.0,-0.12907884,-0.08439587
2006-05-04 00:00:00+00,LONG,3773,0.0,-0.12797882,-0.09191176
2006-05-04 00:00:00+00,LONG,3837,0.0,-0.11,-0.08089501
2006-05-08 00:00:00+00,LONG,1867,1.0,-0.17131475,-0.07473309
