time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,price_drift_abs_1_df006
2007-04-12 00:00:00+00,LONG,248,0.48,0.07756985,0.01048474
2007-05-09 00:00:00+00,LONG,796,0.0,0.12698087,0.019140083
2007-05-10 00:00:00+00,LONG,796,0.6785714285714286,0.11928798,0.01878062
2007-05-11 00:00:00+00,LONG,796,0.0,0.078172445,0.021359224
2007-05-14 00:00:00+00,LONG,796,0.0,0.051361956,0.0076045627
2007-05-15 00:00:00+00,LONG,796,0.0,0.024716306,0.009973045
2007-06-07 00:00:00+00,LONG,516,0.0,0.025150845,0.022860046
2007-06-08 00:00:00+00,LONG,559,0.0,0.10404723,0.012994507
2007-06-15 00:00:00+00,LONG,796,0.0,0.08289184,0.019248826
2007-06-25 00:00:00+00,LONG,3521,0.0,0.02697321,0.009165222
2007-06-28 00:00:00+00,LONG,2125,0.0,0.04057561,0.011187607
2007-07-09 00:00:00+00,LONG,2932,0.0,0.10410956,0.017639903
2007-07-11 00:00:00+00,LONG,2932,0.0,0.05160014,0.014338575
2007-08-02 00:00:00+00,LONG,121,0.0,0.02513779,0.011770172
2007-08-06 00:00:00+00,LONG,131,1.0,0.027570056,0.013105887
2007-08-06 00:00:00+00,LONG,2716,1.0,0.12777713,0.00914236
2007-08-07 00:00:00+00,LONG,2345,1.0,0.08336906,0.009675584
2007-08-08 00:00:00+00,LONG,2554,0.3592132599525764,0.053544126,0.008985185
2007-08-08 00:00:00+00,LONG,3885,0.4042320875548007,0.023175908,0.006952965
2007-08-09 00:00:00+00,LONG,2554,0.31086863452703145,0.049013086,0.013220935
2007-08-15 00:00:00+00,LONG,194,0.0,0.04317773,0.0111805955
2007-08-15 00:00:00+00,LONG,555,0.22862709495248767,0.043973166,0.00820674
2007-08-16 00:00:00+00,LONG,1,0.501133772497648,0.06818879,0.012040753
2007-08-16 00:00:00+00,LONG,405,0.11531192227869337,0.03360074,0.011927999
2007-08-16 00:00:00+00,LONG,643,0.0,0.034769464,0.02254642
2007-08-16 00:00:00+00,LONG,2720,1.0,0.054037254,0.023776224
2007-08-16 00:00:00+00,LONG,2731,1.0,0.035030548,0.013975489
2007-08-16 00:00:00+00,LONG,739,1.0,0.025587682,0.02146312
2007-08-16 00:00:00+00,LONG,1043,1.0,0.03459515,0.0107936505
2007-08-16 00:00:00+00,LONG,3109,0.0,0.0350006,0.0073974445
2007-08-16 00:00:00+00,LONG,1063,0.18986883443045796,0.030265292,0.007966144
2007-08-16 00:00:00+00,LONG,3124,1.0,0.04854127,0.021757472
2007-08-16 00:00:00+00,LONG,3130,1.0,0.025820721,0.013877551
2007-08-16 00:00:00+00,LONG,3137,0.573731592578791,0.029037261,0.023275146
2007-08-16 00:00:00+00,LONG,1244,1.0,0.04454265,0.022354681
2007-08-16 00:00:00+00,LONG,3556,1.0,0.037713002,0.017445702
2007-08-16 00:00:00+00,LONG,3693,0.0,0.023494257,0.013655462
2007-08-16 00:00:00+00,LONG,1740,0.5697144084498328,0.02434453,0.01721488
2007-08-16 00:00:00+00,LONG,3824,0.3982109358976512,0.024624614,0.008705257
2007-08-16 00:00:00+00,LONG,3837,1.0,0.046230055,0.01984127
2007-08-16 00:00:00+00,LONG,3838,1.0,0.027721634,0.0110723805
2007-08-16 00:00:00+00,LONG,1826,1.0,0.026741046,0.018568534
2007-08-16 00:00:00+00,LONG,1967,0.0,0.02566867,0.014029618
2007-08-17 00:00:00+00,LONG,602,0.9824561403508771,0.03570485,0.018440103
2007-08-20 00:00:00+00,LONG,1,0.41281753941121546,0.02752609,0.006801635
2007-09-12 00:00:00+00,LONG,1532,0.0,0.06360578,0.015330875
2007-10-04 00:00:00+00,LONG,2986,0.0,0.12095083,0.0069881203
2007-10-05 00:00:00+00,LONG,2986,0.0,0.07937294,0.020680083
2007-10-08 00:00:00+00,LONG,2986,0.0,0.045301013,0.014005983
2007-10-12 00:00:00+00,LONG,2041,0.0,0.101839475,0.021964354
2007-10-22 00:00:00+00,LONG,1437,0.0,0.025986021,0.017518668
2007-10-25 00:00:00+00,LONG,799,0.0,0.031072201,0.0122868605
2007-10-26 00:00:00+00,LONG,153,0.0,0.100311466,0.011536445
2007-11-08 00:00:00+00,LONG,1444,0.0,0.029028857,0.01728629
2007-11-12 00:00:00+00,LONG,220,1.0,0.04452817,0.023957409
2007-11-12 00:00:00+00,LONG,3841,0.0,0.032222662,0.013870246
2007-11-13 00:00:00+00,LONG,2213,0.0,0.025846504,0.023927119
2007-11-13 00:00:00+00,LONG,1790,0.7997376675834,0.041019596,0.01135442
2007-11-14 00:00:00+00,LONG,2213,0.1300357347741183,0.027441036,0.011393008
2007-11-20 00:00:00+00,LONG,517,0.0,0.030178254,0.022108385
2007-11-21 00:00:00+00,LONG,2085,0.0,0.028022802,0.0118466895
2007-11-21 00:00:00+00,LONG,3286,0.0,0.029641774,0.0090014655
2007-11-21 00:00:00+00,LONG,4050,1.0,0.026363155,0.011895911
2007-11-27 00:00:00+00,LONG,3686,0.0,0.031779326,0.014555797
2007-12-03 00:00:00+00,LONG,3436,0.0,0.05674409,0.010077519
2007-12-04 00:00:00+00,LONG,870,0.0,0.02310735,0.017664311
2007-12-05 00:00:00+00,LONG,3436,0.0,0.03653825,0.020737328
2007-12-17 00:00:00+00,LONG,3273,0.0,0.10554533,0.008072613
2007-12-18 00:00:00+00,LONG,3273,0.0,0.067441255,0.015264419
2007-12-19 00:00:00+00,LONG,3273,0.0,0.04988032,0.0075299847
2008-01-09 00:00:00+00,LONG,3704,1.0,0.02877062,0.013764881
2008-01-10 00:00:00+00,LONG,3378,0.27212433069368935,0.026322214,0.02016724
2008-01-10 00:00:00+00,LONG,4062,1.0,0.023817861,0.009666666
2008-01-11 00:00:00+00,LONG,3378,0.9512195121951219,0.03426021,0.017839924
2008-01-14 00:00:00+00,LONG,2870,0.0,0.060085703,0.009411764
2008-01-15 00:00:00+00,LONG,9,0.9722222222222222,0.027182315,0.022250079
2008-01-16 00:00:00+00,LONG,631,1.0,0.02632799,0.013270895
2008-01-22 00:00:00+00,LONG,4123,0.0,0.05116777,0.022977652
2008-01-22 00:00:00+00,LONG,4136,1.0,0.053599987,0.020945363
2008-01-22 00:00:00+00,LONG,2107,0.0,0.031368222,0.014750252
2008-01-22 00:00:00+00,LONG,838,0.0,0.06795924,0.023207625
2008-01-22 00:00:00+00,LONG,1099,0.0,0.039787833,0.01367941
2008-01-22 00:00:00+00,LONG,1139,0.0,0.024139449,0.009563503
2008-01-22 00:00:00+00,LONG,3352,0.0,0.045415692,0.009512392
2008-01-22 00:00:00+00,LONG,3447,0.9745212031490174,0.03163553,0.008436945
2008-01-22 00:00:00+00,LONG,1514,0.0,0.02574505,0.01814516
2008-01-22 00:00:00+00,LONG,3610,0.0,0.06674041,0.018274112
2008-01-22 00:00:00+00,LONG,1585,1.0,0.04319668,0.024133664
2008-01-22 00:00:00+00,LONG,3641,0.0,0.03601268,0.016853932
2008-01-22 00:00:00+00,LONG,1740,0.0,0.05485705,0.013888889
2008-01-22 00:00:00+00,LONG,3855,0.47318911084358517,0.05886055,0.007850467
2008-01-23 00:00:00+00,LONG,2107,0.0,0.02997514,0.015526924
2008-01-23 00:00:00+00,LONG,93,0.0,0.052812826,0.02430752
2008-01-23 00:00:00+00,LONG,142,0.96875,0.0292298,0.011689071
2008-01-23 00:00:00+00,LONG,2248,1.0,0.053615708,0.010995982
2008-01-23 00:00:00+00,LONG,335,0.35252255682453154,0.031499375,0.017917462
2008-01-23 00:00:00+00,LONG,450,0.0,0.02765567,0.013208101
2008-01-23 00:00:00+00,LONG,576,1.0,0.063203976,0.017605634
2008-01-23 00:00:00+00,LONG,2979,0.0,0.025927275,0.017042838
2008-01-23 00:00:00+00,LONG,1184,1.0,0.05045503,0.024386456
2008-01-23 00:00:00+00,LONG,3330,0.0,0.07526694,0.015444038
2008-01-23 00:00:00+00,LONG,3343,1.0,0.038533665,0.008938982
2008-01-23 00:00:00+00,LONG,3352,0.9696969696969697,0.049408827,0.017291067
2008-01-23 00:00:00+00,LONG,3357,0.975609756097561,0.07164585,0.008415536
2008-01-23 00:00:00+00,LONG,1471,1.0,0.029879376,0.010615916
2008-01-23 00:00:00+00,LONG,3573,1.0,0.02598277,0.014512472
2008-01-23 00:00:00+00,LONG,3610,0.39770393443309626,0.06459853,0.017447658
2008-01-23 00:00:00+00,LONG,3613,1.0,0.06982328,0.021911422
2008-01-23 00:00:00+00,LONG,1615,1.0,0.035662003,0.020124799
2008-01-23 00:00:00+00,LONG,1668,0.23365856137865273,0.04077423,0.015762633
2008-01-23 00:00:00+00,LONG,1740,0.975609756097561,0.052940197,0.009076682
2008-01-23 00:00:00+00,LONG,3947,1.0,0.0623093,0.01042462
2008-01-24 00:00:00+00,LONG,2617,0.0,0.03313425,0.020856552
2008-01-24 00:00:00+00,LONG,617,0.4121269951173676,0.029813008,0.009570083
2008-01-24 00:00:00+00,LONG,1108,0.0,0.039286513,0.019501358
2008-01-24 00:00:00+00,LONG,3352,0.9393939393939394,0.024526233,0.015887097
2008-01-24 00:00:00+00,LONG,1740,0.9512195121951219,0.022971794,0.022425774
2008-01-25 00:00:00+00,LONG,2617,0.0,0.030910624,0.00699187
2008-01-25 00:00:00+00,LONG,808,0.0,0.023715422,0.009535321
2008-01-25 00:00:00+00,LONG,2979,0.26983481497208656,0.026885796,0.012698413
2008-01-25 00:00:00+00,LONG,1184,0.0,0.027236067,0.016251354
2008-01-25 00:00:00+00,LONG,3330,0.0,0.03260786,0.017894141
2008-01-25 00:00:00+00,LONG,3352,0.9090909090909091,0.025738746,0.011308609
2008-01-25 00:00:00+00,LONG,4070,0.0,0.11117238,0.01837973
2008-01-28 00:00:00+00,LONG,4070,0.0,0.09683495,0.009111618
2008-01-31 00:00:00+00,LONG,153,0.0,0.036259905,0.012573345
2008-01-31 00:00:00+00,LONG,4070,0.0,0.02867287,0.015971148
2008-02-07 00:00:00+00,LONG,730,0.16373419557598434,0.0627311,0.016159697
2008-03-11 00:00:00+00,LONG,1960,0.0,0.035994958,0.0070339977
2008-03-17 00:00:00+00,LONG,2983,1.0,0.048370745,0.010989011
2008-03-17 00:00:00+00,LONG,3539,1.0,0.043726813,0.011235955
2008-03-20 00:00:00+00,LONG,2690,1.0,0.041024577,0.014543929
2008-03-20 00:00:00+00,LONG,2716,1.0,0.023590494,0.013340174
2008-03-20 00:00:00+00,LONG,3179,1.0,0.038655445,0.018856447
2008-03-24 00:00:00+00,LONG,195,0.9523809523809523,0.02390051,0.021690352
2008-03-26 00:00:00+00,LONG,2961,1.0,0.053513546,0.023596622
2008-03-27 00:00:00+00,LONG,2961,0.9655172413793104,0.035373494,0.00992114
2008-04-23 00:00:00+00,LONG,433,0.0,0.046811387,0.010070084
2008-04-25 00:00:00+00,LONG,3355,0.0,0.041145172,0.008130081
2008-04-28 00:00:00+00,LONG,3355,0.0,0.042647008,0.0126103405
2008-05-19 00:00:00+00,LONG,1064,0.0,0.069507174,0.007832315
2008-05-20 00:00:00+00,LONG,1064,0.0,0.047623444,0.008997748
2008-06-09 00:00:00+00,LONG,85,0.0,0.028024584,0.01048218
2008-06-09 00:00:00+00,LONG,3142,0.0,0.03371146,0.024441008
2008-06-16 00:00:00+00,LONG,2061,0.9767441860465116,0.042443417,0.018333333
2008-06-24 00:00:00+00,LONG,1447,0.6666666666666667,0.06801191,0.010945274
2008-06-27 00:00:00+00,LONG,2351,1.0,0.03063407,0.007960199
2008-06-30 00:00:00+00,LONG,663,0.0,0.08694937,0.01982866
2008-07-01 00:00:00+00,LONG,2370,0.0,0.042547517,0.00817757
2008-07-02 00:00:00+00,LONG,2370,0.9818181818181818,0.025096843,0.009422851
2008-07-02 00:00:00+00,LONG,663,0.0,0.054604206,0.020162815
2008-07-02 00:00:00+00,LONG,1299,0.98,0.028794914,0.023566378
