time,side,ticker_id,mv_up_composite_labels,price_drift_1_df005,price_drift_21_df005,joint_fall_flag_5_10_df042
2007-08-16 00:00:00+00,LONG,3098,0.6335916442482578,0.0037968676,-0.11672583,1.0
2007-08-16 00:00:00+00,LONG,3179,1.0,0.010911737,-0.15039739,1.0
2007-08-16 00:00:00+00,LONG,3853,0.0,0.0064975247,-0.15550363,1.0
2007-08-16 00:00:00+00,LONG,3872,0.0,0.018197957,-0.15131335,1.0
2007-08-17 00:00:00+00,LONG,157,0.0,0.019157087,-0.15674533,1.0
2007-08-17 00:00:00+00,LONG,243,0.9218627664415856,0.014414176,-0.13682908,1.0
2007-08-17 00:00:00+00,LONG,2408,0.4129125836235184,0.005136437,-0.13817781,1.0
2007-08-17 00:00:00+00,LONG,2440,0.5132682817000301,0.0215712,-0.15949154,1.0
2007-08-17 00:00:00+00,LONG,558,0.2638868890518308,0.010595542,-0.1364346,1.0
2007-08-17 00:00:00+00,LONG,576,0.9833333333333333,0.025079366,-0.13187256,1.0
2007-08-17 00:00:00+00,LONG,2896,0.9782608695652174,0.0231624,-0.12708971,1.0
2007-08-17 00:00:00+00,LONG,2990,0.9761904761904762,0.011963737,-0.15887108,1.0
2007-08-17 00:00:00+00,LONG,1184,0.0,0.02279924,-0.15599686,1.0
2007-08-17 00:00:00+00,LONG,3420,0.9836065573770492,0.026647966,-0.12145943,1.0
2007-08-17 00:00:00+00,LONG,1650,0.0,0.024042742,-0.14466344,1.0
2007-08-17 00:00:00+00,LONG,3831,0.9838709677419355,0.026424797,-0.1477704,1.0
2007-08-20 00:00:00+00,LONG,2818,0.15243705619332987,0.01278225,-0.16241318,1.0
2007-08-20 00:00:00+00,LONG,2990,0.9523809523809523,0.0104777785,-0.13500516,1.0
2007-08-21 00:00:00+00,LONG,2554,0.18194381599559345,0.0036338693,-0.15416026,1.0
2007-08-21 00:00:00+00,LONG,920,0.05290970849143159,0.010059171,-0.124615386,1.0
2007-08-29 00:00:00+00,LONG,3148,0.0,0.025996534,-0.14697406,1.0
2007-08-30 00:00:00+00,LONG,3148,0.0,0.008445946,-0.14957266,1.0
2007-09-10 00:00:00+00,LONG,2261,0.9772727272727273,0.021261763,-0.13467218,1.0
2007-09-10 00:00:00+00,LONG,638,0.962962962962963,0.015784588,-0.12199037,1.0
2007-09-12 00:00:00+00,LONG,988,0.9310344827586207,0.021631101,-0.15221347,1.0
2007-09-24 00:00:00+00,LONG,2670,0.0,0.018360656,-0.12703766,1.0
2007-09-25 00:00:00+00,LONG,2670,0.0,0.00772698,-0.13440265,1.0
2007-10-26 00:00:00+00,LONG,2518,0.0,0.016172506,-0.11675127,1.0
2007-11-13 00:00:00+00,LONG,2482,0.0,0.025371086,-0.13942155,1.0
2007-11-15 00:00:00+00,LONG,786,0.6393283461668848,0.0053740325,-0.12152517,1.0
2007-11-16 00:00:00+00,LONG,220,0.0,0.009633912,-0.12520868,1.0
2007-11-20 00:00:00+00,LONG,3782,0.0,0.022951772,-0.1509525,1.0
2007-11-21 00:00:00+00,LONG,157,0.0,0.023181818,-0.1281952,1.0
2007-11-23 00:00:00+00,LONG,2085,0.0,0.0154958675,-0.13315697,1.0
2007-11-23 00:00:00+00,LONG,219,0.0,0.004501385,-0.12567812,1.0
