time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,accel_eps_qoq_df017
2005-03-21 00:00:00+00,SHORT,429,0.7220681771332482,-0.007888129,0.04
2005-03-21 00:00:00+00,SHORT,3905,0.5397076323069038,-0.013656721,-0.05
2005-03-22 00:00:00+00,SHORT,3116,0.3560906170088845,-0.009484863,-0.01
2005-03-22 00:00:00+00,SHORT,3613,0.0,-0.013316044,-0.05
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.0012354619,-0.06
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.016768496,-0.02
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,-0.010957261,-0.02
2005-03-24 00:00:00+00,SHORT,3794,0.9,-0.013658503,-0.06
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.008176483,0.03
2005-03-28 00:00:00+00,SHORT,1471,0.41979277603375054,-0.004582571,-0.12
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.0045424863,0.03
2005-03-30 00:00:00+00,SHORT,4194,1.0,0.0049861157,0.1456
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.0023373838,0.03
2005-03-31 00:00:00+00,SHORT,2430,0.06610452502445582,-0.010850081,0.16
2005-03-31 00:00:00+00,SHORT,559,0.0,-0.012162837,-0.03
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.004923913,0.03
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,0.002739053,-0.05
2005-04-04 00:00:00+00,SHORT,897,1.0,-0.011820786,0.04
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,-0.005079767,0.29
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,0.0038237611,0.11
2005-04-05 00:00:00+00,SHORT,4107,0.3899437197105773,-0.0145968925,-0.03
2005-04-05 00:00:00+00,SHORT,2396,0.1464707123754119,-0.010071215,0.39
2005-04-05 00:00:00+00,SHORT,1280,0.9333333333333333,-0.008458813,0.11
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.0033822407,-0.14
2005-04-06 00:00:00+00,SHORT,4123,0.32686694992656024,-0.014313757,0.03
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.0018128408,0.1
2005-04-06 00:00:00+00,SHORT,2396,0.16647576061283764,-0.0078288065,0.39
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,-5.0202396E-4,0.34
