time,side,ticker_id,mv_dn_composite_labels,price_vola_corr_50_df045,earnings_price_gap_df010,co_fall_count_1_10_df044,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2005-03-17 00:00:00+00,SHORT,2072,0.17749423274739975,-0.09152422,0.0,3.0,1.0,-0.02511708
2005-03-17 00:00:00+00,SHORT,194,0.13138566819627645,0.86831635,0.0,3.0,1.0,-0.029647408
2005-03-17 00:00:00+00,SHORT,516,0.2818041477179408,-0.50369173,0.0,3.0,1.0,-0.042742744
2005-03-17 00:00:00+00,SHORT,555,0.19580708065959418,0.3402031,0.0,3.0,1.0,-0.034061205
2005-03-17 00:00:00+00,SHORT,799,0.85,0.81036484,0.0,3.0,1.0,-0.04217281
2005-03-17 00:00:00+00,SHORT,3825,0.1989387046650872,0.817871,0.0,3.0,1.0,-0.03265552
2005-03-17 00:00:00+00,SHORT,1867,0.0,0.8952521,0.0,3.0,1.0,-0.045966655
2005-03-18 00:00:00+00,SHORT,2072,0.08129615488187471,-0.13493298,0.0,2.0,1.0,-0.044899195
2005-03-18 00:00:00+00,SHORT,4171,0.9444444444444444,0.041154645,0.0,3.0,1.0,-0.029168855
2005-03-18 00:00:00+00,SHORT,2440,0.45790128393449087,0.8995691,0.0,3.0,1.0,-0.02851643
2005-03-18 00:00:00+00,SHORT,475,0.22308077105801022,0.7808839,0.0,2.0,1.0,-0.030992258
2005-03-18 00:00:00+00,SHORT,643,0.4307286622545646,0.63539916,0.0,2.0,1.0,-0.025472749
2005-03-18 00:00:00+00,SHORT,1262,0.1958283331252165,0.73911864,0.0,2.0,1.0,-0.016658032
2005-03-18 00:00:00+00,SHORT,1532,0.10953647699516311,0.35799897,0.0,2.0,1.0,-0.042963088
2005-03-18 00:00:00+00,SHORT,3629,0.0,0.6343375,0.0,3.0,1.0,-0.039841585
2005-03-18 00:00:00+00,SHORT,1668,0.34137502763807903,0.61392814,0.0,3.0,1.0,-0.019597804
2005-03-21 00:00:00+00,SHORT,475,0.26967916226234034,0.7437981,0.0,3.0,1.0,-0.035561047
2005-03-21 00:00:00+00,SHORT,712,0.875,0.73428124,0.0,3.0,1.0,-0.020296803
