time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,sessions_since_bearish_13_100_df059
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,-0.81788087,5.0
2005-04-26 00:00:00+00,LONG,578,0.6514296698668115,-0.47675166,27.0
2005-04-26 00:00:00+00,LONG,1719,0.875,-0.4685206,18.0
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,-0.60967386,3.0
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,-0.73457766,6.0
2005-04-27 00:00:00+00,LONG,708,0.60392913480389,-0.6067483,27.0
2005-04-27 00:00:00+00,LONG,4005,1.0,-0.55114406,3.0
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,-0.62318385,4.0
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,-0.74503523,7.0
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,-0.61961865,6.0
2005-04-29 00:00:00+00,LONG,3378,0.11106037367192677,-0.48595402,1.0
2005-05-02 00:00:00+00,LONG,2106,0.9743589743589743,-0.7640698,1.0
2005-05-02 00:00:00+00,LONG,3837,0.04477198036875891,-0.50898266,11.0
2005-05-03 00:00:00+00,LONG,2106,0.9487179487179487,-0.77120405,2.0
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,-0.7634487,8.0
2005-05-03 00:00:00+00,LONG,3378,0.2461899776151288,-0.4758816,3.0
2005-05-03 00:00:00+00,LONG,3837,0.0,-0.4676161,12.0
2005-05-04 00:00:00+00,LONG,2106,0.9230769230769231,-0.7311688,3.0
2005-05-05 00:00:00+00,LONG,2070,0.0,-0.47962722,26.0
2005-05-05 00:00:00+00,LONG,2106,0.0,-0.74364746,4.0
2005-05-06 00:00:00+00,LONG,2070,0.0,-0.5848492,27.0
2005-05-06 00:00:00+00,LONG,2106,0.0,-0.71760076,5.0
2005-05-06 00:00:00+00,LONG,2137,0.08581014213921774,-0.48141137,10.0
2005-05-09 00:00:00+00,LONG,2106,0.0,-0.8185386,6.0
2005-05-09 00:00:00+00,LONG,3378,0.10442275806570196,-0.45973974,7.0
2005-05-10 00:00:00+00,LONG,2365,0.11733767366445114,-0.4951752,6.0
2005-05-10 00:00:00+00,LONG,1667,0.030603052715616995,-0.7118913,1.0
2005-05-11 00:00:00+00,LONG,2106,0.0,-0.8148461,8.0
2005-05-11 00:00:00+00,LONG,1667,0.015919133162618768,-0.70059764,2.0
2005-05-12 00:00:00+00,LONG,2106,0.7692307692307693,-0.81573653,9.0
2005-05-12 00:00:00+00,LONG,1667,0.05147498884511123,-0.69780064,3.0
2005-05-13 00:00:00+00,LONG,3275,1.0,-0.56440973,18.0
2005-05-13 00:00:00+00,LONG,1236,0.1478034454134671,-0.66075027,18.0
2005-05-13 00:00:00+00,LONG,1453,0.0,-0.68889785,9.0
2005-05-13 00:00:00+00,LONG,1667,0.056819809736896744,-0.7011568,4.0
2005-05-16 00:00:00+00,LONG,576,0.894186302049144,-0.4981223,2.0
2005-05-16 00:00:00+00,LONG,838,1.0,-0.526362,13.0
2005-05-16 00:00:00+00,LONG,1236,0.0,-0.53023964,19.0
2005-05-16 00:00:00+00,LONG,3430,0.1982820520494393,-0.48142508,8.0
2005-05-16 00:00:00+00,LONG,1667,0.04296927620501694,-0.704719,5.0
2005-05-17 00:00:00+00,LONG,4169,0.19434409230676214,-0.49346218,1.0
2005-05-17 00:00:00+00,LONG,335,1.0,-0.46430686,2.0
2005-05-17 00:00:00+00,LONG,450,1.0,-0.66431934,7.0
2005-05-17 00:00:00+00,LONG,1667,0.04098911621763578,-0.7014221,6.0
2005-05-17 00:00:00+00,LONG,4050,1.0,-0.5977846,20.0
2005-05-18 00:00:00+00,LONG,4187,0.43816475242008474,-0.5329388,2.0
2005-05-18 00:00:00+00,LONG,450,0.9696969696969697,-0.70285356,8.0
2005-05-18 00:00:00+00,LONG,594,0.5490422736024223,-0.51767784,18.0
2005-05-18 00:00:00+00,LONG,602,0.8787878787878788,-0.65234095,15.0
2005-05-18 00:00:00+00,LONG,1667,0.0,-0.69323826,7.0
2005-05-18 00:00:00+00,LONG,1673,0.9411764705882353,-0.46127185,23.0
2005-05-18 00:00:00+00,LONG,4050,0.9772727272727273,-0.6386219,21.0
2005-05-19 00:00:00+00,LONG,2440,0.46908218175525807,-0.76053286,23.0
2005-05-19 00:00:00+00,LONG,450,0.9393939393939394,-0.5353369,9.0
2005-05-19 00:00:00+00,LONG,602,0.8484848484848485,-0.60499036,16.0
2005-05-19 00:00:00+00,LONG,1667,0.0,-0.65093845,8.0
2005-05-20 00:00:00+00,LONG,2397,0.6008918376075838,-0.82160187,1.0
2005-05-20 00:00:00+00,LONG,2440,0.4466490838515086,-0.78345585,24.0
2005-05-20 00:00:00+00,LONG,450,0.9090909090909091,-0.4927137,10.0
2005-05-20 00:00:00+00,LONG,498,0.9565217391304348,-0.47403714,16.0
2005-05-20 00:00:00+00,LONG,1667,0.0,-0.65382165,9.0
