time,side,ticker_id,mv_up_composite_labels,price_drift_abs_1_df006,dist_lower_bb_50_2.0_df055
2007-01-12 00:00:00+00,LONG,2546,0.20536126778672154,0.010439561,0.028655693
2007-01-18 00:00:00+00,LONG,3179,0.0,0.01438399,0.075999804
2007-03-01 00:00:00+00,LONG,2437,1.0,0.013456572,0.042161863
2007-03-01 00:00:00+00,LONG,3515,0.397737054903723,0.02736513,0.027922593
2007-03-02 00:00:00+00,LONG,3515,0.4545668765977397,0.011254019,0.031804744
2007-03-05 00:00:00+00,LONG,2351,0.44074797074950794,0.035574596,0.047539886
2007-03-05 00:00:00+00,LONG,356,0.0,0.018116064,0.029309213
2007-03-05 00:00:00+00,LONG,2437,0.9333333333333333,0.016368639,0.040076107
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,0.022551173,0.042165805
2007-03-05 00:00:00+00,LONG,3436,0.0,0.011664423,0.032466024
2007-03-05 00:00:00+00,LONG,3515,0.582567639895145,0.0109756095,0.034927256
2007-03-13 00:00:00+00,LONG,4153,1.0,0.03162791,0.029897174
2007-04-12 00:00:00+00,LONG,248,0.48,0.01048474,0.07756985
2007-05-11 00:00:00+00,LONG,796,0.0,0.021359224,0.078172445
2007-06-19 00:00:00+00,LONG,142,0.0,0.030067392,0.038512386
2007-06-28 00:00:00+00,LONG,2125,0.0,0.011187607,0.04057561
2007-07-11 00:00:00+00,LONG,2932,0.0,0.014338575,0.05160014
2007-08-03 00:00:00+00,LONG,121,0.0,0.03400721,0.047255177
2007-08-09 00:00:00+00,LONG,2554,0.31086863452703145,0.013220935,0.049013086
2007-08-09 00:00:00+00,LONG,858,1.0,0.03537487,0.052511994
2007-08-09 00:00:00+00,LONG,898,0.3391695531016277,0.0347961,0.032923613
2007-08-14 00:00:00+00,LONG,194,0.0,0.03360498,0.04591091
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,0.0317836,0.046374947
2007-08-15 00:00:00+00,LONG,194,0.0,0.0111805955,0.04317773
2007-08-16 00:00:00+00,LONG,1,0.501133772497648,0.012040753,0.06818879
2007-08-16 00:00:00+00,LONG,4112,1.0,0.028818253,0.032569386
2007-08-16 00:00:00+00,LONG,191,0.0,0.025941422,0.03734235
2007-08-16 00:00:00+00,LONG,335,0.1741903302062947,0.028283052,0.07835793
2007-08-16 00:00:00+00,LONG,405,0.11531192227869337,0.011927999,0.03360074
2007-08-16 00:00:00+00,LONG,602,1.0,0.033780534,0.06310381
2007-08-16 00:00:00+00,LONG,643,0.0,0.02254642,0.034769464
