time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,joint_fall_flag_21_10_df042,velocity_price_vs_etf_diff_5_df050,dist_lower_bb_50_2.0_df055
2007-03-07 00:00:00+00,LONG,2437,0.8666666666666667,-21.98,0.0,-0.011619082,0.020606246
2007-03-07 00:00:00+00,LONG,2932,0.7161604324555186,16.4,0.0,-0.022633102,-0.004057013
2007-03-07 00:00:00+00,LONG,1092,0.6654049193267494,-10.89,0.0,-0.008413888,3.853646E-4
2007-03-07 00:00:00+00,LONG,3436,0.14093910555958217,13.25,0.0,-0.011372276,-0.0041264715
2007-03-07 00:00:00+00,LONG,3912,0.5260756517286402,-28.85,0.0,0.0070141996,0.004217738
2007-03-07 00:00:00+00,LONG,1922,0.7812193397668643,-24.74,0.0,1.0575354E-4,0.0034860459
2007-03-08 00:00:00+00,LONG,356,0.0,-24.99,0.0,-0.028367747,-0.004709201
2007-03-08 00:00:00+00,LONG,2437,0.8333333333333334,-21.54,0.0,0.0012564649,0.00468079
2007-03-08 00:00:00+00,LONG,1092,0.6969894374870209,-9.72,0.0,-0.012015522,-0.0041530984
2007-03-08 00:00:00+00,LONG,3912,0.6033899832322704,-28.92,0.0,-0.005202211,0.0027074316
2007-03-13 00:00:00+00,LONG,3436,0.16152723152312667,13.32,0.0,0.0028672323,0.0019294694
2007-03-14 00:00:00+00,LONG,900,1.0,-30.34,0.0,-0.06196376,0.005140146
2007-03-16 00:00:00+00,LONG,900,0.9285714285714286,-28.79,0.0,-0.00904522,-0.0025358603
2007-04-13 00:00:00+00,LONG,3271,1.0,-21.99,0.0,-0.014031347,-0.0019855495
2007-05-24 00:00:00+00,LONG,602,0.0,26.96,0.0,-0.05788994,0.008016292
2007-05-24 00:00:00+00,LONG,1473,0.0,1.15,0.0,-0.058772314,-3.5348715E-4
2007-06-08 00:00:00+00,LONG,2961,0.0,14.18,0.0,-0.042425152,-0.001513424
2007-06-08 00:00:00+00,LONG,1205,0.48041507299142455,-11.61,0.0,-0.008602548,-0.0026090592
2007-06-11 00:00:00+00,LONG,1258,0.21766931097908784,-22.95,0.0,-0.02092432,-0.0036202297
2007-06-12 00:00:00+00,LONG,3192,0.4619654538673264,-27.75,0.0,-0.036270387,0.016502023
2007-06-12 00:00:00+00,LONG,1258,0.23237474990201193,-21.92,0.0,-0.009333809,-0.0012487061
2007-06-13 00:00:00+00,LONG,1807,0.0,21.41,0.0,-0.051737744,0.019119957
2007-06-14 00:00:00+00,LONG,1807,0.0,21.5,0.0,-0.030331196,0.0010064772
2007-06-15 00:00:00+00,LONG,1867,1.0,-14.35,0.0,-0.05970857,0.01576745
2007-06-20 00:00:00+00,LONG,1867,0.8928571428571429,-12.03,0.0,6.1320985E-5,-0.0038324846
2007-06-28 00:00:00+00,LONG,356,0.0,-18.32,0.0,-0.046441495,0.005653296
2007-06-28 00:00:00+00,LONG,808,1.0,-23.63,0.0,-0.003352806,-0.0023318995
2007-06-29 00:00:00+00,LONG,808,0.9545454545454546,-23.09,0.0,-0.005637732,0.003399163
2007-07-02 00:00:00+00,LONG,808,0.9090909090909091,-23.9,0.0,-0.01705642,-0.0027310809
2007-08-09 00:00:00+00,LONG,898,0.3391695531016277,-18.07,0.0,-0.036432024,0.032923613
