time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_rev_growth_zscore_universe_df073,earnings_drift_10_df011,joint_fall_flag_5_5_df042
2006-01-06 00:00:00+00,SHORT,3142,0.0,-4.4822766E-4,-0.0926,0.0,0.0
2006-01-09 00:00:00+00,SHORT,4218,0.2958153101456757,1.9278943E-4,-0.0755,0.0,0.0
2006-01-09 00:00:00+00,SHORT,2548,0.40751120322521006,0.028455507,-0.0799,0.0,0.0
2006-01-09 00:00:00+00,SHORT,3142,0.0,-0.0048509478,-0.0942,0.0,0.0
2006-01-09 00:00:00+00,SHORT,1762,0.0,0.010170087,-0.0835,0.0,0.0
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.02223341,-0.0823,0.0,0.0
2006-01-09 00:00:00+00,SHORT,3841,0.4986192329407974,0.0025944905,-0.0809,0.0,0.0
2006-01-09 00:00:00+00,SHORT,1803,0.4480819002875423,0.0042914264,-0.0836,0.0,0.0
2006-01-10 00:00:00+00,SHORT,4218,0.21768581590631614,-0.0044850367,-0.0759,0.0,0.0
2006-01-10 00:00:00+00,SHORT,2230,0.38894570671880085,0.00728682,-0.0781,0.050023977,0.0
2006-01-11 00:00:00+00,SHORT,2106,1.0,0.011276522,-0.0784,0.07930214,0.0
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,0.0030183184,-0.0771,0.05066282,0.0
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,0.005240008,-0.0773,0.0,0.0
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.024925025,-0.0786,0.0,0.0
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,-0.003648015,-0.0801,0.0,0.0
2006-01-11 00:00:00+00,SHORT,1377,0.507589722941336,0.011293995,-0.0819,0.0,0.0
2006-01-12 00:00:00+00,SHORT,4224,0.4658213139319328,0.0050218375,-0.0806,0.0,0.0
2006-01-13 00:00:00+00,SHORT,2349,0.40643544581678465,0.005381553,-0.0787,0.0,0.0
2006-01-19 00:00:00+00,SHORT,427,1.0,-8.3696994E-4,-0.0809,0.0,0.0
2006-01-20 00:00:00+00,SHORT,93,0.39185967081533796,0.0020756887,-0.0843,0.0,0.0
2006-01-20 00:00:00+00,SHORT,2617,0.35538644114050433,-0.0049587144,-0.0847,0.0,0.0
2006-01-27 00:00:00+00,SHORT,2066,0.4740164437001669,0.011418798,-0.0884,0.0,0.0
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,-0.0016913968,-0.0875,0.0,0.0
2006-01-27 00:00:00+00,SHORT,602,0.8189514667770158,0.01839933,-0.095,0.0,0.0
2006-01-27 00:00:00+00,SHORT,664,0.26670743036269284,0.015488977,-0.0925,0.0,0.0
2006-01-27 00:00:00+00,SHORT,1474,0.19522682436390498,-1.2367753E-4,-0.0913,0.0,0.0
2006-01-30 00:00:00+00,SHORT,4112,0.6733193938231984,-0.0017280465,-0.0949,0.0,0.0
2006-01-30 00:00:00+00,SHORT,602,0.564690117404397,0.0082914755,-0.0954,0.0,0.0
2006-01-30 00:00:00+00,SHORT,664,0.11474163313189265,-0.0030258857,-0.093,0.0,0.0
