time,side,ticker_id,mv_dn_composite_labels,vola_roc_1_5_df040,dist_upper_bb_20_2.5_df055
2005-06-17 00:00:00+00,SHORT,234,1.0,0.98816556,-0.016476259
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,0.359653,-0.010127923
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,0.7083082,8.0710277E-4
2005-06-17 00:00:00+00,SHORT,335,0.0,0.6775015,-0.0056228773
2005-06-17 00:00:00+00,SHORT,2550,0.0,0.96010846,-0.009548111
2005-06-17 00:00:00+00,SHORT,2710,0.0,0.22615525,-0.0023296853
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,-0.02936407,-0.015982011
2005-06-17 00:00:00+00,SHORT,907,0.5469040794819283,0.36345437,-0.012499017
2005-06-17 00:00:00+00,SHORT,3013,0.0,0.96493536,-0.012473863
2005-06-17 00:00:00+00,SHORT,3049,1.0,0.32528925,-0.0075982595
2005-06-17 00:00:00+00,SHORT,1330,0.0,1.0424142,-0.008093752
2005-06-17 00:00:00+00,SHORT,3573,0.0,1.0635173,-0.0011866931
2005-06-17 00:00:00+00,SHORT,3641,0.0,0.2176896,-0.010959378
2005-06-17 00:00:00+00,SHORT,3947,0.1344109708135434,0.96667063,-0.010806487
2005-06-17 00:00:00+00,SHORT,2004,0.45848122353404924,0.90294605,-0.01417689
2005-06-17 00:00:00+00,SHORT,2028,0.0,0.39664006,-0.008185534
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,0.4398321,-0.011725156
2005-06-20 00:00:00+00,SHORT,2367,0.0,0.6081095,-0.0135885
2005-06-20 00:00:00+00,SHORT,1330,0.0,0.6240095,-0.014867899
2005-06-20 00:00:00+00,SHORT,3641,0.0,0.6146649,-0.009122179
2005-06-20 00:00:00+00,SHORT,2028,0.0,0.69049317,-0.013606312
2005-06-21 00:00:00+00,SHORT,2343,0.3350673288989766,-0.027328068,-0.01552392
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,0.356922,-0.008046754
2005-06-21 00:00:00+00,SHORT,1330,0.0,-0.014190074,-0.0077420557
2005-06-21 00:00:00+00,SHORT,4062,0.0,0.21480726,-0.008704011
2005-06-22 00:00:00+00,SHORT,245,0.2766931282513203,0.4310131,-0.01607919
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,0.020559777,-0.0057431706
2005-06-22 00:00:00+00,SHORT,2482,0.6041900282550655,0.4429384,-6.648532E-4
2005-06-22 00:00:00+00,SHORT,3686,0.3598438889752516,-0.09279366,-0.011281341
2005-06-23 00:00:00+00,SHORT,68,0.0,-0.06531991,-0.012720111
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,0.51865816,-0.010892263
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.93203163,-0.011068777
2005-06-24 00:00:00+00,SHORT,457,0.10521001981724543,0.80417985,-0.013411091
2005-06-28 00:00:00+00,SHORT,413,0.2808509251576811,0.02059595,-0.014655994
2005-06-28 00:00:00+00,SHORT,444,0.23069882644528594,-0.0051429686,-0.0150103755
2005-06-28 00:00:00+00,SHORT,907,0.3749440040323032,0.054259706,-0.01322003
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.06772403,-0.009584085
2005-07-01 00:00:00+00,SHORT,787,1.0,0.035682697,-0.0016431843
2005-07-01 00:00:00+00,SHORT,796,0.0,0.58050495,-0.010061021
2005-07-01 00:00:00+00,SHORT,934,0.0,-0.098427765,-0.017722687
2005-07-05 00:00:00+00,SHORT,2393,0.0,0.085109666,-0.010379939
2005-07-05 00:00:00+00,SHORT,787,0.9230769230769231,0.032289483,-0.011486295
2005-07-06 00:00:00+00,SHORT,68,0.0,-0.05405625,-0.013449154
2005-07-11 00:00:00+00,SHORT,1762,0.0,-0.115194574,-0.016458945
2005-07-12 00:00:00+00,SHORT,28,1.0,0.80930525,-1.6078782E-5
2005-07-13 00:00:00+00,SHORT,1244,1.0,0.201957,-0.013066525
2005-07-13 00:00:00+00,SHORT,3352,1.0,0.7670955,-0.0071619535
2005-07-14 00:00:00+00,SHORT,3352,0.8888888888888888,0.7142546,-0.015471043
2005-07-14 00:00:00+00,SHORT,4050,0.5061751867654596,0.06530651,-0.01401344
2005-07-14 00:00:00+00,SHORT,2041,0.0,0.47858348,-0.012497534
2005-07-15 00:00:00+00,SHORT,791,0.0,-0.11850933,-0.01237992
2005-07-18 00:00:00+00,SHORT,791,0.0,-0.060070757,-0.012374909
2005-07-20 00:00:00+00,SHORT,2305,1.0,-0.030855278,-0.0014676817
2005-07-20 00:00:00+00,SHORT,2815,0.5196730070315535,0.54826784,-0.016637325
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,-0.011132689,-0.011331635
2005-07-20 00:00:00+00,SHORT,1761,0.6182015794127816,0.5338693,-0.006249675
2005-07-21 00:00:00+00,SHORT,1677,1.0,0.7337545,-0.006861921
2005-07-21 00:00:00+00,SHORT,1678,1.0,0.73412526,-0.0068634297
