time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2005-10-19 00:00:00+00,SHORT,2681,0.0,-0.1073,0.0,0.0,0.0064972104
2005-10-19 00:00:00+00,SHORT,3098,0.0,-0.1042,0.0,0.0,-0.002920725
2005-10-21 00:00:00+00,SHORT,1220,0.0,-0.0893,0.0,0.0,0.02335678
2005-10-24 00:00:00+00,SHORT,2269,0.19354463365000457,-0.106,0.0,0.0,-0.0042742305
2005-10-24 00:00:00+00,SHORT,245,0.0,-0.1018,0.0,0.0,-0.004538312
2005-10-24 00:00:00+00,SHORT,3244,0.3687661242730742,-0.0987,0.0,0.0,0.0024184885
2005-10-24 00:00:00+00,SHORT,1220,0.0,-0.09,0.0,0.0,-0.00150259
2005-10-24 00:00:00+00,SHORT,1250,0.1628828691532853,-0.1034,0.0,0.0,-0.001105544
2005-10-24 00:00:00+00,SHORT,3430,0.3146163285139102,-0.1058,0.0,0.0,0.010615457
2005-10-24 00:00:00+00,SHORT,3645,0.37426085532943426,-0.1066,0.0,0.0,-0.0051773335
2005-10-24 00:00:00+00,SHORT,3716,0.0,-0.1042,0.0,0.0,-0.010297743
2005-10-25 00:00:00+00,SHORT,1220,0.0,-0.0898,0.0,0.0,-0.008217932
2005-10-27 00:00:00+00,SHORT,4050,0.3805403839932924,-0.0846,0.0,0.0,-8.8048197E-4
2005-10-31 00:00:00+00,SHORT,2728,0.15278799251633235,-0.0821,0.0,0.0,-0.009777506
2005-10-31 00:00:00+00,SHORT,3716,0.0,-0.1034,0.0,0.0,-0.012483355
2005-10-31 00:00:00+00,SHORT,1838,0.0,-0.0887,0.0,0.0,0.004963429
2005-11-01 00:00:00+00,SHORT,791,0.4313754150742413,-0.1037,0.0,0.0,-0.0072307177
2005-11-02 00:00:00+00,SHORT,842,0.7314464186500805,-0.0919,0.0,0.0,-7.822221E-4
2005-11-02 00:00:00+00,SHORT,1175,0.67224417878262,-0.1074,0.0,0.0,0.012300803
2005-11-03 00:00:00+00,SHORT,2175,0.46739022425037585,-0.1002,0.0,0.0,-0.0106588425
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,-0.0821,0.0,0.0,0.009002147
2005-11-03 00:00:00+00,SHORT,2569,0.0,-0.1051,0.0,0.0,0.0018019982
2005-11-03 00:00:00+00,SHORT,576,0.4052312288576687,-0.1059,0.0,0.0,0.004812672
2005-11-03 00:00:00+00,SHORT,838,0.0,-0.1057,0.0,0.0,0.0012672115
2005-11-03 00:00:00+00,SHORT,2896,0.25042373156667563,-0.096,0.0,0.0,-0.0124868965
2005-11-03 00:00:00+00,SHORT,2932,0.0,-0.1055,0.0,0.0,0.008792213
2005-11-03 00:00:00+00,SHORT,3116,1.0,-0.0886,0.0,0.0,-7.239675E-4
2005-11-03 00:00:00+00,SHORT,1090,0.0,-0.1044,0.0,0.0,-0.004430423
2005-11-03 00:00:00+00,SHORT,1298,0.46305088161067637,-0.1042,0.0,0.0,0.001270832
2005-11-03 00:00:00+00,SHORT,3357,0.0,-0.0954,0.0,0.0,-0.0023543148
2005-11-03 00:00:00+00,SHORT,3613,0.0,-0.0962,0.0,0.0,0.023497635
2005-11-03 00:00:00+00,SHORT,1740,0.0,-0.0992,0.0,0.0,0.0031705815
2005-11-03 00:00:00+00,SHORT,3831,0.328739279361446,-0.1033,0.0,0.0,-7.665581E-4
2005-11-03 00:00:00+00,SHORT,4000,0.29571493992995523,-0.1065,0.0,0.0,-0.0105536645
2005-11-04 00:00:00+00,SHORT,4218,0.8332323531084966,-0.1021,0.0,0.0,3.197954E-4
2005-11-04 00:00:00+00,SHORT,2175,0.3529847574345877,-0.1003,0.0,0.0,-0.012270942
2005-11-04 00:00:00+00,SHORT,3825,1.0,-0.1083,0.0,0.0,0.004922106
2005-11-07 00:00:00+00,SHORT,2230,0.0,-0.1053,0.0,0.0,-0.0119027505
2005-11-07 00:00:00+00,SHORT,443,0.0,-0.1039,0.0,0.0,-3.8311857E-4
2005-11-07 00:00:00+00,SHORT,1090,0.22618464394137183,-0.1045,0.0,0.0,-0.004659894
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,-0.1083,0.0,0.0,0.0048919558
2005-11-08 00:00:00+00,SHORT,3825,0.42667160951620337,-0.1086,0.0,0.0,-0.0053974143
2005-11-09 00:00:00+00,SHORT,3561,0.0,-0.107,0.0,0.0,-0.0065413266
2005-11-09 00:00:00+00,SHORT,3825,0.404195821177573,-0.1091,0.0,0.0,-0.0066977027
2005-11-10 00:00:00+00,SHORT,2247,0.0,-0.1001,0.0,0.0,-0.0028890925
2005-11-10 00:00:00+00,SHORT,3825,0.36823772751439543,-0.1094,0.0,0.0,-0.0076909615
2005-11-11 00:00:00+00,SHORT,2175,0.0,-0.1007,0.0,0.0,0.0014787838
2005-11-14 00:00:00+00,SHORT,687,0.6369181207223458,-0.1017,0.0,0.0,-0.0022667798
2005-11-22 00:00:00+00,SHORT,3561,0.0,-0.1082,0.0,0.0,-0.009536857
2005-11-22 00:00:00+00,SHORT,1610,0.0,-0.0896,0.0,0.0,0.0033219827
