time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055,dist_lower_bb_20_2.0_df055,price_vola_corr_50_df045
2007-08-23 00:00:00+00,SHORT,2983,0.5833333333333334,1.0,-0.04091256,-0.1058058,-0.43766764
2007-08-27 00:00:00+00,SHORT,2983,0.41666666666666674,1.0,-0.039016776,-0.09136435,-0.45167524
2007-09-04 00:00:00+00,SHORT,3473,0.0,1.0,-0.026868349,-0.074349746,-0.38890532
2007-09-05 00:00:00+00,SHORT,3473,0.0,1.0,-0.041613188,-0.05695869,-0.4764859
2007-09-11 00:00:00+00,SHORT,2567,0.45692124566135534,1.0,-0.015447138,-0.084530815,-0.4153164
2007-09-20 00:00:00+00,SHORT,3818,0.9166666666666666,1.0,-0.019201804,-0.08600081,-0.48732558
2007-09-21 00:00:00+00,SHORT,3818,0.8333333333333334,1.0,-0.033205286,-0.07106598,-0.43626446
2007-09-27 00:00:00+00,SHORT,2912,0.1924005587174572,1.0,-0.03938581,-0.033371475,-0.44184893
2007-09-28 00:00:00+00,SHORT,4224,0.29236667939604194,1.0,-0.01854515,-0.033725675,-0.42801043
2007-10-08 00:00:00+00,SHORT,2226,0.14608015718908376,1.0,-0.015387964,-0.048169587,-0.43707004
2007-10-08 00:00:00+00,SHORT,3973,0.0,1.0,-0.02882073,-0.049479995,-0.42438003
2007-10-09 00:00:00+00,SHORT,2226,0.06403592083324627,1.0,-0.027048182,-0.034561224,-0.48686942
2007-10-10 00:00:00+00,SHORT,4150,0.4856699878113586,1.0,-0.03661926,-0.0653835,-0.41627073
2007-10-10 00:00:00+00,SHORT,2129,1.0,1.0,-0.03712331,-0.059734657,-0.41881898
2007-10-10 00:00:00+00,SHORT,3704,0.8571428571428572,1.0,-0.035097584,-0.034088004,-0.38233852
