time,side,ticker_id,mv_up_composite_labels,velocity_price_univ_zscore_5_df048,sessions_since_bearish_21_50_df059,price_drift_5_df005,sessions_since_bearish_8_50_df059,dist_upper_bb_50_2.5_df055
2008-05-22 00:00:00+00,LONG,2079,0.0,1.1932323,2.0,0.005121639,8.0,-0.16065265
2008-05-22 00:00:00+00,LONG,1780,0.0,1.3099589,9.0,0.007676997,10.0,-0.11577344
2008-05-27 00:00:00+00,LONG,2079,0.0,1.7056558,4.0,8.583691E-4,10.0,-0.16992474
2008-05-27 00:00:00+00,LONG,1780,0.0,1.5669898,11.0,-0.0014182385,12.0,-0.11973327
2008-05-28 00:00:00+00,LONG,1069,0.0,2.2864866,2.0,0.006950372,5.0,-0.12840441
2008-06-06 00:00:00+00,LONG,1069,0.0,1.7432994,9.0,-3.6882222E-4,12.0,-0.14009131
2008-06-20 00:00:00+00,LONG,3825,0.0,1.4068543,7.0,-0.0053475937,9.0,-0.28565162
2008-06-23 00:00:00+00,LONG,684,0.0,1.2864656,2.0,-0.011247065,7.0,-0.07581771
2008-06-24 00:00:00+00,LONG,558,0.0,2.0006263,12.0,0.009985022,12.0,-0.16079178
2008-07-01 00:00:00+00,LONG,2351,0.0,2.6108923,2.0,0.0032368621,4.0,-0.102597356
2008-07-01 00:00:00+00,LONG,4050,0.0,2.417743,2.0,8.3056476E-4,9.0,-0.12937173
2008-07-03 00:00:00+00,LONG,858,0.9696969696969697,2.8838398,2.0,-0.0028686174,6.0,-0.21205366
2008-07-03 00:00:00+00,LONG,1731,0.0,2.2643383,3.0,-0.010326813,7.0,-0.1476708
2008-07-03 00:00:00+00,LONG,1853,0.9393939393939394,3.0716066,6.0,-6.080876E-4,12.0,-0.2145815
2008-07-03 00:00:00+00,LONG,1896,0.0,2.0317962,3.0,-0.013126393,8.0,-0.09110397
2008-07-07 00:00:00+00,LONG,1916,0.9661016949152542,2.437041,6.0,-0.013524264,3.0,-0.09195444
2008-07-08 00:00:00+00,LONG,960,0.9117647058823529,1.2639378,2.0,0.0058492688,6.0,-0.15830038
2008-07-09 00:00:00+00,LONG,2351,0.0,1.278496,7.0,-0.013854621,9.0,-0.11755096
2008-07-09 00:00:00+00,LONG,2710,0.8888888888888888,1.3660353,3.0,-0.01243659,8.0,-0.11735225
2008-07-09 00:00:00+00,LONG,960,0.8823529411764706,1.4970752,3.0,-0.010313901,7.0,-0.16954628
2008-07-09 00:00:00+00,LONG,3114,0.0,1.7710745,3.0,-0.005875441,6.0,-0.1363257
2008-07-09 00:00:00+00,LONG,1303,0.0,2.1337829,7.0,0.0,12.0,-0.2550008
2008-07-09 00:00:00+00,LONG,1896,0.0,2.7186596,6.0,0.009474302,11.0,-0.08514522
2008-07-10 00:00:00+00,LONG,3241,0.0,1.270951,6.0,0.0072546774,9.0,-0.17959012
2008-07-11 00:00:00+00,LONG,2064,1.0,1.649399,9.0,0.0065075923,12.0,-0.112658486
2008-07-11 00:00:00+00,LONG,588,0.0,1.910085,6.0,0.010132341,10.0,-0.28323054
2008-07-14 00:00:00+00,LONG,858,0.7878787878787878,2.8540928,8.0,0.008050604,12.0,-0.20215847
2008-07-14 00:00:00+00,LONG,1916,0.8813559322033898,1.3482211,11.0,-0.0056451615,8.0,-0.084689304
2008-07-15 00:00:00+00,LONG,3343,0.0,2.8490741,2.0,-0.0042918455,8.0,-0.095059484
2008-10-01 00:00:00+00,LONG,2923,0.0,1.5054034,6.0,0.010526316,11.0,-0.09817086
2008-10-02 00:00:00+00,LONG,2923,0.0,3.1068072,7.0,-0.0069356873,12.0,-0.13094883
2008-10-06 00:00:00+00,LONG,3702,0.0,2.3305554,5.0,0.0055350554,10.0,-0.115076594
2009-01-21 00:00:00+00,LONG,2151,0.0,1.1959804,4.0,-0.016583372,4.0,-0.08790115
2009-02-19 00:00:00+00,LONG,1114,0.92,2.4122183,6.0,0.002624672,8.0,-0.29085648
2009-03-03 00:00:00+00,LONG,1195,0.76166095228993,2.6333497,7.0,-0.016322445,6.0,-0.18994439
2009-03-04 00:00:00+00,LONG,796,0.0,1.6791675,10.0,-0.0074074073,7.0,-0.106866635
2009-03-04 00:00:00+00,LONG,1195,0.0,1.9201189,8.0,9.5236284E-4,7.0,-0.16646972
2009-03-09 00:00:00+00,LONG,3137,0.9019607843137255,1.9296052,9.0,0.0064043915,11.0,-0.12507927
2009-03-09 00:00:00+00,LONG,1966,0.8666666666666667,1.7607954,5.0,0.0017559263,11.0,-0.23414579
