time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,dist_lower_bb_50_2.0_df055
2005-05-06 00:00:00+00,LONG,2816,0.9285714285714286,60.72,-0.02767823
2005-05-06 00:00:00+00,LONG,3310,0.4488948715624907,36.61,-0.020218894
2005-05-09 00:00:00+00,LONG,39,0.5528946318140607,102.29,-0.019939236
2005-05-10 00:00:00+00,LONG,3310,0.42166488047164874,36.11,-0.03675633
2005-05-11 00:00:00+00,LONG,594,0.5355808960075792,103.87,-0.031007664
2005-05-11 00:00:00+00,LONG,3052,0.3805395664073436,30.69,-0.038096625
2005-05-12 00:00:00+00,LONG,594,0.5782948216172273,101.05,-0.013874981
2005-05-12 00:00:00+00,LONG,3052,0.3621910474813504,30.99,-0.024209935
2005-05-13 00:00:00+00,LONG,594,0.8070175438596492,101.98,-0.009242995
2005-05-13 00:00:00+00,LONG,694,0.6885245901639344,69.39,-0.024871396
2005-05-13 00:00:00+00,LONG,2983,0.560871917843723,37.92,-0.03685201
2005-05-13 00:00:00+00,LONG,3052,0.35548288881655776,31.92,-0.010848851
2005-05-13 00:00:00+00,LONG,1205,0.21893665762256567,43.21,0.013598784
2005-05-16 00:00:00+00,LONG,594,0.6052724459545179,101.52,-0.02573534
2005-05-16 00:00:00+00,LONG,694,0.6721311475409836,70.01,-0.031588025
2005-05-16 00:00:00+00,LONG,3052,0.2861206431994052,32.72,-0.02772376
2005-05-16 00:00:00+00,LONG,1205,0.11731714953940636,46.17,-0.0116579225
2005-05-16 00:00:00+00,LONG,3907,0.5158354407501057,99.04,-0.02275847
2005-05-17 00:00:00+00,LONG,594,0.6084101122177523,101.11,-0.029415704
2005-05-17 00:00:00+00,LONG,694,0.6557377049180328,70.98,-0.03634312
2005-05-17 00:00:00+00,LONG,3052,0.24820534567336458,31.43,-0.038059253
2005-05-17 00:00:00+00,LONG,1205,0.1566388985068685,44.88,-0.016461661
2005-05-18 00:00:00+00,LONG,594,0.5490422736024223,101.75,-0.033419646
2005-05-20 00:00:00+00,LONG,1205,0.0,47.1,-0.035954386
2005-05-24 00:00:00+00,LONG,1205,0.0,49.5,-0.033429727
2005-05-25 00:00:00+00,LONG,1205,0.15164049965018284,46.66,-0.024996305
2005-05-26 00:00:00+00,LONG,1205,0.0,42.15,-0.02813584
2005-05-26 00:00:00+00,LONG,1840,0.0,61.3,-0.023160962
2005-05-27 00:00:00+00,LONG,1205,0.0,42.48,-0.028223561
2005-05-31 00:00:00+00,LONG,1205,0.06364723164860173,44.16,-0.020409543
2005-06-01 00:00:00+00,LONG,1205,0.0512152024209649,43.33,-0.031821053
2005-06-02 00:00:00+00,LONG,1205,0.0,46.27,-0.037409514
2005-06-03 00:00:00+00,LONG,2408,0.0,21.39,-0.037736136
2005-06-03 00:00:00+00,LONG,1205,0.0,47.13,-0.03333258
2005-06-06 00:00:00+00,LONG,1205,0.0,46.1,-0.033943404
2005-06-07 00:00:00+00,LONG,1205,0.05542837852405568,44.61,-0.025777629
2005-06-08 00:00:00+00,LONG,1205,0.0,45.76,-0.024333484
2005-06-09 00:00:00+00,LONG,1205,0.0,44.95,-0.021522261
2005-06-10 00:00:00+00,LONG,1205,0.057322679711759646,45.76,-0.022818558
2005-06-13 00:00:00+00,LONG,1205,0.0,45.67,-0.01836375
2005-06-14 00:00:00+00,LONG,2801,0.6825391728869892,64.45,-0.031707752
2005-06-14 00:00:00+00,LONG,1205,0.0,43.51,-0.024033975
2005-06-15 00:00:00+00,LONG,1205,0.0,42.5,-0.025558697
2005-06-16 00:00:00+00,LONG,1205,0.02937927671757016,40.95,-0.03193704
2005-06-17 00:00:00+00,LONG,1205,0.0,39.61,-0.037227567
2005-06-20 00:00:00+00,LONG,1205,0.01019860569074775,39.65,-0.028837541
2005-06-21 00:00:00+00,LONG,1205,0.0,38.97,-0.019495048
2005-06-24 00:00:00+00,LONG,3595,1.0,19.13,-0.010042073
2005-07-05 00:00:00+00,LONG,862,1.0,38.41,-0.0011992346
2005-07-05 00:00:00+00,LONG,903,1.0,92.87,-0.0021753826
2005-07-05 00:00:00+00,LONG,3791,0.0,69.23,-0.005451812
2005-07-06 00:00:00+00,LONG,862,0.96875,42.08,-0.014009923
2005-07-06 00:00:00+00,LONG,903,0.96875,98.28,-0.017064957
2005-07-06 00:00:00+00,LONG,3791,0.37535843475304637,74.43,-0.018425874
2005-07-07 00:00:00+00,LONG,862,0.9375,44.19,-0.018638425
2005-07-07 00:00:00+00,LONG,903,0.9375,99.33,-0.013390959
2005-07-07 00:00:00+00,LONG,1205,0.3611721908501115,39.99,-0.0033841366
2005-07-07 00:00:00+00,LONG,3791,0.4311845604692407,76.43,-0.017571693
2005-07-08 00:00:00+00,LONG,862,0.90625,43.73,-0.03430758
2005-07-08 00:00:00+00,LONG,903,0.90625,99.08,-0.033155434
2005-07-08 00:00:00+00,LONG,1205,0.3138024193511633,41.46,-0.016375717
2005-07-08 00:00:00+00,LONG,3791,0.0,74.37,-0.023096228
2005-07-11 00:00:00+00,LONG,862,0.875,44.38,-0.03753535
2005-07-11 00:00:00+00,LONG,1205,0.2777015532819719,40.32,-0.02021069
2005-07-11 00:00:00+00,LONG,3791,0.0,75.91,-0.032074213
2005-07-12 00:00:00+00,LONG,594,0.10526315789473695,89.64,-0.03756669
2005-07-12 00:00:00+00,LONG,862,0.84375,43.92,-0.031381987
2005-07-12 00:00:00+00,LONG,1205,0.28108048340339364,38.6,-0.015520365
2005-07-13 00:00:00+00,LONG,594,0.08771929824561409,89.32,-0.036249906
2005-07-13 00:00:00+00,LONG,862,0.8125,52.12,-0.030177973
