time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,dist_upper_bb_20_2.0_df055,dist_upper_bb_50_2.5_df055
2005-04-12 00:00:00+00,SHORT,3890,0.27432635172440073,0.020115236,-0.014219562,-0.0093149245
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,0.009156456,6.3293945E-4,-0.029762086
2005-04-13 00:00:00+00,SHORT,191,0.4215227413376627,-0.017151495,-0.011160707,-0.09116529
2005-04-13 00:00:00+00,SHORT,424,0.0,3.0789475E-4,0.008418363,-0.040292393
2005-04-13 00:00:00+00,SHORT,780,1.0,-0.007889752,0.00957224,-0.07777124
2005-04-13 00:00:00+00,SHORT,934,0.4637610996967378,-0.022467658,-0.015177289,-0.072561026
2005-04-13 00:00:00+00,SHORT,2993,0.3070631266648398,0.017332807,-0.012905743,-0.077884436
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.024571756,-0.0022610065,-7.0726406E-4
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,0.012585222,-3.1545834E-4,-0.018333085
2005-04-13 00:00:00+00,SHORT,1171,0.21617470697982502,0.017230948,-0.014327144,-0.025494799
2005-04-13 00:00:00+00,SHORT,1244,0.0,9.871898E-4,-0.0048492556,-0.08234063
2005-04-13 00:00:00+00,SHORT,3310,0.3383925273560563,-0.011450671,-0.015520677,-0.11425076
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,0.011144208,-0.0047648503,-0.036419973
2005-04-13 00:00:00+00,SHORT,1922,0.6017389624105626,-0.0165145,-0.012600119,-0.07029998
2005-04-13 00:00:00+00,SHORT,3994,0.5722110442553464,-0.026485352,-0.006372446,-0.10944216
2005-04-14 00:00:00+00,SHORT,195,0.0,-0.023657924,-0.012543335,-0.08881375
2005-04-14 00:00:00+00,SHORT,2285,0.41504939138786473,-0.014387259,-0.012791229,-0.050513815
2005-04-14 00:00:00+00,SHORT,424,0.0,0.004786587,-0.0059108036,-0.049861263
2005-04-14 00:00:00+00,SHORT,3052,0.18336868445341853,0.025404694,-0.014968918,-0.012788329
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,-0.023541717,0.0033066913,-0.030454693
2005-04-15 00:00:00+00,SHORT,195,0.0,-0.01847289,-0.01014606,-0.0830671
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,-0.016475994,-0.0067642527,-0.03943541
2005-04-19 00:00:00+00,SHORT,345,0.0,-0.019226043,-0.014567743,-0.06651179
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.0109171085,-0.0032469828,-0.032952387
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,-0.0104743345,-0.0041142562,-0.048264842
2005-04-25 00:00:00+00,SHORT,1826,0.13215131846005645,-0.0045176763,-0.012220069,-0.02231057
2005-04-25 00:00:00+00,SHORT,1851,0.0,-3.0333948E-4,-0.015261715,-0.047179677
