time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_lower_bb_50_2.0_df055
2005-02-15 00:00:00+00,LONG,3287,0.9318181818181819,0.32103533,0.016573442
2005-02-16 00:00:00+00,LONG,444,0.0,-0.6938277,0.012491149
2005-02-17 00:00:00+00,LONG,2070,0.0,-0.7112312,0.006159236
2005-02-17 00:00:00+00,LONG,135,1.0,0.043984145,0.032166068
2005-02-17 00:00:00+00,LONG,3287,0.8863636363636364,0.4295913,-0.0039122947
2005-02-17 00:00:00+00,LONG,3702,0.5903265826518802,-0.37613449,0.006499004
2005-02-22 00:00:00+00,LONG,2070,0.0,0.64413404,-0.0013348208
2005-02-22 00:00:00+00,LONG,1851,0.6684334581304967,0.5908265,0.007265829
2005-02-22 00:00:00+00,LONG,4062,1.0,0.5464732,0.013071454
2005-02-23 00:00:00+00,LONG,2504,0.0,0.34503618,0.034906622
2005-02-23 00:00:00+00,LONG,1851,0.6550096748633173,-0.2820484,-0.0057385215
2005-02-24 00:00:00+00,LONG,3652,0.0,-0.3394173,0.015184194
2005-02-25 00:00:00+00,LONG,3652,0.0,0.37186974,0.005883528
2005-03-01 00:00:00+00,LONG,3652,0.0,-0.015561786,0.0011174727
2005-03-04 00:00:00+00,LONG,11,0.0,-0.10286896,0.07377993
2005-03-07 00:00:00+00,LONG,11,0.0,-0.13487817,0.041753992
2005-03-07 00:00:00+00,LONG,1280,0.0,-0.15918106,0.104227
2005-03-08 00:00:00+00,LONG,1280,0.0,0.12777737,0.055641264
2005-03-09 00:00:00+00,LONG,11,0.0,0.7047511,0.04178957
2005-03-10 00:00:00+00,LONG,1280,0.16981132075471705,-0.4765042,0.034532916
2005-03-11 00:00:00+00,LONG,429,0.5109880843461393,0.07591678,0.022184793
2005-03-14 00:00:00+00,LONG,1677,1.0,0.10089097,0.010033867
2005-03-14 00:00:00+00,LONG,1678,1.0,0.09678609,0.010037192
2005-03-16 00:00:00+00,LONG,2247,0.8639843807191345,-0.29882205,0.018546075
2005-03-16 00:00:00+00,LONG,1149,0.9168887952886046,-0.13519755,0.009088707
2005-03-16 00:00:00+00,LONG,1677,0.9130434782608696,-0.6697658,-0.0022760166
2005-03-16 00:00:00+00,LONG,1678,0.9130434782608696,-0.67018205,-0.0022832074
2005-03-17 00:00:00+00,LONG,2247,0.828675398706373,0.028158003,-6.5013114E-4
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,-0.2339519,0.028872035
2005-03-18 00:00:00+00,LONG,2247,0.7337443989436876,0.031035934,0.0015593434
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,0.16362691,0.020338073
2005-03-21 00:00:00+00,LONG,4197,0.4061958573875883,-1.2454395,6.914812E-4
2005-03-21 00:00:00+00,LONG,2247,0.7945604084374783,-0.27188152,0.0019128416
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,-0.36522034,0.015324824
2005-03-22 00:00:00+00,LONG,3273,0.4736842105263158,-0.20468473,0.012800276
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,0.53854334,0.006001053
2005-03-23 00:00:00+00,LONG,1919,0.0,0.027788902,-0.0056487964
2005-03-28 00:00:00+00,LONG,3148,0.0,-0.3882302,-0.005593987
2005-03-28 00:00:00+00,LONG,3872,0.9555555555555556,-0.44056192,0.019241657
2005-03-29 00:00:00+00,LONG,84,1.0,0.82873267,0.009718754
2005-03-29 00:00:00+00,LONG,2543,0.6277649081086598,0.6725375,0.0052229203
2005-03-29 00:00:00+00,LONG,2778,0.5686789512558637,0.5420265,-0.0044786423
2005-03-30 00:00:00+00,LONG,4176,0.9565217391304348,-0.754175,-0.0064879074
2005-03-30 00:00:00+00,LONG,2898,1.0,-0.29346466,0.012508743
2005-03-30 00:00:00+00,LONG,3872,0.9111111111111111,-0.7604853,0.009287261
2005-03-31 00:00:00+00,LONG,3872,0.8888888888888888,-0.15506917,0.0021497912
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,-0.4565144,0.0245766
2005-04-01 00:00:00+00,LONG,3872,0.8666666666666667,0.19950667,-4.8290656E-4
2005-04-04 00:00:00+00,LONG,2262,1.0,-0.071385875,-0.0010648161
2005-04-04 00:00:00+00,LONG,2751,0.6468003636669314,0.08378168,0.009110718
2005-04-04 00:00:00+00,LONG,1324,1.0,-0.7103156,-0.005282274
2005-04-04 00:00:00+00,LONG,3872,0.8444444444444444,0.056062832,-0.0039773616
2005-04-05 00:00:00+00,LONG,3872,0.8222222222222222,-0.44687673,-0.0034461508
2005-04-06 00:00:00+00,LONG,984,0.0,0.042208526,0.07843842
2005-04-07 00:00:00+00,LONG,984,0.0,-0.38154754,0.074807934
2005-04-08 00:00:00+00,LONG,984,0.0,-0.37930518,0.083310135
2005-04-11 00:00:00+00,LONG,2248,0.0,-0.16065301,0.081916876
2005-04-11 00:00:00+00,LONG,984,0.0,0.20010914,0.06471876
2005-04-12 00:00:00+00,LONG,2248,0.0,0.18709315,0.037169006
2005-04-12 00:00:00+00,LONG,984,0.0,0.49628252,0.07716691
2005-04-13 00:00:00+00,LONG,2248,0.0,0.16749907,0.0020993003
2005-04-13 00:00:00+00,LONG,984,0.0,0.08269798,0.09650847
2005-04-14 00:00:00+00,LONG,984,0.0,0.6673946,0.060483743
2005-04-15 00:00:00+00,LONG,64,0.0,0.673099,-0.002827928
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,0.51196766,0.024751639
2005-04-15 00:00:00+00,LONG,984,0.0,-0.917247,0.060877707
2005-04-15 00:00:00+00,LONG,1383,1.0,-0.134603,0.03564188
2005-04-15 00:00:00+00,LONG,3607,1.0,-0.2012808,0.024701465
2005-04-15 00:00:00+00,LONG,1667,0.3212271638866323,-0.059679743,4.6430167E-4
2005-04-15 00:00:00+00,LONG,3794,1.0,-1.0514821,0.054506376
2005-04-15 00:00:00+00,LONG,1985,1.0,0.7338471,0.0056911106
2005-04-18 00:00:00+00,LONG,1,0.98,-0.964404,-0.0064378087
2005-04-18 00:00:00+00,LONG,4112,1.0,-0.4536517,0.04524162
2005-04-18 00:00:00+00,LONG,2085,1.0,0.043655757,-0.005120945
2005-04-18 00:00:00+00,LONG,2151,0.6109437377687424,-0.26066682,-0.0023484721
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,-0.4852289,0.02281169
2005-04-18 00:00:00+00,LONG,221,0.5922312466691744,-0.4213904,0.0011178089
2005-04-18 00:00:00+00,LONG,2686,0.4569886326227233,0.21433443,0.013200029
2005-04-18 00:00:00+00,LONG,694,1.0,-0.6075454,0.0021479793
2005-04-18 00:00:00+00,LONG,786,1.0,0.06539611,0.0039069927
2005-04-18 00:00:00+00,LONG,2930,0.21045795414210386,-0.8568805,0.016153065
2005-04-18 00:00:00+00,LONG,959,1.0,-0.42714044,0.004564598
2005-04-18 00:00:00+00,LONG,3127,1.0,-0.6727014,0.03467039
2005-04-18 00:00:00+00,LONG,3137,1.0,-0.25380796,0.024771411
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,-0.590031,0.03480581
2005-04-18 00:00:00+00,LONG,1220,0.42201863072660123,0.28292546,-0.004816212
2005-04-18 00:00:00+00,LONG,3293,0.34916576139996364,-0.29021958,0.0029550241
2005-04-18 00:00:00+00,LONG,1383,0.9795918367346939,-0.19470687,4.094629E-4
2005-04-18 00:00:00+00,LONG,1444,1.0,0.65338886,-8.47448E-4
2005-04-18 00:00:00+00,LONG,3607,0.975609756097561,0.06377925,0.007911942
2005-04-18 00:00:00+00,LONG,1719,1.0,-1.3079549,0.04677136
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,-0.94323975,0.041694317
2005-04-18 00:00:00+00,LONG,3853,1.0,-0.57066405,0.022183893
2005-04-18 00:00:00+00,LONG,3905,0.6779578783322777,-0.57115686,0.009754449
2005-04-18 00:00:00+00,LONG,1985,0.9761904761904762,-0.73418856,8.950257E-4
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,-0.23964372,0.037439723
2005-04-19 00:00:00+00,LONG,2930,0.1816167118473044,0.109479286,0.0040463475
2005-04-19 00:00:00+00,LONG,3137,0.9787234042553191,-0.32736924,0.010277549
2005-04-19 00:00:00+00,LONG,1092,0.5264031712034484,0.032943517,0.014144615
2005-04-19 00:00:00+00,LONG,3293,0.3316806458230659,-0.96510375,3.6655433E-4
2005-04-19 00:00:00+00,LONG,3335,0.6209131252171328,-0.30075467,0.0071421233
2005-04-19 00:00:00+00,LONG,1383,0.9591836734693877,0.79414743,0.0021309375
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,0.16663554,0.031093832
2005-04-19 00:00:00+00,LONG,3905,0.6948698481797789,-0.7769636,-0.00510198
2005-04-20 00:00:00+00,LONG,4112,0.9583333333333334,-0.14697461,0.04276503
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,0.2526157,0.020083647
2005-04-20 00:00:00+00,LONG,465,0.0,0.41563517,0.016958462
2005-04-20 00:00:00+00,LONG,664,0.49589533854336926,-0.3596966,0.009109189
2005-04-20 00:00:00+00,LONG,786,0.9473684210526316,-0.15618539,-0.0036833903
2005-04-20 00:00:00+00,LONG,3046,0.3193144473502615,0.21667932,-0.0040483833
2005-04-20 00:00:00+00,LONG,3049,0.9459459459459459,0.012167402,-0.0035819986
2005-04-20 00:00:00+00,LONG,3335,0.5739291169633376,-0.30036747,0.0051749498
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,0.55577284,0.016327608
2005-04-20 00:00:00+00,LONG,1444,0.42508871845022395,-1.3371149,-0.0025973788
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,-0.9686486,0.03527362
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.21557726,0.017581241
2005-04-20 00:00:00+00,LONG,3905,0.7095835310217351,-0.6916941,0.0100701405
2005-04-21 00:00:00+00,LONG,4097,0.19632157782011334,0.21075755,-0.006417274
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,0.013751433,0.02425727
2005-04-21 00:00:00+00,LONG,3355,0.28273120784372263,-0.4097284,-0.005758718
2005-04-21 00:00:00+00,LONG,3359,1.0,-0.19502427,-0.0036393239
2005-04-21 00:00:00+00,LONG,3905,0.7036720535912411,0.69932115,0.012731922
2005-04-21 00:00:00+00,LONG,3923,0.2019142470750668,-0.5402248,0.009400886
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,-0.13900734,0.015744945
2005-04-22 00:00:00+00,LONG,142,0.5963017436912298,-0.055233218,0.002795805
2005-04-22 00:00:00+00,LONG,221,0.5139699616765525,0.043260872,-0.0035497113
2005-04-22 00:00:00+00,LONG,2396,1.0,-0.59626174,0.007971284
2005-04-22 00:00:00+00,LONG,465,0.0,-0.8168268,-0.0047647427
2005-04-22 00:00:00+00,LONG,786,0.8947368421052632,0.066408396,-0.002738342
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,-0.35785237,0.0054242625
2005-04-22 00:00:00+00,LONG,3359,0.9583333333333334,-0.74233156,0.0032487987
2005-04-22 00:00:00+00,LONG,3905,0.6433250533058478,-0.22086495,0.009598448
2005-04-22 00:00:00+00,LONG,3912,0.4294012470266103,-0.5449568,1.6989221E-4
2005-04-22 00:00:00+00,LONG,3923,0.1875364145930592,-0.3343995,0.008063173
2005-04-22 00:00:00+00,LONG,4073,1.0,-0.0873662,-0.0061978856
2005-04-25 00:00:00+00,LONG,4122,0.36062645334729243,-0.18633214,0.0054696784
2005-04-25 00:00:00+00,LONG,2408,0.2600674370826358,-1.0576991,-0.0021298374
2005-04-25 00:00:00+00,LONG,2032,0.9565217391304348,-0.35621816,0.010174313
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,0.526929,0.0099161025
2005-04-26 00:00:00+00,LONG,2408,0.2580344051619881,0.2311839,-0.0024051026
2005-04-26 00:00:00+00,LONG,465,0.0,0.7727165,0.002124136
2005-04-26 00:00:00+00,LONG,786,0.8421052631578947,-0.09462666,-0.004019122
2005-04-26 00:00:00+00,LONG,2930,0.1864093359033414,0.050525263,-0.0032854138
2005-04-26 00:00:00+00,LONG,2032,0.9130434782608696,0.3115836,-0.0011029629
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,-0.9930894,0.015379989
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,-0.4687243,0.01578425
2005-04-27 00:00:00+00,LONG,3098,0.46436318976258106,-0.28548717,0.0029049695
2005-04-27 00:00:00+00,LONG,1423,0.0,0.017128563,0.020063527
2005-04-27 00:00:00+00,LONG,4005,1.0,0.061035037,0.008540126
2005-04-27 00:00:00+00,LONG,2032,0.8695652173913043,-0.52491194,-0.0062536546
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.25797534,0.020438759
2005-04-28 00:00:00+00,LONG,345,1.0,0.19800599,0.010918542
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,0.54034424,0.016909458
2005-04-28 00:00:00+00,LONG,594,0.8501248371805982,0.31065804,0.0011552386
2005-04-28 00:00:00+00,LONG,2930,0.18616757268658485,0.2629358,-0.005080183
2005-04-28 00:00:00+00,LONG,3098,0.9615384615384616,-0.63023764,0.0033766816
2005-04-28 00:00:00+00,LONG,1171,0.7498489855961122,0.60224766,0.008010749
2005-04-28 00:00:00+00,LONG,1175,0.27859728286768193,-0.41481453,-5.9827733E-5
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,-0.65231514,0.046420343
2005-04-28 00:00:00+00,LONG,1260,0.6857572558584842,0.5038558,0.014747233
2005-04-28 00:00:00+00,LONG,3378,0.11232778106922961,-0.7822925,0.030122329
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,-0.46038255,0.027671346
2005-04-28 00:00:00+00,LONG,1437,1.0,0.43265036,0.007939624
2005-04-28 00:00:00+00,LONG,1807,1.0,-0.6518121,0.037080888
2005-04-28 00:00:00+00,LONG,3890,0.7419401500313012,0.09050242,-0.0019331238
2005-04-28 00:00:00+00,LONG,2028,1.0,-0.4202725,0.004358061
2005-04-28 00:00:00+00,LONG,2032,0.8260869565217391,0.012644486,0.009383723
2005-04-29 00:00:00+00,LONG,2137,0.12402880988248238,-0.02007943,0.0038331205
2005-04-29 00:00:00+00,LONG,4218,0.39290820799604315,0.2684511,-0.0033057411
2005-04-29 00:00:00+00,LONG,2196,0.37060612971215434,-0.17813553,-0.0038953386
2005-04-29 00:00:00+00,LONG,191,1.0,0.29899028,-0.0048454083
2005-04-29 00:00:00+00,LONG,345,0.975,-0.7449742,-0.00243376
2005-04-29 00:00:00+00,LONG,1099,0.0,0.30910507,0.0060742497
2005-04-29 00:00:00+00,LONG,1171,0.6879258396910838,-0.2616566,-0.0017697606
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,-0.36199674,0.059246972
2005-04-29 00:00:00+00,LONG,3378,0.11106037367192677,-0.27014324,0.023961637
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,-0.24936381,0.007952881
2005-04-29 00:00:00+00,LONG,1437,0.975,-0.14267129,-0.0021078668
2005-04-29 00:00:00+00,LONG,3515,0.8372061403693491,0.125041,0.0014823494
2005-04-29 00:00:00+00,LONG,3699,1.0,0.54866546,0.022432769
2005-04-29 00:00:00+00,LONG,1700,1.0,0.1394863,0.015805228
2005-04-29 00:00:00+00,LONG,3804,1.0,0.8461223,0.005790855
2005-04-29 00:00:00+00,LONG,4005,0.9487179487179487,-1.2443571,-0.005633976
2005-04-29 00:00:00+00,LONG,1988,1.0,0.30221975,-0.0040786033
2005-05-02 00:00:00+00,LONG,2137,0.03340512441114127,-0.7218737,2.1943299E-4
2005-05-02 00:00:00+00,LONG,2554,0.3041833116959892,0.12100341,-0.005814403
2005-05-02 00:00:00+00,LONG,1099,0.0,-0.19884011,0.005579663
2005-05-02 00:00:00+00,LONG,1171,0.7352148682434596,-0.3007979,-0.0011664329
2005-05-02 00:00:00+00,LONG,3699,0.96875,-0.31658158,0.009231169
