time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2006-01-09 00:00:00+00,SHORT,429,0.18792032021594396,0.2264151,0.5064886,0.103953645,0.03592345
2006-01-09 00:00:00+00,SHORT,3142,0.0,0.37142858,0.46289718,0.058782127,0.0013889502
2006-01-09 00:00:00+00,SHORT,3199,1.0,0.17142858,0.7343002,0.10284564,0.03657246
2006-01-09 00:00:00+00,SHORT,1434,0.2420860315452285,0.23809524,0.3301286,0.034404647,0.011128551
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.3207547,0.71793115,0.06367888,0.01105049
2006-01-10 00:00:00+00,SHORT,2230,0.38894570671880085,0.18518518,0.5092095,0.066848785,0.017990356
2006-01-10 00:00:00+00,SHORT,429,0.0,0.20754717,0.4242951,0.12645774,0.0067320582
2006-01-10 00:00:00+00,SHORT,1423,0.2593411639607015,0.36363637,0.48979348,0.07795561,0.021616422
2006-01-10 00:00:00+00,SHORT,3473,0.17768242467481396,0.3809524,0.40954727,0.0582801,0.019719167
2006-01-10 00:00:00+00,SHORT,1434,0.20371295850544438,0.23809524,0.15521637,0.04375851,0.0016027369
2006-01-11 00:00:00+00,SHORT,2106,1.0,0.25925925,0.613508,0.071020566,0.025252981
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,0.18518518,0.5006136,0.066848785,0.012048044
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,0.11111111,0.426867,0.115688875,0.0063401577
2006-01-11 00:00:00+00,SHORT,3127,0.16154701543700692,0.3,0.7689765,0.09888956,0.024018781
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.24074075,0.71128476,0.092976905,0.027753638
2006-01-11 00:00:00+00,SHORT,3473,0.2156589564893963,0.33734939,0.40759346,0.067510866,0.0060641686
2006-01-11 00:00:00+00,SHORT,3677,0.0,0.46666667,0.5093602,0.06904745,0.011110917
2006-01-12 00:00:00+00,SHORT,1090,0.6323598841687552,0.24074075,0.5678684,0.11351327,0.0017667639
2006-01-13 00:00:00+00,SHORT,845,0.0,0.38636363,0.37057665,0.07937934,0.0055628754
2006-01-13 00:00:00+00,SHORT,3473,0.14552254666243145,0.4047619,0.5397387,0.07099883,0.0127058765
2006-01-17 00:00:00+00,SHORT,1404,0.0,0.46153846,0.50641114,0.14817774,0.020432891
2006-01-17 00:00:00+00,SHORT,3473,0.1810193855788505,0.35,0.46570453,0.06432109,0.0043108286
2006-01-20 00:00:00+00,SHORT,93,0.39185967081533796,0.375,0.35786486,0.079702206,0.028973417
2006-01-23 00:00:00+00,SHORT,93,0.1915234233782271,0.41666666,0.27227736,0.07135432,0.022063985
2006-01-24 00:00:00+00,SHORT,93,0.2840238155651526,0.41666666,0.41719726,0.07419201,0.013636634
2006-01-24 00:00:00+00,SHORT,1012,0.8168100029556775,0.3243243,0.5012561,0.07180715,0.0031997822
2006-01-26 00:00:00+00,SHORT,3271,0.010593863553576109,0.4722222,0.283184,0.051157217,0.0033561597
2006-01-26 00:00:00+00,SHORT,1244,0.0,0.25,0.41000327,0.115915276,0.011647504
2006-01-26 00:00:00+00,SHORT,4089,0.43265467120506457,0.1,0.34068707,0.03287007,0.0041092457
2006-01-27 00:00:00+00,SHORT,475,0.33185074345267757,0.22891566,0.21512069,0.072116576,0.010932514
