time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,velocity_eps_9m_univ_zscore_df051
2006-07-17 00:00:00+00,LONG,323,0.7475854133092142,-0.004510576,-0.038580313
2006-07-17 00:00:00+00,LONG,406,0.9655172413793104,-0.0068117003,-0.052122764
2006-07-17 00:00:00+00,LONG,3539,0.96875,-0.003995771,-0.050068934
2006-07-18 00:00:00+00,LONG,76,1.0,-0.006451078,-0.056862324
2006-07-18 00:00:00+00,LONG,406,0.9310344827586207,-0.0013568464,-0.05253815
2006-07-18 00:00:00+00,LONG,3241,1.0,-0.0014247876,-0.053021297
2006-07-18 00:00:00+00,LONG,3539,0.9375,-0.006379452,-0.05050324
2006-07-20 00:00:00+00,LONG,3782,0.9259259259259259,-0.007038156,-0.04090412
2006-07-21 00:00:00+00,LONG,3699,0.5592006549763563,-0.0077092135,0.009373676
2006-07-21 00:00:00+00,LONG,3782,0.8888888888888888,-5.4509676E-4,-0.03805161
2006-07-21 00:00:00+00,LONG,3824,1.0,3.0472092E-4,-0.018804578
2006-07-24 00:00:00+00,LONG,167,0.975609756097561,-0.006215706,0.015334315
2006-07-24 00:00:00+00,LONG,1144,0.9230769230769231,-0.0044734254,-0.04731892
2006-07-25 00:00:00+00,LONG,1260,0.6953818972019133,-0.0035366376,-0.007892303
2006-07-26 00:00:00+00,LONG,64,1.0,0.0013551088,-0.05427633
2006-07-26 00:00:00+00,LONG,1144,0.8461538461538461,-0.0077195955,-0.053190563
2006-07-26 00:00:00+00,LONG,1260,0.2982976675527749,-0.0032860127,-0.0058232127
2006-07-27 00:00:00+00,LONG,862,0.0,0.0035998328,0.0091033345
2006-07-27 00:00:00+00,LONG,1144,0.29203115218198905,-0.003314746,-0.036564324
2006-07-27 00:00:00+00,LONG,1356,0.9661016949152542,-0.002402909,-0.046020936
2006-07-28 00:00:00+00,LONG,2870,1.0,-0.007943007,-0.03824982
2006-07-28 00:00:00+00,LONG,862,0.8108013299652539,-0.008123279,-0.025370575
2006-07-31 00:00:00+00,LONG,862,0.7112300142763568,-0.00784421,-0.013949926
2006-08-01 00:00:00+00,LONG,2393,0.4335749621894089,-0.004611045,-0.045690212
2006-08-01 00:00:00+00,LONG,862,0.8620689655172413,-7.5061596E-4,-0.017705137
2006-08-01 00:00:00+00,LONG,3378,0.9444444444444444,0.0022958627,-0.056490354
