time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-07-12 00:00:00+00,LONG,3109,0.0,-0.023963843,-0.012095445
2005-07-13 00:00:00+00,LONG,1846,0.4497876340446627,-0.02486426,0.0019104949
2005-07-15 00:00:00+00,LONG,2410,0.6609261523548513,-0.02490517,-0.0044584437
2005-07-15 00:00:00+00,LONG,1846,0.0,-0.02474148,0.0025775777
2005-07-25 00:00:00+00,LONG,3203,0.0,-0.02396429,-0.021426607
2005-07-27 00:00:00+00,LONG,2747,0.0,-0.024736721,-0.0037212295
2005-08-05 00:00:00+00,LONG,3203,0.1147316865477909,-0.025468737,-0.023980604
2005-08-08 00:00:00+00,LONG,1454,0.0,-0.024546115,0.015032019
2005-08-18 00:00:00+00,LONG,192,0.4266347439618794,-0.024827009,-0.014791234
2005-08-18 00:00:00+00,LONG,3994,0.5725712887120633,-0.024104936,-0.03215972
2005-08-19 00:00:00+00,LONG,3621,0.12707382588551652,-0.024281703,-0.014987982
2005-08-22 00:00:00+00,LONG,2778,0.1575797168130933,-0.025307313,-0.025968004
2005-08-22 00:00:00+00,LONG,1160,0.0,-0.025169728,-0.015974052
2005-08-22 00:00:00+00,LONG,3447,0.10968941133374309,-0.024959704,-0.0031258098
2005-08-24 00:00:00+00,LONG,2176,0.38609296497835943,-0.025930203,-0.0124009345
2005-08-24 00:00:00+00,LONG,3522,0.47407128851672403,-0.026156204,-0.010736371
2005-08-24 00:00:00+00,LONG,1715,0.6111111111111112,-0.02543116,-0.006127768
2005-08-24 00:00:00+00,LONG,3903,0.603448275862069,-0.025562266,0.0021745965
2005-08-24 00:00:00+00,LONG,3923,0.0,-0.026176516,0.0066332542
2005-08-26 00:00:00+00,LONG,3522,0.4216223550963274,-0.024887294,-0.013772176
2005-08-26 00:00:00+00,LONG,3903,0.5689655172413793,-0.02428565,-3.4801575E-5
2005-08-29 00:00:00+00,LONG,4176,0.0,-0.024751026,-0.008988707
2005-08-30 00:00:00+00,LONG,4187,0.0,-0.024843872,3.1351426E-4
