time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,skew_weighted_20_df037,velocity_eps_9m_univ_zscore_df051,price_drift_abs_1_df006
2007-03-16 00:00:00+00,LONG,3381,0.0,-0.01238249,-0.40155914,-0.004266879,0.0076739425
2007-03-19 00:00:00+00,LONG,516,0.9333333333333333,-0.005887633,-0.4330803,-0.008243021,0.011532547
2007-03-19 00:00:00+00,LONG,1087,0.7029963519728875,-0.0137393465,-0.3938982,-0.020470265,0.013886053
2007-03-19 00:00:00+00,LONG,1967,0.16066072726259492,-0.027291166,-0.3811174,-0.0022516707,0.021228772
2007-03-20 00:00:00+00,LONG,4107,0.9333333333333333,-0.0044850875,-0.4320845,-0.040767927,0.020405756
2007-03-20 00:00:00+00,LONG,834,0.2015981241682181,-0.015710069,-0.39272633,-0.01236447,0.008014105
2007-03-20 00:00:00+00,LONG,3742,0.22950150774315725,-0.03986692,-0.39673573,-0.01236447,0.0087685855
2007-03-22 00:00:00+00,LONG,1087,0.7272727272727273,-0.020482343,-0.4615893,-0.020374876,0.0072830264
2007-04-05 00:00:00+00,LONG,975,0.2615869058001773,-0.047843236,-0.4442795,-0.022557711,0.011947763
2007-04-19 00:00:00+00,LONG,3824,0.0,-0.0051815207,-0.47254112,-0.042788528,0.011255526
2007-04-23 00:00:00+00,LONG,3824,0.0,-0.010823084,-0.40109855,-0.036850076,0.005703258
2007-05-04 00:00:00+00,LONG,1299,0.0,-0.010443697,-0.47600967,-0.00877089,0.012348354
2007-05-07 00:00:00+00,LONG,1299,0.0,-0.011238667,-0.4165121,-0.00874252,0.007677122
2007-05-08 00:00:00+00,LONG,1299,0.0,-0.012493261,-0.47622174,-0.007877454,0.00914236
2007-05-11 00:00:00+00,LONG,1171,0.02746421514018834,0.017293997,-0.3979327,-0.009216771,0.009373277
2007-05-14 00:00:00+00,LONG,1171,0.022222222222222143,0.013702943,-0.38689935,-0.008295334,0.007050093
2007-05-15 00:00:00+00,LONG,664,0.0,-0.005551181,-0.43134636,-0.0062229712,0.007370953
2007-05-15 00:00:00+00,LONG,1171,0.0,0.010206576,-0.38058594,-0.0062229712,0.011584454
2007-05-24 00:00:00+00,LONG,2638,0.0,0.027752316,-0.425869,-0.029905804,0.022063594
2007-05-25 00:00:00+00,LONG,3684,1.0,-0.0055558733,-0.37818316,-0.043792613,0.0068965517
2007-06-12 00:00:00+00,LONG,183,0.5351931697719748,-0.005623861,-0.41404346,-0.05069782,0.0064446833
2007-06-12 00:00:00+00,LONG,1191,0.9583333333333334,-0.027959574,-0.37533566,-0.043375872,0.016830632
2007-06-12 00:00:00+00,LONG,1807,0.0,-0.044034213,-0.46282977,-0.028731972,0.03930131
2007-06-19 00:00:00+00,LONG,142,0.0,-0.025622346,-0.45958772,-0.04757411,0.030067392
2007-06-21 00:00:00+00,LONG,142,0.0,-0.03272376,-0.3943726,-0.04784497,0.012083781
2007-06-29 00:00:00+00,LONG,3804,0.0,-0.016621828,-0.5083169,-0.04358546,0.012356576
2007-07-10 00:00:00+00,LONG,2979,0.8181818181818181,-0.010180447,-0.37934265,-0.021131186,0.0079648895
2007-08-03 00:00:00+00,LONG,450,0.0,0.02359017,-0.41768578,-0.020165468,0.025240697
2007-08-10 00:00:00+00,LONG,2408,0.0,-0.018461654,-0.3788429,-0.0391845,0.021939587
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,-0.011891909,-0.50335693,-0.026695956,0.0317836
2007-08-15 00:00:00+00,LONG,2408,0.0,-0.029533021,-0.3913537,-0.039505884,0.02247537
2007-08-16 00:00:00+00,LONG,248,1.0,-0.012241357,-0.3856497,-0.04603966,0.008031076
2007-08-16 00:00:00+00,LONG,2986,1.0,-0.008528695,-0.43043292,-0.027137147,0.010065646
2007-08-16 00:00:00+00,LONG,1410,0.0,-0.0038264007,-0.49046206,-0.014535472,0.023436768
2007-08-16 00:00:00+00,LONG,1650,0.0,-0.03988105,-0.45957887,-0.027137147,0.020497166
2007-08-17 00:00:00+00,LONG,2050,0.9833333333333333,-0.021447137,-0.38446835,-0.01321515,0.01102779
2007-08-17 00:00:00+00,LONG,1063,0.0,-0.02950451,-0.40296108,-0.01828376,0.032622334
2007-08-20 00:00:00+00,LONG,195,0.0,-0.038326167,-0.4156777,-0.014806437,0.0057907347
2007-08-20 00:00:00+00,LONG,2408,0.28228572120549084,-0.04291812,-0.39594042,-0.040121827,0.012456085
2007-08-21 00:00:00+00,LONG,195,0.0,-0.042044077,-0.42444932,-0.015394713,0.011046395
2007-08-22 00:00:00+00,LONG,405,0.0,-0.04447535,-0.4437868,-0.008405474,0.01611877
2007-10-04 00:00:00+00,LONG,2986,0.0,0.026013983,-0.50514954,-0.017149447,0.0069881203
2007-10-04 00:00:00+00,LONG,1454,0.0,0.018617831,-0.43158138,-0.04450322,0.007096632
2007-10-05 00:00:00+00,LONG,2986,0.0,0.014248221,-0.42389286,-0.017171983,0.020680083
2007-10-08 00:00:00+00,LONG,2986,0.0,0.004586133,-0.38189712,-0.017206158,0.014005983
2007-10-11 00:00:00+00,LONG,2986,0.0,-0.021684926,-0.36852118,-0.020239638,0.012105893
2007-10-12 00:00:00+00,LONG,2986,0.0,-0.030183671,-0.39265627,-0.019065639,0.0128811775
2007-10-15 00:00:00+00,LONG,2986,0.0,-0.041029204,-0.46452755,-0.016616117,0.031663638
2007-10-18 00:00:00+00,LONG,988,0.0,0.022166222,-0.4807458,-0.0020371878,0.006013952
2007-10-30 00:00:00+00,LONG,2751,0.0,-0.006531404,-0.41284308,-0.002639792,0.009770329
2007-11-01 00:00:00+00,LONG,3198,0.0,0.02079914,-0.4771091,-0.023019614,0.022523783
2007-11-08 00:00:00+00,LONG,799,0.0,-0.03193837,-0.4170511,-0.032660984,0.030231953
2007-11-21 00:00:00+00,LONG,974,0.0,0.017379653,-0.3717289,-0.029888753,0.022543442
2008-01-09 00:00:00+00,LONG,3923,0.3761759473807695,-0.005346499,-0.47903588,-0.020500457,0.020393811
2008-01-22 00:00:00+00,LONG,1236,1.0,-0.023424953,-0.46948177,-0.013701691,0.011348981
2008-01-23 00:00:00+00,LONG,386,0.5745657553367273,-0.020096082,-0.41339773,-0.0206319,0.017301796
2008-01-23 00:00:00+00,LONG,739,1.0,-0.0044262,-0.5024775,-0.0206319,0.019532407
2008-01-24 00:00:00+00,LONG,386,0.4945191745251801,-0.022963343,-0.42936546,-0.024735196,0.011410118
2008-01-24 00:00:00+00,LONG,739,0.962962962962963,-0.011151603,-0.48017868,-0.024735196,0.019738752
2008-01-25 00:00:00+00,LONG,2410,0.7283632981895978,-0.0032472156,-0.40794834,-0.004159198,0.013897798
2008-01-25 00:00:00+00,LONG,3841,0.9259259259259259,-0.036022015,-0.3829283,-0.004159198,0.034514077
2008-01-28 00:00:00+00,LONG,93,0.0,-0.039615467,-0.39634794,-0.044662032,0.024149286
2008-01-28 00:00:00+00,LONG,1099,0.0,-0.0394172,-0.3703813,-0.034547504,0.024058577
2008-01-29 00:00:00+00,LONG,93,0.0,-0.043364715,-0.37034506,-0.044878613,0.0058949627
2008-01-29 00:00:00+00,LONG,1099,0.5205726792850052,-0.043042503,-0.4133738,-0.034873914,0.01940756
2008-02-05 00:00:00+00,LONG,708,0.0,-0.029265549,-0.37075967,-0.028236683,0.021987315
2008-02-07 00:00:00+00,LONG,708,0.0,-0.037206817,-0.42857268,-0.010272061,0.011647972
2008-02-08 00:00:00+00,LONG,708,0.0,-0.041853383,-0.45818037,-0.016812237,0.007249467
2008-02-11 00:00:00+00,LONG,708,0.0,-0.046231307,-0.4030674,-0.017260032,0.009020618
2008-03-07 00:00:00+00,LONG,4237,0.0,0.03702487,-0.40045094,-0.022743527,0.016489722
2008-03-11 00:00:00+00,LONG,1960,0.0,-0.036934786,-0.42507258,-7.160387E-4,0.0070339977
2008-03-17 00:00:00+00,LONG,2983,1.0,-0.02402379,-0.43669352,-0.017814187,0.010989011
2008-03-26 00:00:00+00,LONG,345,0.4869019129013131,-0.03862971,-0.4302904,-0.017790783,0.005577689
2008-03-26 00:00:00+00,LONG,2983,0.8421052631578947,-0.04738053,-0.43062845,-0.019219702,0.018856447
2008-03-28 00:00:00+00,LONG,345,0.5845574162104583,-0.041197296,-0.36887014,-0.021041088,0.008300396
2008-06-02 00:00:00+00,LONG,1210,0.0,0.007257742,-0.37128097,-0.0055657676,0.013801453
2008-07-11 00:00:00+00,LONG,2681,0.0,-0.048989512,-0.37440488,-0.044215567,0.0094383415
2008-08-07 00:00:00+00,LONG,1160,0.9090909090909091,-0.02643729,-0.46238622,-0.038358435,0.011559243
2009-07-08 00:00:00+00,LONG,870,1.0,-0.015519159,-0.41446102,-0.019903407,0.027320223
2009-07-08 00:00:00+00,LONG,1260,1.0,-0.023553668,-0.4569521,-0.019903407,0.006203069
2009-07-09 00:00:00+00,LONG,3283,0.9722222222222222,-0.020184478,-0.44076228,-0.007632113,0.036518395
2009-09-02 00:00:00+00,LONG,2272,1.0,0.011071095,-0.4317511,-0.049041707,0.027131783
2009-09-03 00:00:00+00,LONG,844,0.4387874607038549,0.009364989,-0.3972242,-0.051276375,0.035539217
2009-11-05 00:00:00+00,LONG,3743,0.5187112620514904,0.07039466,-0.37287018,-0.026236417,0.037623763
