time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,dist_upper_bb_20_2.5_df055
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,0.7064,2.7906717E-4
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,0.6542,-0.0059208255
2005-10-03 00:00:00+00,SHORT,2816,0.6087719424194011,0.5546,-0.011564071
2005-10-03 00:00:00+00,SHORT,2979,1.0,0.1837,-0.0050957263
2005-10-03 00:00:00+00,SHORT,1826,1.0,0.6394,-0.018858427
2005-10-03 00:00:00+00,SHORT,4062,0.2604219469703543,0.8537,-0.0027386742
2005-10-04 00:00:00+00,SHORT,4194,1.0,0.8211,0.03626034
2005-10-04 00:00:00+00,SHORT,142,0.27992275508768166,0.7465,-0.015825141
2005-10-04 00:00:00+00,SHORT,3179,0.6748973953658362,0.6072,-0.015491391
2005-10-04 00:00:00+00,SHORT,1300,0.5847924873152506,0.6083,-0.013370429
2005-10-04 00:00:00+00,SHORT,1453,0.7856109115694921,0.6885,-0.018431192
2005-10-06 00:00:00+00,SHORT,2365,0.26651032852328016,0.842,-0.016563926
2005-10-07 00:00:00+00,SHORT,1939,1.0,0.8565,-0.0021300456
2005-10-11 00:00:00+00,SHORT,1966,0.3066955611748492,0.6711,-0.007979386
2005-10-12 00:00:00+00,SHORT,629,1.0,0.796,-0.017589385
2005-10-14 00:00:00+00,SHORT,183,0.0,0.668,-0.00949129
2005-10-17 00:00:00+00,SHORT,183,0.0,0.6666,-0.005253435
2005-10-18 00:00:00+00,SHORT,183,0.0,0.6643,-0.014820395
2005-10-19 00:00:00+00,SHORT,2247,0.0,0.9122,0.0034296853
2005-10-19 00:00:00+00,SHORT,2681,0.0,0.221,0.0010076344
2005-10-19 00:00:00+00,SHORT,1191,0.0,0.6984,-0.017502801
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.9137,-0.0033731028
2005-10-20 00:00:00+00,SHORT,3645,0.1808211099437644,0.6757,-0.01848812
2005-10-20 00:00:00+00,SHORT,3716,0.0,0.5293,-0.0013403998
2005-10-21 00:00:00+00,SHORT,2247,0.0,0.9119,-0.014381329
2005-10-21 00:00:00+00,SHORT,1220,0.0,0.2161,0.014172163
2005-10-21 00:00:00+00,SHORT,3915,0.3427894486270502,0.6502,-0.008691429
2005-10-24 00:00:00+00,SHORT,2269,0.19354463365000457,0.2183,-0.011257986
