time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_21_50_df059,weighted_neg_sum_10_df036,skew_weighted_20_df037,joint_fall_flag_1_10_df042
2007-03-12 00:00:00+00,LONG,2437,0.5359338718733009,21.0,0.11643244,-0.27999726,0.0
2007-03-14 00:00:00+00,LONG,2932,0.827116521199365,28.0,0.10439945,-0.2384381,0.0
2007-03-14 00:00:00+00,LONG,3199,0.8653846153846154,22.0,0.12953076,-0.407427,0.0
2007-03-14 00:00:00+00,LONG,3815,0.45477327095100883,27.0,0.118083864,-0.35608175,0.0
2007-03-15 00:00:00+00,LONG,3862,0.0,19.0,0.11881315,-0.38727102,0.0
2007-03-19 00:00:00+00,LONG,1939,0.875,29.0,0.1200831,-0.47593498,0.0
2007-03-20 00:00:00+00,LONG,1939,0.8333333333333334,30.0,0.1200831,-0.47125468,0.0
2007-03-27 00:00:00+00,LONG,610,1.0,19.0,0.1165099,-0.2854104,0.0
2007-03-28 00:00:00+00,LONG,610,0.972972972972973,20.0,0.1165099,-0.33484858,0.0
2007-03-29 00:00:00+00,LONG,610,0.9459459459459459,21.0,0.09944954,-0.28298602,0.0
2007-04-23 00:00:00+00,LONG,881,0.0,28.0,0.10040246,-0.40230453,0.0
2007-04-24 00:00:00+00,LONG,881,0.0,29.0,0.10040246,-0.26109585,0.0
2007-06-07 00:00:00+00,LONG,1176,0.8648648648648649,13.0,0.12815402,-0.33905712,0.0
2007-06-11 00:00:00+00,LONG,1176,0.967741935483871,15.0,0.112878844,-0.42973977,0.0
2007-06-19 00:00:00+00,LONG,142,0.0,20.0,0.12140594,-0.45958772,0.0
2007-06-20 00:00:00+00,LONG,142,0.0,21.0,0.11278694,-0.48340493,0.0
2007-06-25 00:00:00+00,LONG,142,0.0,24.0,0.105326205,-0.2823484,0.0
2007-06-28 00:00:00+00,LONG,356,0.0,30.0,0.1032614,-0.38089493,0.0
2007-08-02 00:00:00+00,LONG,121,0.0,20.0,0.099577546,-0.5847846,0.0
2007-08-03 00:00:00+00,LONG,4097,0.0,29.0,0.12847182,-0.23434247,0.0
2007-08-03 00:00:00+00,LONG,121,0.0,21.0,0.124684386,-0.6516786,0.0
2007-08-06 00:00:00+00,LONG,121,0.0,22.0,0.12193236,-0.33978972,0.0
2007-08-06 00:00:00+00,LONG,1927,1.0,26.0,0.10427152,-0.5034906,0.0
2007-08-09 00:00:00+00,LONG,121,0.0,25.0,0.11557254,-0.26619244,0.0
2007-08-09 00:00:00+00,LONG,3885,0.21733937680634588,16.0,0.11669856,-0.5486201,0.0
2007-08-09 00:00:00+00,LONG,1927,0.5510560726869065,29.0,0.104006566,-0.23885694,0.0
2007-08-13 00:00:00+00,LONG,3885,0.0,18.0,0.107671544,-0.41974178,0.0
2007-08-16 00:00:00+00,LONG,2291,0.0,30.0,0.12894802,-0.3218709,0.0
2007-08-16 00:00:00+00,LONG,562,1.0,23.0,0.11421017,-0.34555197,0.0
2007-08-16 00:00:00+00,LONG,714,0.2894914015779151,29.0,0.12748675,-0.250645,0.0
2007-08-17 00:00:00+00,LONG,4122,0.18819213516694422,13.0,0.12496173,-0.24576822,0.0
2007-08-17 00:00:00+00,LONG,786,0.0,17.0,0.09932338,-0.24150781,0.0
2007-08-17 00:00:00+00,LONG,3114,0.5289511409395262,17.0,0.102935836,-0.27537733,0.0
2007-08-17 00:00:00+00,LONG,3838,0.9782608695652174,14.0,0.12054252,-0.6077231,0.0
2007-08-20 00:00:00+00,LONG,4122,0.11592498779505617,14.0,0.11545803,-0.27545205,0.0
2007-08-20 00:00:00+00,LONG,194,0.3696357860809434,13.0,0.1334935,-0.28367087,0.0
2007-08-20 00:00:00+00,LONG,2440,0.5041355689379089,13.0,0.124314204,-0.24281046,0.0
2007-08-20 00:00:00+00,LONG,643,0.01765758156483136,16.0,0.12255104,-0.6453055,0.0
2007-08-20 00:00:00+00,LONG,786,0.0,18.0,0.10056639,-0.23850706,0.0
