time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,dist_upper_bb_50_2.5_df055,co_fall_count_1_5_df044
2005-06-24 00:00:00+00,SHORT,1816,0.11413893461169916,-0.016258627,-0.02130716,1.0
2005-06-24 00:00:00+00,SHORT,4070,0.0,-0.018857809,-0.06513227,1.0
2005-06-27 00:00:00+00,SHORT,2176,0.5321567131331597,-0.020477766,-0.025825683,1.0
2005-06-28 00:00:00+00,SHORT,2176,0.5514530470193434,-0.01968497,-0.02704841,1.0
2005-06-29 00:00:00+00,SHORT,2055,0.0,-0.008448569,-0.027212586,1.0
2005-07-01 00:00:00+00,SHORT,588,0.2001987308068306,-0.013301985,-0.03623965,1.0
2005-07-01 00:00:00+00,SHORT,934,0.0,-0.017722687,-0.02190982,1.0
2005-07-06 00:00:00+00,SHORT,68,0.0,-0.013449154,-0.05437795,1.0
2005-07-06 00:00:00+00,SHORT,787,0.0,-0.019592674,-0.03549687,1.0
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,-0.010800545,-0.029637815,1.0
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,-0.009907624,-0.058295056,1.0
2005-07-11 00:00:00+00,SHORT,1816,0.0,-0.015254872,-0.01664924,1.0
2005-07-12 00:00:00+00,SHORT,28,1.0,-1.6078782E-5,-0.002187043,1.0
2005-07-13 00:00:00+00,SHORT,1888,0.0,-0.021024622,-0.041050028,1.0
2005-07-14 00:00:00+00,SHORT,791,0.0,-0.020777257,-0.054274004,1.0
2005-07-15 00:00:00+00,SHORT,93,0.3393999509167372,-0.016497081,-0.043984357,1.0
2005-07-15 00:00:00+00,SHORT,791,0.0,-0.01237992,-0.04697007,1.0
2005-07-18 00:00:00+00,SHORT,791,0.0,-0.012374909,-0.047070082,1.0
2005-07-19 00:00:00+00,SHORT,2686,0.9256075021455707,-0.021500597,-8.900031E-4,1.0
2005-07-19 00:00:00+00,SHORT,3531,0.6071236651285105,-0.016098116,-0.08775438,1.0
2005-07-20 00:00:00+00,SHORT,76,0.0,-0.00745539,-0.080949664,1.0
2005-07-20 00:00:00+00,SHORT,2815,0.5196730070315535,-0.016637325,-0.0073550325,1.0
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,-0.011331635,0.0142196985,1.0
2005-07-21 00:00:00+00,SHORT,4218,0.9249439521724835,-0.01431554,-0.039735146,1.0
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,-0.02057386,0.0049305577,1.0
2005-07-21 00:00:00+00,SHORT,4034,1.0,-0.017179174,-0.061142437,1.0
2005-07-22 00:00:00+00,SHORT,3915,1.0,-0.013340136,-0.025622131,1.0
