time,side,ticker_id,mv_up_composite_labels,skew_weighted_20_df037,accel_volume_5_df025,ma_cloud_diff_21_50_df007
2005-10-27 00:00:00+00,LONG,3614,0.7222222222222222,-0.31733817,0.6468608,-0.037976358
2005-10-27 00:00:00+00,LONG,3853,1.0,-0.42083877,0.38321555,-0.041051213
2005-10-28 00:00:00+00,LONG,2408,0.5496129516254932,-0.5592238,0.29178149,-0.027165828
2005-10-28 00:00:00+00,LONG,2557,0.3980498703186558,-0.42713618,0.24860911,-0.032895863
2005-10-28 00:00:00+00,LONG,2912,0.10827097512745337,-0.36657548,0.41691214,-0.045894098
2005-10-28 00:00:00+00,LONG,3124,0.8123707346742147,-0.381442,0.25380218,-0.03694357
2005-10-31 00:00:00+00,LONG,2276,0.9523809523809523,-0.44119862,0.63396525,-0.046260834
2005-10-31 00:00:00+00,LONG,401,0.9444444444444444,-0.34351385,0.4828558,-0.01866609
2005-10-31 00:00:00+00,LONG,3610,0.9523809523809523,-0.33977848,0.506237,-0.03911923
2005-11-01 00:00:00+00,LONG,2137,0.5621103466907329,-0.31758365,0.3545067,-0.038584646
2005-11-01 00:00:00+00,LONG,2408,0.443551074073786,-0.46883407,0.33827135,-0.030282518
2005-11-01 00:00:00+00,LONG,1985,0.0,-0.41570473,0.45402128,-0.03712708
2005-11-16 00:00:00+00,LONG,3677,1.0,-0.33148614,0.36375326,-0.040737372
2005-12-01 00:00:00+00,LONG,28,0.6022810208498633,-0.4885186,0.36758813,-0.028273853
2005-12-01 00:00:00+00,LONG,3890,0.19940825556779201,-0.31837043,0.43662104,-0.026015196
2005-12-13 00:00:00+00,LONG,4089,0.22491886357059135,-0.32787246,0.45650274,-0.016945053
2005-12-27 00:00:00+00,LONG,2084,0.0677498346824936,-0.3588477,0.322338,-0.01362904
2005-12-27 00:00:00+00,LONG,424,1.0,-0.50635827,0.3180428,-0.01575699
2005-12-28 00:00:00+00,LONG,1377,0.0,-0.468809,0.5695509,-0.008338889
2005-12-30 00:00:00+00,LONG,3065,0.0,-0.4639872,0.29758662,-0.01666514
2005-12-30 00:00:00+00,LONG,1447,0.0,-0.5007223,0.68875057,-0.01595589
2006-01-05 00:00:00+00,LONG,424,0.5089150434725875,-0.3926979,0.2532253,-0.04304216
2006-01-12 00:00:00+00,LONG,2067,0.0,-0.33714187,0.36500263,-0.047498975
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,-0.41547912,0.31413072,-0.03553023
2006-01-23 00:00:00+00,LONG,2972,0.6450874713118904,-0.4102206,0.55037385,-0.029750142
2006-01-26 00:00:00+00,LONG,157,0.7272727272727273,-0.359846,0.36661202,-0.039010298
2006-01-30 00:00:00+00,LONG,157,0.38152431087781,-0.45281574,0.4671436,-0.048882496
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,-0.3347527,0.29991317,-0.04279562
2006-02-06 00:00:00+00,LONG,2965,0.43107172519182435,-0.430087,0.45296827,-0.013695465
2006-02-07 00:00:00+00,LONG,1258,0.37762401215928076,-0.44751972,0.47841877,-0.031418588
2006-02-08 00:00:00+00,LONG,2084,0.375730681784156,-0.36772949,0.58834386,-0.013125886
2006-02-08 00:00:00+00,LONG,2285,0.0,-0.47275415,0.5265739,-0.042699356
2006-02-09 00:00:00+00,LONG,237,0.9516129032258065,-0.34201017,0.5761528,-0.011155403
2006-02-09 00:00:00+00,LONG,594,0.9272727272727272,-0.35471934,0.37734756,-0.021694217
2006-02-09 00:00:00+00,LONG,3853,0.0,-0.32295468,0.3126509,-0.03600882
2006-02-09 00:00:00+00,LONG,1896,0.0,-0.3276654,0.29966986,-0.02269036
2006-02-13 00:00:00+00,LONG,652,0.26796383053399625,-0.39448604,0.24481587,-0.030182151
2006-02-14 00:00:00+00,LONG,3652,0.4684954671157807,-0.3629487,0.45253837,-0.029722571
2006-02-21 00:00:00+00,LONG,3275,0.4114428096543846,-0.3220199,0.28559232,-0.024695998
2006-02-28 00:00:00+00,LONG,3447,0.7566970183046317,-0.34795406,0.368138,-0.04142734
2006-03-09 00:00:00+00,LONG,3430,0.8360655737704918,-0.3607466,0.37757486,-0.011703234
2006-03-10 00:00:00+00,LONG,356,0.0,-0.48867816,0.60670036,-0.026955765
2006-03-10 00:00:00+00,LONG,2912,0.35979651788242234,-0.3215055,0.5070922,-0.029297471
2006-03-22 00:00:00+00,LONG,2211,0.6705746432532649,-0.4018008,0.5041018,-0.038698122
2006-03-29 00:00:00+00,LONG,3699,0.0,-0.36576027,0.3578494,-0.04957346
2006-03-31 00:00:00+00,LONG,64,0.0,-0.5317322,0.3541396,-0.03181757
2006-03-31 00:00:00+00,LONG,881,0.0,-0.3201651,0.46749347,-0.0152461
2006-04-11 00:00:00+00,LONG,1063,0.0,-0.60437185,0.55284965,-0.012463963
2006-04-17 00:00:00+00,LONG,4218,0.0,-0.40379313,0.38480118,-0.0095607
2006-04-17 00:00:00+00,LONG,1236,0.173170098106009,-0.32175365,0.3633133,-0.010060564
2006-04-18 00:00:00+00,LONG,1063,0.0,-0.6020282,0.51904535,-0.025370108
2006-04-18 00:00:00+00,LONG,3466,0.0,-0.56192315,0.6875982,-0.050784342
2006-04-20 00:00:00+00,LONG,799,0.6549744948265431,-0.35869494,0.42110467,-0.023192016
2006-04-24 00:00:00+00,LONG,799,0.8979591836734694,-0.38153586,0.6924946,-0.025758948
