time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.5_df055,joint_fall_flag_1_20_df042,dist_lower_bb_50_2.0_df055
2006-06-14 00:00:00+00,LONG,1404,0.5134389952111315,16.0,-0.06414866,0.0,0.015273435
2006-06-14 00:00:00+00,LONG,3841,1.0,16.0,-0.031695426,0.0,0.01871819
2006-06-14 00:00:00+00,LONG,2041,1.0,17.0,-0.06449716,0.0,0.008887196
2006-06-19 00:00:00+00,LONG,2272,0.0,20.0,-0.03014227,0.0,0.012097027
2006-06-20 00:00:00+00,LONG,2272,0.0,21.0,-0.020716563,0.0,0.024168449
2006-06-20 00:00:00+00,LONG,914,1.0,35.0,-0.014176553,0.0,0.0066377996
2006-06-20 00:00:00+00,LONG,3613,0.5464192789749112,21.0,-0.026150579,0.0,0.018314194
2006-06-23 00:00:00+00,LONG,555,0.871110792409148,33.0,-0.0045776884,0.0,0.008448769
2006-06-28 00:00:00+00,LONG,835,0.7420823139406023,26.0,-0.014505666,0.0,0.006778717
2006-07-11 00:00:00+00,LONG,817,0.0,35.0,-0.15056786,0.0,0.079895906
2006-07-21 00:00:00+00,LONG,2305,1.0,38.0,0.03750114,0.0,0.06409583
2006-07-21 00:00:00+00,LONG,3501,1.0,23.0,0.012582994,0.0,0.027516661
2006-07-25 00:00:00+00,LONG,858,0.7741935483870968,20.0,-0.13009085,0.0,0.008370865
2006-08-09 00:00:00+00,LONG,101,0.6226401875338093,36.0,-0.008651279,0.0,0.0072920285
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,36.0,-0.007745785,0.0,0.021876121
2006-08-11 00:00:00+00,LONG,1790,0.957345830002671,21.0,-0.03086492,0.0,0.025031712
2006-08-28 00:00:00+00,LONG,974,0.5931220137366541,30.0,-0.23527043,0.0,0.03237436
2006-08-30 00:00:00+00,LONG,1838,0.6261943857582233,24.0,-0.0056997566,0.0,0.014905571
2006-09-13 00:00:00+00,LONG,4086,0.0,27.0,0.017414361,0.0,0.044603266
2006-09-14 00:00:00+00,LONG,4086,0.0,28.0,0.0023943342,0.0,0.032072883
2006-09-15 00:00:00+00,LONG,4086,0.0,29.0,-0.005240988,0.0,0.026648277
2006-09-25 00:00:00+00,LONG,498,0.489519317298906,16.0,-0.010112774,0.0,0.018570578
2006-09-25 00:00:00+00,LONG,838,1.0,19.0,0.007165213,0.0,0.034365114
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,19.0,-0.007265388,0.0,0.022225356
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,16.0,-0.0141054485,0.0,0.02595372
2006-10-10 00:00:00+00,LONG,3531,1.0,27.0,-0.014182458,0.0,0.015867606
2006-11-09 00:00:00+00,LONG,3903,1.0,19.0,0.01524165,0.0,0.031462494
2006-11-10 00:00:00+00,LONG,3903,0.9787234042553191,20.0,-0.008645436,0.0,0.008653602
2006-11-21 00:00:00+00,LONG,1250,0.6042910151311698,16.0,-0.00512075,0.0,0.009423737
2006-12-19 00:00:00+00,LONG,4107,0.9419321522872727,16.0,0.0021720903,0.0,0.01311702
2006-12-20 00:00:00+00,LONG,4107,0.9787234042553191,17.0,-0.002460779,0.0,0.009043674
2006-12-21 00:00:00+00,LONG,4107,0.8588775365398147,18.0,-0.005698474,0.0,0.006426463
2006-12-22 00:00:00+00,LONG,2066,0.0,19.0,0.051185187,0.0,0.0746093
2006-12-26 00:00:00+00,LONG,2066,0.0,20.0,0.030755516,0.0,0.05717906
2006-12-27 00:00:00+00,LONG,2066,0.0,21.0,0.0147496825,0.0,0.043622516
2006-12-28 00:00:00+00,LONG,2066,0.0,22.0,0.0011368385,0.0,0.032636717
2006-12-29 00:00:00+00,LONG,2066,0.0,23.0,-0.02015154,0.0,0.013786964
2007-01-08 00:00:00+00,LONG,2175,0.5802053432579334,22.0,-9.336627E-4,0.0,0.012815989
2007-01-09 00:00:00+00,LONG,1463,1.0,16.0,-0.010123895,0.0,0.0064634467
2007-01-12 00:00:00+00,LONG,1848,1.0,18.0,0.0019905388,0.0,0.017227285
2007-01-16 00:00:00+00,LONG,1848,0.967741935483871,19.0,-0.0066826222,0.0,0.009684937
2007-01-26 00:00:00+00,LONG,3271,0.8102253667297964,26.0,-0.0075441636,0.0,0.007246186
2007-03-01 00:00:00+00,LONG,1184,0.0,32.0,-0.008081284,0.0,0.0053047384
2007-03-02 00:00:00+00,LONG,1184,0.0,33.0,-0.003456914,0.0,0.010437885
2007-03-05 00:00:00+00,LONG,1,1.0,31.0,-0.01074628,0.0,0.006369097
