time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2007-03-22 00:00:00+00,SHORT,2936,0.0,0.0,1.0,-0.0036767896
2007-03-23 00:00:00+00,SHORT,1762,0.0,0.0,1.0,-0.006003834
2007-03-26 00:00:00+00,SHORT,714,0.2659362680213013,0.0,1.0,-0.0016180424
2007-04-04 00:00:00+00,SHORT,4150,0.3192014259979915,0.0,1.0,-0.004617446
2007-04-10 00:00:00+00,SHORT,938,0.0,0.0,1.0,-0.0055685895
2007-04-16 00:00:00+00,SHORT,842,0.5660872608774586,0.0,1.0,-0.0055033052
2007-04-18 00:00:00+00,SHORT,4194,0.34149643858615447,0.0,1.0,-0.0010967831
2007-04-20 00:00:00+00,SHORT,191,0.0,0.0,1.0,-0.0050953357
2007-04-26 00:00:00+00,SHORT,3137,0.7838517217848191,0.0,1.0,0.0057249907
2007-04-26 00:00:00+00,SHORT,3192,1.0,0.0,1.0,-0.00458478
2007-04-26 00:00:00+00,SHORT,1650,0.0,0.0,1.0,0.005171703
2007-04-27 00:00:00+00,SHORT,3645,0.2904444232503448,0.0,1.0,-0.0037976226
2007-05-03 00:00:00+00,SHORT,1817,0.5080182320072609,0.0,1.0,0.004267931
2007-05-04 00:00:00+00,SHORT,1817,0.4906474127794819,0.0,1.0,-0.0051310114
2007-05-07 00:00:00+00,SHORT,2050,0.33451968820704786,0.0,1.0,0.007492947
2007-06-01 00:00:00+00,SHORT,3782,0.48314062547839315,0.0,1.0,-0.0018942107
2007-06-04 00:00:00+00,SHORT,443,0.5140468549380431,0.0,1.0,0.0029194425
2007-06-04 00:00:00+00,SHORT,2731,0.47682733179839815,0.0,1.0,-0.0056519792
2007-06-04 00:00:00+00,SHORT,3907,0.15484235916576314,0.0,1.0,-0.0013390818
2007-06-05 00:00:00+00,SHORT,4122,0.5542907387892185,0.0,1.0,-0.0023857055
2007-06-05 00:00:00+00,SHORT,4218,0.2945383004980445,0.0,1.0,-0.0057311887
2007-06-05 00:00:00+00,SHORT,2365,0.45390053921428675,0.0,1.0,-0.0017559417
2007-06-05 00:00:00+00,SHORT,712,0.7685443222517595,0.0,1.0,0.0013642476
2007-06-05 00:00:00+00,SHORT,2028,0.14684040318519054,0.0,1.0,-0.0035491986
2007-06-15 00:00:00+00,SHORT,4074,0.0,0.0,1.0,-0.0046849125
2007-06-18 00:00:00+00,SHORT,694,0.491686495858086,0.0,1.0,0.0071659205
2007-06-18 00:00:00+00,SHORT,1423,0.0,0.0,1.0,-0.0015487964
2007-07-06 00:00:00+00,SHORT,3743,0.429660755162556,0.0,1.0,-0.0049075154
2007-07-09 00:00:00+00,SHORT,2410,0.2789781615495935,0.0,1.0,-0.0062320847
2007-07-13 00:00:00+00,SHORT,2686,0.14399683567087046,0.0,1.0,-0.0011175135
2007-07-13 00:00:00+00,SHORT,3596,1.0,0.0,1.0,-0.005572817
2007-07-17 00:00:00+00,SHORT,2437,0.9090909090909091,0.0,1.0,-0.005148131
2007-07-17 00:00:00+00,SHORT,1715,0.9090909090909091,0.0,1.0,-0.0029792562
2007-07-18 00:00:00+00,SHORT,1767,0.0,0.0,1.0,-0.0046356316
2007-07-18 00:00:00+00,SHORT,1967,0.4509480015639367,0.0,1.0,-0.0064460766
2007-07-19 00:00:00+00,SHORT,1173,0.5195741498464739,0.0,1.0,0.0017260063
2007-07-20 00:00:00+00,SHORT,2276,1.0,0.0,1.0,-0.003570509
2007-07-20 00:00:00+00,SHORT,4088,1.0,0.0,1.0,-0.002009331
2007-07-23 00:00:00+00,SHORT,2272,0.9285714285714286,0.0,1.0,-0.0035597533
2007-07-24 00:00:00+00,SHORT,2527,0.5473020826836799,0.0,1.0,-0.0036316537
2007-07-24 00:00:00+00,SHORT,3233,0.34472384892941405,0.0,1.0,0.0066742906
2007-07-24 00:00:00+00,SHORT,3882,1.0,0.0,1.0,0.0031493264
2007-07-25 00:00:00+00,SHORT,4164,1.0,0.0,1.0,0.00462014
2007-07-25 00:00:00+00,SHORT,834,0.8888888888888888,0.0,1.0,-0.0057425974
2007-07-25 00:00:00+00,SHORT,3233,0.30704572267405683,0.0,1.0,-0.003984119
2007-08-03 00:00:00+00,SHORT,1108,1.0,-0.026336582,1.0,0.004236673
2007-08-09 00:00:00+00,SHORT,959,1.0,0.0,1.0,0.0069391057
2007-08-10 00:00:00+00,SHORT,959,0.17904777711629052,0.0,1.0,-0.0011389494
2007-09-05 00:00:00+00,SHORT,3114,0.0,0.0,1.0,-0.0022330421
2007-09-19 00:00:00+00,SHORT,845,0.0,0.0,1.0,0.011867592
2007-10-02 00:00:00+00,SHORT,3754,0.45741342448960165,0.0,1.0,-0.0010962314
2007-10-08 00:00:00+00,SHORT,9,0.372535984992565,0.0,1.0,0.0014322216
2007-10-08 00:00:00+00,SHORT,558,0.8666666666666667,0.0,1.0,-0.0033418476
2007-10-08 00:00:00+00,SHORT,903,0.9425308004026044,0.0,1.0,0.002608675
2007-10-11 00:00:00+00,SHORT,3521,0.0,0.0,1.0,-0.0038961172
2007-10-11 00:00:00+00,SHORT,4000,0.0,0.0,1.0,-0.0049358374
2007-10-15 00:00:00+00,SHORT,1532,0.6707408003260221,0.0,1.0,-0.006104152
2007-10-16 00:00:00+00,SHORT,1740,0.6415382462372259,0.0,1.0,-0.0045292745
2007-10-26 00:00:00+00,SHORT,487,0.0,0.0,1.0,0.0016925982
2007-10-29 00:00:00+00,SHORT,465,0.401905046043617,0.0,1.0,-0.005871162
2007-10-30 00:00:00+00,SHORT,424,0.9166666666666666,-0.017652988,1.0,-0.005488518
2007-11-05 00:00:00+00,SHORT,4083,0.0,0.0,1.0,-0.004398844
2007-11-07 00:00:00+00,SHORT,1195,0.717593305159937,0.0,1.0,-0.0061210007
2007-12-03 00:00:00+00,SHORT,1171,0.6194484078709899,0.0,1.0,-0.0029256705
2007-12-06 00:00:00+00,SHORT,3142,0.9090909090909091,0.0,1.0,-0.0044535645
2007-12-07 00:00:00+00,SHORT,135,1.0,0.0,1.0,-0.0043375255
2007-12-07 00:00:00+00,SHORT,2582,1.0,0.0,1.0,-0.0042458363
2007-12-07 00:00:00+00,SHORT,2816,0.761788622109862,0.0,1.0,0.0015667294
2007-12-10 00:00:00+00,SHORT,1176,0.5928411218507047,0.0,1.0,-0.0062551363
2007-12-10 00:00:00+00,SHORT,3275,0.9,0.0,1.0,-0.005907843
2007-12-11 00:00:00+00,SHORT,3335,1.0,0.0,1.0,-0.004577937
2007-12-12 00:00:00+00,SHORT,2323,0.0,0.0,1.0,-0.003510865
2007-12-24 00:00:00+00,SHORT,2640,0.9166666666666666,0.0,1.0,0.017360741
2007-12-26 00:00:00+00,SHORT,52,0.9333333333333333,0.0,1.0,-0.005272441
2007-12-26 00:00:00+00,SHORT,2105,0.9090909090909091,0.0,1.0,-0.0024745811
2007-12-26 00:00:00+00,SHORT,131,0.4353686941824316,0.0,1.0,-0.005205187
2007-12-26 00:00:00+00,SHORT,631,1.0,0.0,1.0,-0.0048404248
2007-12-26 00:00:00+00,SHORT,1896,0.6560174870791406,0.0,1.0,-0.004141026
2007-12-27 00:00:00+00,SHORT,1328,0.9473684210526316,0.0,1.0,-0.005171993
