time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,normalized_6m_df004,ma_cloud_diff_8_50_df007
2005-10-06 00:00:00+00,LONG,516,0.8571428571428572,-0.064709574,0.38271606,-0.035336856
2005-10-06 00:00:00+00,LONG,1761,0.39849253336657275,-0.38373733,0.28846154,-0.0559765
2005-10-07 00:00:00+00,LONG,386,0.7828658720838156,-0.4365186,0.4716981,-0.04359835
2005-10-07 00:00:00+00,LONG,516,0.8123481403738276,-0.23813252,0.35365853,-0.03641372
2005-10-07 00:00:00+00,LONG,1761,0.3530507596448673,-0.35462978,0.26415095,-0.054959837
2005-10-10 00:00:00+00,LONG,4118,0.8372093023255813,-0.13539392,0.5294118,-0.06697235
2005-10-10 00:00:00+00,LONG,386,0.8888590321561517,-0.29868,0.49056605,-0.044256568
2005-10-10 00:00:00+00,LONG,2527,0.9772727272727273,-0.26564753,0.13333334,-0.06297399
2005-10-10 00:00:00+00,LONG,516,0.8,-0.1703844,0.3580247,-0.03531268
2005-10-10 00:00:00+00,LONG,1149,0.0,-0.09173622,0.6792453,-0.04433547
2005-10-10 00:00:00+00,LONG,3535,0.0,-0.19981498,0.2857143,-0.037995048
2005-10-10 00:00:00+00,LONG,1761,0.3275331129342121,-0.17765868,0.3018868,-0.051840298
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,-0.5516567,0.35849056,-0.07018095
2005-10-11 00:00:00+00,LONG,386,0.9111111111111111,-0.33989203,0.4716981,-0.0453246
2005-10-11 00:00:00+00,LONG,2527,0.9545454545454546,-0.21335934,0.13333334,-0.062890254
2005-10-11 00:00:00+00,LONG,2543,0.4034492625734117,-0.4150318,0.5294118,-0.055845816
2005-10-11 00:00:00+00,LONG,516,0.7714285714285715,-0.31146672,0.36585367,-0.0357266
2005-10-11 00:00:00+00,LONG,3535,0.0,-0.07213744,0.2857143,-0.038109515
2005-10-11 00:00:00+00,LONG,1650,0.0,-0.2027961,0.29411766,-0.03882702
2005-10-11 00:00:00+00,LONG,1761,0.3041775751199391,-0.0638379,0.3018868,-0.04911286
2005-10-11 00:00:00+00,LONG,1816,0.40630981182293185,-0.23537911,0.41509435,-0.070693254
2005-10-12 00:00:00+00,LONG,2085,0.0,-0.6364825,0.25490198,-0.04258846
2005-10-12 00:00:00+00,LONG,68,1.0,-0.42655122,0.23529412,-0.053278867
2005-10-12 00:00:00+00,LONG,158,1.0,-0.5612145,0.3939394,-0.049638934
2005-10-12 00:00:00+00,LONG,2393,1.0,-0.15521137,0.43137255,-0.048576683
2005-10-12 00:00:00+00,LONG,386,0.7406749327202289,-0.3620374,0.46153846,-0.046921983
2005-10-12 00:00:00+00,LONG,2527,0.9318181818181819,-0.22886601,0.13333334,-0.062206876
2005-10-12 00:00:00+00,LONG,505,1.0,-0.299446,0.15555556,-0.053109583
2005-10-12 00:00:00+00,LONG,2553,0.5048332971142604,-0.30649507,0.47560975,-0.031639695
2005-10-12 00:00:00+00,LONG,3065,0.0,-0.2852537,0.2580645,-0.07855245
2005-10-12 00:00:00+00,LONG,1650,0.9795918367346939,-0.17157993,0.29411766,-0.048247196
2005-10-12 00:00:00+00,LONG,3704,0.42934750523453735,-0.25651646,0.525641,-0.04530674
2005-10-12 00:00:00+00,LONG,1684,0.5425248703523488,-0.42970622,0.5,-0.04852084
2005-10-13 00:00:00+00,LONG,2085,0.0,-0.46304458,0.26415095,-0.04645097
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,-0.5306413,0.20754717,-0.06529913
2005-10-13 00:00:00+00,LONG,158,0.9761904761904762,-0.3249391,0.3939394,-0.060046542
2005-10-13 00:00:00+00,LONG,2393,0.9787234042553191,-0.36526862,0.43396226,-0.054728612
2005-10-13 00:00:00+00,LONG,386,0.8666666666666667,-0.3056764,0.4528302,-0.047045548
2005-10-13 00:00:00+00,LONG,2527,0.9090909090909091,-0.16296145,0.11111111,-0.061497822
2005-10-13 00:00:00+00,LONG,2543,0.373098844339923,-0.6483223,0.49056605,-0.06326898
2005-10-13 00:00:00+00,LONG,2546,0.37462099253351794,-0.59159935,0.754717,-0.037137117
2005-10-13 00:00:00+00,LONG,505,0.96875,-0.17976901,0.15555556,-0.060317412
2005-10-13 00:00:00+00,LONG,2553,0.4617461667774105,-0.52581674,0.56790125,-0.033780072
2005-10-13 00:00:00+00,LONG,2870,0.9583333333333334,-0.475413,0.13793103,-0.03654143
2005-10-13 00:00:00+00,LONG,2999,1.0,-0.56079453,0.6666667,-0.08948541
2005-10-13 00:00:00+00,LONG,3065,0.3092063183417378,-0.34409058,0.2580645,-0.07950205
2005-10-13 00:00:00+00,LONG,3187,0.3918219750180463,-0.3355656,0.27160493,-0.03691545
2005-10-13 00:00:00+00,LONG,3216,0.5524923386598368,-0.59109646,0.28395063,-0.06537388
2005-10-13 00:00:00+00,LONG,1434,0.8001847714351011,-0.57667243,0.30864197,-0.07574223
2005-10-13 00:00:00+00,LONG,3535,0.0,-0.1791317,0.2857143,-0.038171854
2005-10-13 00:00:00+00,LONG,1650,0.9591836734693877,-0.33855706,0.3018868,-0.056994457
2005-10-13 00:00:00+00,LONG,3704,0.33730819676332047,-0.4713405,0.5185185,-0.046729717
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,-0.6165585,0.31034482,-0.052474942
2005-10-13 00:00:00+00,LONG,1684,0.4694305484242921,-0.421782,0.49056605,-0.049706444
2005-10-13 00:00:00+00,LONG,4032,1.0,-0.22332275,0.13207547,-0.09726905
2005-10-13 00:00:00+00,LONG,2042,0.7222222222222222,-0.30192217,0.44444445,-0.036696643
2005-10-14 00:00:00+00,LONG,2085,0.0,-0.549382,0.2264151,-0.049831245
2005-10-14 00:00:00+00,LONG,68,0.0,-0.6012341,0.24528302,-0.074758776
2005-10-14 00:00:00+00,LONG,158,0.9523809523809523,-0.16542922,0.4848485,-0.0695724
2005-10-14 00:00:00+00,LONG,2393,0.9574468085106383,-0.5543693,0.43396226,-0.05900156
2005-10-14 00:00:00+00,LONG,386,0.7180828197823599,-0.16004969,0.4528302,-0.04534718
2005-10-14 00:00:00+00,LONG,2543,0.3461937690759184,-0.54150826,0.49056605,-0.06285306
2005-10-14 00:00:00+00,LONG,505,0.9375,-0.1625974,0.13953489,-0.06662636
2005-10-14 00:00:00+00,LONG,2553,0.43170251170334284,-0.26397908,0.5316456,-0.03326483
2005-10-14 00:00:00+00,LONG,2778,0.5033779716868467,-0.5217368,0.2857143,-0.057627305
2005-10-14 00:00:00+00,LONG,2870,0.9166666666666666,-0.4108854,0.13333334,-0.042878415
2005-10-14 00:00:00+00,LONG,3065,0.3730109265497211,-0.3467454,0.2580645,-0.078108914
2005-10-14 00:00:00+00,LONG,3187,0.3579328725444557,-0.54250145,0.278481,-0.044354603
2005-10-14 00:00:00+00,LONG,3378,0.7494484716309454,-0.252749,0.6792453,-0.059305005
2005-10-14 00:00:00+00,LONG,1514,0.6418541597941203,-0.55321264,0.1904762,-0.0353581
2005-10-14 00:00:00+00,LONG,1650,0.9387755102040817,-0.40247113,0.3773585,-0.06234492
2005-10-14 00:00:00+00,LONG,1667,0.96,-0.6119918,0.3,-0.061518908
2005-10-14 00:00:00+00,LONG,1684,0.48531029905538403,-0.48773703,0.49056605,-0.050390758
2005-10-14 00:00:00+00,LONG,1745,0.700220996682724,-0.33369386,0.20253165,-0.08232158
2005-10-14 00:00:00+00,LONG,4032,0.7513371045587269,-0.12036887,0.13207547,-0.09458318
2005-10-14 00:00:00+00,LONG,2042,0.7037037037037037,-0.27028078,0.47727272,-0.03526174
2005-10-17 00:00:00+00,LONG,4118,0.7209302325581395,-0.12959127,0.5294118,-0.05055519
2005-10-17 00:00:00+00,LONG,2085,0.0,-0.3173379,0.25,-0.04952734
2005-10-17 00:00:00+00,LONG,158,0.0,-0.24865954,0.3939394,-0.076671995
2005-10-17 00:00:00+00,LONG,2393,0.88,-0.4902352,0.44230768,-0.06109687
2005-10-17 00:00:00+00,LONG,2543,0.42426188014953,-0.5211733,0.46153846,-0.061206218
2005-10-17 00:00:00+00,LONG,505,0.90625,-0.13650484,0.17777778,-0.067582116
2005-10-17 00:00:00+00,LONG,2553,0.4588054476703849,-0.44038102,0.51282054,-0.032475762
2005-10-17 00:00:00+00,LONG,2778,0.0,-0.5139209,0.2857143,-0.060394466
2005-10-17 00:00:00+00,LONG,2870,0.875,-0.5045545,0.1724138,-0.044031326
