time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,skew_weighted_10_df037,ma_cloud_diff_8_50_df007,volume_spike_10_df057,ev_ebitda_sector_relative_df085
2007-08-13 00:00:00+00,LONG,131,0.0,1.0,0.018625554,-0.112359874,-0.025847113,0.0
2007-08-13 00:00:00+00,LONG,194,0.0,1.0,-0.42066902,-0.08869226,-0.07889413,0.0
2007-08-13 00:00:00+00,LONG,2866,0.0,1.0,-0.19733202,-0.11796347,0.30703968,0.0
2007-08-13 00:00:00+00,LONG,836,0.0,1.0,-0.013640866,-0.08583788,0.25112346,0.0
2007-08-13 00:00:00+00,LONG,3218,0.0,1.0,0.14868045,-0.087871104,0.6641428,0.0
2007-08-14 00:00:00+00,LONG,194,0.0,1.0,-0.2647814,-0.09915427,-2.0595202E-4,0.0
2007-08-14 00:00:00+00,LONG,2866,0.0,1.0,-0.15116814,-0.11681854,-0.009462301,0.0
2007-08-15 00:00:00+00,LONG,2866,0.0,1.0,-0.12603073,-0.113088034,-0.02544369,0.0
2007-08-15 00:00:00+00,LONG,3218,0.19986173780442731,1.0,-0.014615997,-0.08046582,-0.06703911,0.0
2007-08-16 00:00:00+00,LONG,2067,0.0,1.0,-0.22716095,-0.11883,0.07456527,0.0194
2007-08-16 00:00:00+00,LONG,93,0.7694582786352598,1.0,-0.32788405,-0.11804895,0.28131193,0.146
2007-08-16 00:00:00+00,LONG,157,0.0,1.0,-0.0027004648,-0.0978733,0.45142296,0.0098
2007-08-16 00:00:00+00,LONG,2270,1.0,1.0,-0.19927897,-0.11882354,0.36419627,0.0
2007-08-16 00:00:00+00,LONG,3098,0.6335916442482578,1.0,-0.24216807,-0.08576674,0.007686666,0.0
2007-08-16 00:00:00+00,LONG,1328,0.0,1.0,-0.09002759,-0.11067738,-0.0026940124,0.1001
2007-08-16 00:00:00+00,LONG,3519,0.0,1.0,1.9115013E-4,-0.090124585,0.028816482,0.0
2007-08-16 00:00:00+00,LONG,3595,1.0,1.0,-0.602103,-0.11506578,0.46109313,0.5534
2007-08-16 00:00:00+00,LONG,3824,0.3982109358976512,1.0,-0.33547658,-0.09156904,0.4743297,-0.0046
2007-08-16 00:00:00+00,LONG,3853,0.0,1.0,-0.6647045,-0.089027345,0.08374084,0.5242
2007-08-17 00:00:00+00,LONG,4112,0.9830508474576272,1.0,-0.02030507,-0.09151501,0.12917453,-0.0012
2007-08-17 00:00:00+00,LONG,4140,0.29831150758877784,1.0,0.13781708,-0.09382141,0.29556945,0.0
2007-08-17 00:00:00+00,LONG,93,0.0,1.0,-0.047451988,-0.115185544,0.23527348,0.1471
2007-08-17 00:00:00+00,LONG,4224,0.21860180571226231,1.0,-0.277618,-0.0864833,0.08785504,0.7214
2007-08-17 00:00:00+00,LONG,401,0.0,1.0,0.11467572,-0.09479205,-0.017466629,0.0155
2007-08-17 00:00:00+00,LONG,2866,0.0,1.0,0.10715506,-0.10725785,0.0043143015,0.0
2007-08-17 00:00:00+00,LONG,2936,0.5747884784933107,1.0,-0.13115378,-0.08608683,0.42522478,0.0217
2007-08-17 00:00:00+00,LONG,1043,0.9615384615384616,1.0,-0.64363545,-0.11710496,0.21659635,0.0188
2007-08-17 00:00:00+00,LONG,3824,0.0,1.0,0.020871844,-0.09216565,-0.07903175,-0.0038
2007-08-17 00:00:00+00,LONG,3841,0.0,1.0,-0.07888648,-0.08924902,0.24669391,0.1582
2007-08-17 00:00:00+00,LONG,3853,0.0,1.0,-0.21633273,-0.09154096,-0.027041888,0.5257
2007-08-20 00:00:00+00,LONG,3831,0.967741935483871,1.0,-0.31171846,-0.08346287,-0.05521727,0.0367
2007-08-21 00:00:00+00,LONG,4112,0.9491525423728814,1.0,-0.092755556,-0.096002236,0.24919105,-0.0017
2007-08-21 00:00:00+00,LONG,739,0.9347826086956522,1.0,-0.119005695,-0.1087656,0.06518922,0.9557
2007-08-22 00:00:00+00,LONG,356,0.0,1.0,-0.04293891,-0.09467184,-0.028763285,1.0594
2007-08-22 00:00:00+00,LONG,3831,0.8053047134526359,1.0,-0.3574823,-0.0897549,-0.037414245,0.0363
2007-08-23 00:00:00+00,LONG,356,0.4464824597632723,1.0,0.029635224,-0.093828864,0.049954142,1.0572
2007-08-23 00:00:00+00,LONG,2703,0.44807057501110525,1.0,-0.26575315,-0.085695915,-0.049000278,0.117
2007-08-23 00:00:00+00,LONG,3831,0.8267691809705435,1.0,-0.13055046,-0.09077954,0.16336949,0.0358
2007-08-27 00:00:00+00,LONG,1306,0.24316981676391836,1.0,-0.4432924,-0.10935276,0.16147213,0.0189
