time,side,ticker_id,mv_dn_composite_labels,accel_eps_qoq_df017,dist_upper_bb_20_2.0_df055,joint_fall_flag_1_20_df042
2007-09-05 00:00:00+00,SHORT,3114,0.0,-0.07,-0.0022330421,1.0
2007-09-19 00:00:00+00,SHORT,845,0.0,0.03,0.011867592,1.0
2007-10-08 00:00:00+00,SHORT,9,0.372535984992565,0.54,0.0014322216,1.0
2007-10-08 00:00:00+00,SHORT,558,0.8666666666666667,0.18,-0.0033418476,1.0
2007-10-08 00:00:00+00,SHORT,903,0.9425308004026044,-0.01,0.002608675,1.0
2007-10-16 00:00:00+00,SHORT,1740,0.6415382462372259,-0.06,-0.0045292745,1.0
2007-11-05 00:00:00+00,SHORT,4083,0.0,0.56,-0.004398844,1.0
2007-12-03 00:00:00+00,SHORT,1171,0.6194484078709899,0.05,-0.0029256705,1.0
2007-12-06 00:00:00+00,SHORT,3142,0.9090909090909091,0.04,-0.0044535645,1.0
2007-12-07 00:00:00+00,SHORT,135,1.0,0.05,-0.0043375255,1.0
2007-12-07 00:00:00+00,SHORT,2582,1.0,-0.06,-0.0042458363,1.0
2007-12-07 00:00:00+00,SHORT,2816,0.761788622109862,0.2,0.0015667294,1.0
2007-12-24 00:00:00+00,SHORT,2640,0.9166666666666666,0.01,0.017360741,1.0
2007-12-26 00:00:00+00,SHORT,631,1.0,-0.05,-0.0048404248,1.0
2008-01-03 00:00:00+00,SHORT,3116,0.0,0.13,-0.0030159275,1.0
2008-01-08 00:00:00+00,SHORT,2961,0.0,0.03,6.1964063E-4,1.0
2008-01-10 00:00:00+00,SHORT,791,1.0,0.09,0.0021779274,1.0
2008-01-10 00:00:00+00,SHORT,3522,0.7262656720045253,0.42,-9.210144E-4,1.0
2008-01-11 00:00:00+00,SHORT,937,0.6596316543694865,-0.01,-0.0010210034,1.0
2008-02-14 00:00:00+00,SHORT,1523,0.09274212082682959,-0.14,0.03367235,1.0
2008-02-25 00:00:00+00,SHORT,4215,0.0,0.0365,0.012921855,1.0
2008-02-26 00:00:00+00,SHORT,245,1.0,-0.14,-0.0027106355,1.0
2008-02-27 00:00:00+00,SHORT,450,0.4560899795400392,0.22,-0.002239461,1.0
2008-02-27 00:00:00+00,SHORT,862,0.7781775780665718,-0.13,-0.0032524844,1.0
2008-02-27 00:00:00+00,SHORT,3744,1.0,0.1944,0.0023290922,1.0
2008-02-27 00:00:00+00,SHORT,4062,0.0,0.04,-0.0017842825,1.0
2008-02-28 00:00:00+00,SHORT,562,0.9,-0.08,-0.0021706922,1.0
