time,side,ticker_id,mv_up_composite_labels,weighted_pos_sum_60_df035,dist_lower_bb_50_2.5_df055
2005-10-27 00:00:00+00,LONG,2391,1.0,0.49731505,-0.011091278
2005-10-27 00:00:00+00,LONG,3343,1.0,0.49865073,-0.05122148
2005-10-27 00:00:00+00,LONG,1790,0.28941209807793844,0.5043575,-0.03409322
2005-10-28 00:00:00+00,LONG,2391,0.5294833627515625,0.5207699,-0.03560433
2005-10-28 00:00:00+00,LONG,3343,0.9523809523809523,0.49865073,-0.046529215
2005-10-28 00:00:00+00,LONG,3699,0.5351289360100635,0.5059683,-0.032351464
2005-10-28 00:00:00+00,LONG,1790,0.28195341156184983,0.5008055,-0.039874047
2005-10-31 00:00:00+00,LONG,2391,0.9459459459459459,0.5175648,-0.016142027
2005-10-31 00:00:00+00,LONG,3343,0.9047619047619048,0.49775094,-0.05095266
2005-10-31 00:00:00+00,LONG,3699,0.4826435711493837,0.5097316,-0.054602444
2005-10-31 00:00:00+00,LONG,1790,0.28953584596148024,0.5008055,-0.028184978
2005-11-01 00:00:00+00,LONG,2391,0.5249508773969673,0.49610743,-0.023611909
2005-11-01 00:00:00+00,LONG,3343,0.8571428571428572,0.49775094,-0.044420023
2005-11-01 00:00:00+00,LONG,1790,0.3010916501982296,0.501549,-0.03255653
2005-11-02 00:00:00+00,LONG,2391,0.5069056684490948,0.5021966,-0.040168624
2005-11-02 00:00:00+00,LONG,3343,0.8095238095238095,0.49143958,-0.042279426
2005-11-02 00:00:00+00,LONG,1790,0.2526935642982064,0.5119502,-0.04628973
2005-11-10 00:00:00+00,LONG,874,1.0,0.6237371,0.017801192
2005-11-11 00:00:00+00,LONG,4123,1.0,0.640856,-0.035497036
2005-11-11 00:00:00+00,LONG,2690,1.0,0.6669826,-0.05706338
2005-11-11 00:00:00+00,LONG,3116,0.0,0.68815213,-0.04422208
2005-11-11 00:00:00+00,LONG,1740,1.0,0.68191,-0.055373553
2005-11-14 00:00:00+00,LONG,4123,0.98,0.6300337,-0.05362416
2005-11-14 00:00:00+00,LONG,874,0.9661016949152542,0.68180686,-0.041975792
2005-11-14 00:00:00+00,LONG,3116,0.0,0.66976094,-0.058319412
2005-11-15 00:00:00+00,LONG,4123,0.96,0.62908936,-0.060164884
2005-11-15 00:00:00+00,LONG,984,1.0,0.7021954,-0.019645017
2005-11-15 00:00:00+00,LONG,3116,0.0,0.66976094,-0.057303492
2005-11-17 00:00:00+00,LONG,3677,0.0,0.5354318,-0.05755167
2005-11-18 00:00:00+00,LONG,76,0.0,0.5061382,0.018517768
2005-11-21 00:00:00+00,LONG,76,0.0,0.5572482,-0.037917018
2005-11-22 00:00:00+00,LONG,153,0.855635784696622,0.5616368,-0.053419724
2005-11-23 00:00:00+00,LONG,76,0.0,0.57756513,-0.05700682
2005-11-25 00:00:00+00,LONG,76,0.0,0.54333,-0.051377427
2005-12-06 00:00:00+00,LONG,3677,0.7045454545454546,0.49933022,-0.0574621
2005-12-08 00:00:00+00,LONG,429,0.4915254237288136,0.51375055,-0.05705597
2005-12-08 00:00:00+00,LONG,2801,0.8702102966744591,0.64637697,-0.038960118
2005-12-08 00:00:00+00,LONG,3677,0.6590909090909091,0.48535267,-0.05917713
2005-12-08 00:00:00+00,LONG,1869,0.02108771398963974,0.48636428,-0.04144544
2005-12-09 00:00:00+00,LONG,1869,0.0,0.48636428,-0.041910924
2005-12-12 00:00:00+00,LONG,3677,0.6136363636363636,0.48257068,-0.048169307
2005-12-12 00:00:00+00,LONG,1869,0.0,0.48636428,-0.040707383
2005-12-13 00:00:00+00,LONG,1869,0.01184188041929091,0.49007386,-0.044956956
2005-12-14 00:00:00+00,LONG,897,0.5326090770108821,0.5224729,-0.015706941
2005-12-14 00:00:00+00,LONG,1869,0.0,0.49588168,-0.051232982
2005-12-15 00:00:00+00,LONG,897,0.3782428358740504,0.5093696,-0.029975625
2005-12-15 00:00:00+00,LONG,1869,0.0,0.49588168,-0.042459857
2005-12-16 00:00:00+00,LONG,897,0.42574322176418067,0.5093696,-0.012299781
2005-12-16 00:00:00+00,LONG,1869,0.0,0.49588168,-0.015199971
