time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2006-03-21 00:00:00+00,LONG,2619,0.18496919569459064,0.14303505,-0.10299701,-0.14303505,-0.008496851,17.43
2006-03-22 00:00:00+00,LONG,2619,0.173818827158768,0.15361604,-0.09913071,-0.15361604,0.019879606,17.52
2006-03-23 00:00:00+00,LONG,2619,0.3099642175341769,0.1433542,-0.11784836,-0.1433542,0.02515381,16.83
2006-03-23 00:00:00+00,LONG,1838,0.4719973178091957,0.17333333,-0.037990283,-0.17333333,4.71915E-4,34.27
2006-05-18 00:00:00+00,LONG,1740,0.0,0.13831979,-2.752442E-4,-0.13831979,-0.019669611,14.72
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.1651879,-0.032517623,-0.1651879,-0.017466707,-59.61
2006-06-08 00:00:00+00,LONG,2716,0.0,0.16126418,-0.027292855,-0.16126418,-0.011520037,-40.47
2006-06-12 00:00:00+00,LONG,3199,0.0,0.16850069,-0.10340867,-0.16850069,-0.024221778,-60.99
2006-06-13 00:00:00+00,LONG,2619,0.0,0.15254839,-0.0091316765,-0.15254839,-4.669551E-4,57.89
2006-06-13 00:00:00+00,LONG,712,0.0,0.16140777,-0.01175133,-0.16140777,-0.025995214,-0.25
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.16743946,-0.0114489505,-0.16743946,-0.003546628,-12.98
2006-06-13 00:00:00+00,LONG,1280,1.0,0.16785145,-0.019254413,-0.16785145,0.03590395,-39.78
2006-06-13 00:00:00+00,LONG,3330,1.0,0.13818082,-0.0060465257,-0.13818082,-0.009092259,-52.48
2006-06-13 00:00:00+00,LONG,1303,1.0,0.13400534,-0.01930168,-0.13400534,0.011964995,-28.86
2006-06-13 00:00:00+00,LONG,1462,0.17414144502447965,0.14270833,-0.0027800554,-0.14270833,0.015363703,-17.17
2006-06-13 00:00:00+00,LONG,1888,1.0,0.16213389,0.017112188,-0.16213389,-0.023607014,-24.57
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,0.15597668,-4.0054522E-4,-0.15597668,-0.016751304,-62.09
2006-06-13 00:00:00+00,LONG,4062,0.0,0.1602285,-0.021921413,-0.1602285,0.022524923,-26.02
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,0.1513526,-0.03215793,-0.1513526,0.034646906,-11.62
2006-06-14 00:00:00+00,LONG,1673,1.0,0.15632755,-0.036666866,-0.15632755,0.037958574,12.94
2006-06-15 00:00:00+00,LONG,3286,0.0,0.1495327,-0.12892425,-0.1495327,0.03335691,-21.31
2006-06-15 00:00:00+00,LONG,3352,0.9130434782608696,0.15106118,-0.09525897,-0.15106118,0.03585034,-12.45
2006-06-15 00:00:00+00,LONG,1423,0.0,0.14246824,-0.12796749,-0.14246824,0.030900279,-18.68
2006-06-19 00:00:00+00,LONG,356,0.0,0.14598,-0.12057966,-0.14598,-0.01590595,58.64
2006-06-19 00:00:00+00,LONG,2568,0.13338783865813125,0.15821095,-0.058634184,-0.15821095,-0.006342045,-28.53
2006-06-19 00:00:00+00,LONG,2932,0.3296604625599995,0.15993413,-0.12571976,-0.15993413,-0.039769668,-11.84
2006-06-19 00:00:00+00,LONG,1022,0.9069767441860466,0.16969594,-0.13259208,-0.16969594,-0.031336058,8.39
2006-06-19 00:00:00+00,LONG,3286,0.0,0.15883748,-0.10309,-0.15883748,-0.0033495761,-22.32
2006-06-19 00:00:00+00,LONG,3352,0.8260869565217391,0.13279618,-0.10487574,-0.13279618,-0.010272555,-11.33
2006-06-19 00:00:00+00,LONG,1404,0.5085784402431355,0.14522293,-0.1255052,-0.14522293,-0.01244651,-21.35
2006-06-19 00:00:00+00,LONG,3466,0.0,0.1318323,-0.071440026,-0.1318323,-0.026958054,-23.58
2006-06-19 00:00:00+00,LONG,2041,0.8571428571428572,0.16595982,-0.15108044,-0.16595982,-0.013044242,91.41
2006-06-20 00:00:00+00,LONG,2568,0.0,0.15859324,-0.068518326,-0.15859324,0.021931805,-28.46
2006-06-20 00:00:00+00,LONG,2932,0.3135337902436744,0.14473538,-0.13941276,-0.14473538,0.03512879,-10.89
2006-06-20 00:00:00+00,LONG,3286,0.0,0.16794978,-0.10807785,-0.16794978,0.011543021,-24.48
2006-06-20 00:00:00+00,LONG,1404,0.4601441855431798,0.13351598,-0.1505199,-0.13351598,0.03754262,-22.04
2006-06-20 00:00:00+00,LONG,3466,0.46566594864078603,0.15619195,-0.068038285,-0.15619195,0.015131431,-24.93
2006-06-27 00:00:00+00,LONG,3286,0.0,0.13361295,-0.14623755,-0.13361295,-0.010783894,-23.71
