time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_5_df042,skew_weighted_10_df037
2005-07-13 00:00:00+00,SHORT,1610,0.39905492253016,0.0,0.5875837
2005-07-14 00:00:00+00,SHORT,3897,0.794696663239638,0.0,0.58015394
2005-07-15 00:00:00+00,SHORT,1927,0.6385432973562478,0.0,0.61599976
2005-07-18 00:00:00+00,SHORT,1939,0.9444444444444444,0.0,0.6425032
2005-07-19 00:00:00+00,SHORT,3531,0.6071236651285105,0.0,0.5893471
2005-07-19 00:00:00+00,SHORT,3573,0.0,0.0,0.5655817
2005-07-19 00:00:00+00,SHORT,3631,0.7142857142857143,0.0,0.5599009
2005-07-19 00:00:00+00,SHORT,1939,0.8888888888888888,0.0,0.68106395
2005-07-20 00:00:00+00,SHORT,76,0.0,0.0,0.64518297
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,0.0,0.6292572
2005-07-20 00:00:00+00,SHORT,1244,0.6428571428571429,0.0,0.5875249
2005-07-20 00:00:00+00,SHORT,1869,0.8571428571428572,0.0,0.6460063
2005-07-20 00:00:00+00,SHORT,2004,0.3715488062936796,0.0,0.6012118
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,0.0,0.61554486
2005-07-21 00:00:00+00,SHORT,3199,1.0,0.0,0.578183
2005-07-21 00:00:00+00,SHORT,1677,1.0,0.0,0.59898645
2005-07-21 00:00:00+00,SHORT,1678,1.0,0.0,0.59922194
2005-07-21 00:00:00+00,SHORT,3794,1.0,0.0,0.60991114
2005-07-22 00:00:00+00,SHORT,3433,0.0,0.0,0.5817355
2005-07-22 00:00:00+00,SHORT,3748,1.0,0.0,0.61708784
2005-07-22 00:00:00+00,SHORT,1761,0.49941595133716393,0.0,0.65771013
2005-07-25 00:00:00+00,SHORT,3699,0.0,0.0,0.58778316
2005-07-26 00:00:00+00,SHORT,4107,0.0,0.0,0.5752225
2005-07-26 00:00:00+00,SHORT,3699,0.0,0.0,0.5624585
2005-07-26 00:00:00+00,SHORT,3748,0.8333333333333334,0.0,0.5777367
2005-07-27 00:00:00+00,SHORT,2640,0.0,0.0,0.6629027
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,0.0,0.6139125
2005-07-28 00:00:00+00,SHORT,1700,0.0,0.0,0.6328659
2005-07-29 00:00:00+00,SHORT,4107,0.0,0.0,0.60223216
2005-07-29 00:00:00+00,SHORT,2351,1.0,0.0,0.5885234
2005-07-29 00:00:00+00,SHORT,2462,1.0,0.0,0.6142809
2005-07-29 00:00:00+00,SHORT,2638,0.0,0.0,0.5710524
2005-08-01 00:00:00+00,SHORT,2351,0.9090909090909091,0.0,0.6076747
2005-08-01 00:00:00+00,SHORT,730,0.06829184178020764,0.0,0.63492733
2005-08-01 00:00:00+00,SHORT,1514,0.48494384674991486,0.0,0.5692621
2005-08-01 00:00:00+00,SHORT,3703,0.21595723047922383,0.0,0.6395766
2005-08-01 00:00:00+00,SHORT,1700,0.0,0.0,0.62900037
2005-08-01 00:00:00+00,SHORT,3818,0.7777777777777778,0.0,0.6741509
2005-08-01 00:00:00+00,SHORT,4013,0.3371192117633042,0.0,0.6351348
2005-08-02 00:00:00+00,SHORT,730,0.054077938712524976,0.0,0.63835955
2005-08-02 00:00:00+00,SHORT,835,0.36413216765688505,0.0,0.6233765
2005-08-02 00:00:00+00,SHORT,1514,0.5013523590516379,0.0,0.5768961
2005-08-02 00:00:00+00,SHORT,3703,0.23811280936047702,0.0,0.5806376
2005-08-03 00:00:00+00,SHORT,3192,0.6593046611463952,0.0,0.6633195
2005-08-04 00:00:00+00,SHORT,862,0.20496460334332206,0.0,0.5627616
2005-08-04 00:00:00+00,SHORT,3067,0.0,0.0,0.5747857
2005-08-04 00:00:00+00,SHORT,1022,0.0,0.0,0.5834397
2005-08-04 00:00:00+00,SHORT,1262,0.0,0.0,0.5663606
2005-08-04 00:00:00+00,SHORT,3703,0.2052318116975662,0.0,0.6634757
2005-08-04 00:00:00+00,SHORT,1826,0.14758559221103598,0.0,0.640655
2005-08-04 00:00:00+00,SHORT,4083,0.6726110980016378,0.0,0.616491
2005-08-05 00:00:00+00,SHORT,3703,0.21008427673917762,0.0,0.6621572
2005-08-08 00:00:00+00,SHORT,135,0.43621679783645684,0.0,0.56958646
2005-08-08 00:00:00+00,SHORT,1817,0.0,0.0,0.5598761
2005-08-09 00:00:00+00,SHORT,1141,1.0,0.0,0.602065
2005-08-09 00:00:00+00,SHORT,1817,0.0,0.0,0.5983644
2005-08-10 00:00:00+00,SHORT,19,0.0,0.0,0.63512844
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,0.0,0.62650406
2005-08-11 00:00:00+00,SHORT,1012,0.0,0.0,0.6280168
2005-08-11 00:00:00+00,SHORT,1141,0.875,0.0,0.5624004
2005-08-12 00:00:00+00,SHORT,897,1.0,0.0,0.61570674
2005-08-12 00:00:00+00,SHORT,1173,0.0,0.0,0.6058185
2005-08-12 00:00:00+00,SHORT,1184,0.20941321456145065,0.0,0.6029057
2005-08-12 00:00:00+00,SHORT,3283,0.0,0.0,0.6078759
2005-08-12 00:00:00+00,SHORT,3573,0.014826310871932783,0.0,0.59291947
2005-08-15 00:00:00+00,SHORT,2125,0.0,0.0,0.5778696
2005-08-15 00:00:00+00,SHORT,457,0.32516836778458375,0.0,0.6619297
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.0,0.6731423
