time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_10_df044,dist_upper_bb_20_2.0_df055,earnings_price_gap_df010,joint_fall_flag_1_20_df042
2011-11-14 00:00:00+00,SHORT,406,0.2489259785848442,1.0,5.1476486E-4,0.0,1.0
2011-12-01 00:00:00+00,SHORT,739,0.18921650894316147,1.0,-0.009151136,0.0,1.0
2012-01-04 00:00:00+00,SHORT,3648,0.478828409628211,1.0,0.0013572891,0.0,1.0
2012-01-04 00:00:00+00,SHORT,4016,0.4892550325758693,1.0,-0.0025743474,0.0,1.0
2012-01-12 00:00:00+00,SHORT,1396,0.0,1.0,-0.00583731,0.0,1.0
2012-01-20 00:00:00+00,SHORT,602,0.37341778674437437,1.0,-0.0067001646,0.0,1.0
2012-01-23 00:00:00+00,SHORT,2518,0.0,1.0,-0.00115002,0.0,1.0
2012-02-03 00:00:00+00,SHORT,4163,0.9285714285714286,1.0,-0.0054331534,0.0,1.0
2012-02-23 00:00:00+00,SHORT,3915,0.0,1.0,0.0015364923,0.0,1.0
2012-02-24 00:00:00+00,SHORT,1462,0.4953368017243267,1.0,-0.0051403246,0.0,1.0
2012-02-29 00:00:00+00,SHORT,2720,0.8571428571428572,1.0,-2.448983E-4,0.0,1.0
2012-03-02 00:00:00+00,SHORT,3456,0.6199036497225505,1.0,-0.0089336,0.0,1.0
2012-03-02 00:00:00+00,SHORT,3695,0.32380634192664615,1.0,-0.007990614,0.0,1.0
2012-03-16 00:00:00+00,SHORT,3581,0.7372082180188697,1.0,-0.0013660592,0.0,1.0
2012-03-19 00:00:00+00,SHORT,1967,0.8333333333333334,1.0,-0.008997957,0.0,1.0
2012-03-28 00:00:00+00,SHORT,2079,0.6042922071620902,1.0,-0.008753324,0.0,1.0
2012-04-03 00:00:00+00,SHORT,1171,0.5204024093679713,1.0,-0.009070633,0.0,1.0
2012-05-02 00:00:00+00,SHORT,1081,0.4374259608688961,1.0,-0.0033663781,-0.0020354753,1.0
2012-05-03 00:00:00+00,SHORT,4150,0.4991300642664297,1.0,-0.008169454,0.0,1.0
2012-06-20 00:00:00+00,SHORT,1404,0.4845943425470852,1.0,-9.4122915E-5,0.0,1.0
2012-07-05 00:00:00+00,SHORT,1534,1.0,1.0,-0.0019658017,0.0,1.0
2012-07-05 00:00:00+00,SHORT,3994,0.3804086710857112,1.0,-0.008763368,0.0,1.0
2012-07-06 00:00:00+00,SHORT,838,0.30448476955995624,1.0,-0.0027000697,0.0,1.0
2012-07-18 00:00:00+00,SHORT,836,0.2645614192130715,1.0,-0.008579849,0.0,1.0
2012-08-10 00:00:00+00,SHORT,2305,0.6837000858433445,1.0,-0.007839838,0.0,1.0
2012-09-14 00:00:00+00,SHORT,3652,0.6678628053144288,1.0,-0.0045992024,0.0,1.0
2012-09-14 00:00:00+00,SHORT,2006,0.5009601032465261,1.0,-0.009835017,0.0,1.0
2012-09-17 00:00:00+00,SHORT,194,0.18666093674124187,1.0,0.0027429748,0.0,1.0
2012-09-17 00:00:00+00,SHORT,2270,0.30916870414254727,1.0,-0.006611819,0.0,1.0
2012-09-17 00:00:00+00,SHORT,2421,0.41032651736340453,1.0,0.008217176,0.0,1.0
2012-09-17 00:00:00+00,SHORT,2431,0.6151566159558456,1.0,-0.0033691376,0.0,1.0
2012-09-17 00:00:00+00,SHORT,694,0.26898629543355385,1.0,6.5035746E-4,0.0,1.0
2012-09-17 00:00:00+00,SHORT,2877,0.1692458533851294,1.0,0.0034506891,0.0,1.0
2012-09-17 00:00:00+00,SHORT,3596,0.5361714658730125,1.0,-0.0023462125,0.0,1.0
2012-09-18 00:00:00+00,SHORT,194,0.11451721826845568,1.0,-0.007366097,0.0,1.0
2012-09-18 00:00:00+00,SHORT,2421,0.1775124889928683,1.0,-0.003021082,0.0,1.0
2012-09-18 00:00:00+00,SHORT,3837,0.2042259891730252,1.0,-0.0026641,0.0,1.0
2012-09-19 00:00:00+00,SHORT,1220,0.0,1.0,-0.008614663,0.0,1.0
2012-10-18 00:00:00+00,SHORT,1474,0.18468499805108451,1.0,-0.0035099434,0.0,1.0
2012-10-18 00:00:00+00,SHORT,1523,0.0,1.0,0.0064780144,0.0,1.0
2012-10-22 00:00:00+00,SHORT,2213,0.4500042064601369,1.0,-0.0064774267,0.0,1.0
2012-11-02 00:00:00+00,SHORT,3693,0.11669507081803476,1.0,-0.0014034433,0.0,1.0
2012-11-02 00:00:00+00,SHORT,1668,0.0,1.0,-0.009307459,0.0,1.0
2012-11-07 00:00:00+00,SHORT,2473,0.0,1.0,5.979095E-4,0.0,1.0
2012-12-19 00:00:00+00,SHORT,2106,0.0,1.0,-6.914107E-4,0.0,1.0
2012-12-20 00:00:00+00,SHORT,2345,0.0,1.0,-0.0031708176,0.0,1.0
2013-02-04 00:00:00+00,SHORT,219,1.0,1.0,-1.4100478E-4,0.0,1.0
2013-02-07 00:00:00+00,SHORT,1149,0.12302568664753107,1.0,-0.005186262,0.0,1.0
2013-02-11 00:00:00+00,SHORT,643,0.22841277962303555,1.0,0.0031421254,0.0,1.0
2013-02-13 00:00:00+00,SHORT,2430,0.2691895562739301,1.0,-0.0050638155,0.0,1.0
2013-02-14 00:00:00+00,SHORT,739,0.5914775056793917,1.0,-0.0042855623,0.0,1.0
2013-02-19 00:00:00+00,SHORT,1719,0.699270536463718,1.0,-0.0092620505,0.0,1.0
2013-04-03 00:00:00+00,SHORT,101,0.33928760161510246,1.0,-0.006740751,0.0,1.0
2013-04-04 00:00:00+00,SHORT,1867,0.0752397976158487,1.0,0.007090123,0.0,1.0
2013-04-11 00:00:00+00,SHORT,4112,0.7978309648223659,1.0,-0.0034246687,0.0,1.0
2013-04-12 00:00:00+00,SHORT,475,0.0,1.0,-0.0012142471,0.0,1.0
2013-04-12 00:00:00+00,SHORT,3802,0.1807164886225458,1.0,0.0017261419,0.0,1.0
2013-04-12 00:00:00+00,SHORT,2004,0.28822749792022617,1.0,-0.007744695,0.0,1.0
2013-05-16 00:00:00+00,SHORT,160,0.3259821339170982,1.0,-0.008128332,0.0,1.0
2013-05-16 00:00:00+00,SHORT,1076,0.6577726103447771,1.0,-0.00904585,0.0,1.0
2013-05-22 00:00:00+00,SHORT,3645,0.5217061298593715,1.0,-0.008641045,0.0,1.0
2013-06-10 00:00:00+00,SHORT,3515,0.1842928995216504,1.0,-0.006386962,0.0,1.0
2013-06-19 00:00:00+00,SHORT,2340,0.0,1.0,-0.007849595,0.0,1.0
2013-08-26 00:00:00+00,SHORT,2543,0.4559308586399929,1.0,0.004432384,0.0,1.0
2013-09-17 00:00:00+00,SHORT,2504,0.9285714285714286,1.0,0.0020720193,0.0,1.0
2013-09-17 00:00:00+00,SHORT,3684,0.0,1.0,-0.0019728972,0.0,1.0
2013-09-18 00:00:00+00,SHORT,1011,0.0,1.0,-0.007513746,0.0,1.0
2013-10-03 00:00:00+00,SHORT,3793,0.0,1.0,-0.0033756564,0.0,1.0
2013-10-14 00:00:00+00,SHORT,1306,0.5634944623178365,1.0,0.0026785173,0.0,1.0
2013-10-22 00:00:00+00,SHORT,50,0.5029679510298676,1.0,-0.008262968,0.0,1.0
2013-10-22 00:00:00+00,SHORT,2742,0.15535318436146217,1.0,-0.0076795234,0.0,1.0
2013-11-05 00:00:00+00,SHORT,3645,0.0,1.0,-0.009361576,0.0,1.0
2013-11-27 00:00:00+00,SHORT,2139,0.3280679604687041,1.0,-0.0052565676,0.0,1.0
2013-11-27 00:00:00+00,SHORT,3596,0.2815935385731012,1.0,-0.006602945,0.0,1.0
2013-12-06 00:00:00+00,SHORT,3743,0.0,1.0,-0.006446597,0.0,1.0
2013-12-10 00:00:00+00,SHORT,69,0.0,1.0,-0.0071978155,0.0,1.0
2013-12-24 00:00:00+00,SHORT,1328,0.0,1.0,-0.004405196,0.0,1.0
2014-01-06 00:00:00+00,SHORT,3471,1.0,1.0,-0.009384442,0.0,1.0
2014-01-09 00:00:00+00,SHORT,2670,1.0,1.0,-0.0065547326,0.0,1.0
2014-01-10 00:00:00+00,SHORT,131,0.35271047613126216,1.0,-0.006295571,0.0,1.0
2014-01-13 00:00:00+00,SHORT,4073,0.0,1.0,-0.0071327942,0.0,1.0
2014-01-22 00:00:00+00,SHORT,1092,0.24855765303457922,1.0,-0.009813492,0.0,1.0
2014-01-22 00:00:00+00,SHORT,1832,0.13849394442574586,1.0,-0.004710713,0.0,1.0
2014-03-10 00:00:00+00,SHORT,101,0.39230433817467475,1.0,-0.0049066762,0.0,1.0
2014-03-11 00:00:00+00,SHORT,4223,0.38357286458187323,1.0,-0.008330221,0.0,1.0
