time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-05-16 00:00:00+00,LONG,2619,1.0,0.117425196,0.0070803803,0.0
2005-05-18 00:00:00+00,LONG,1949,0.975,0.110251084,-0.0032470666,0.0
2005-05-23 00:00:00+00,LONG,88,0.6120998039469852,0.17807211,0.0015373834,0.0
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,0.17299578,0.02475064,0.0
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,0.11220779,0.028240671,0.0
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.13867138,0.028789576,0.0
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,0.105308816,0.015415065,0.0
2005-06-28 00:00:00+00,LONG,4172,0.3391626780860033,0.13280475,-0.0049732374,0.0
2005-06-29 00:00:00+00,LONG,4172,0.31413747183333446,0.12069399,-0.00957834,0.0
2005-06-30 00:00:00+00,LONG,4172,0.34508466532178816,0.14310646,-1.052546E-4,0.0
2005-06-30 00:00:00+00,LONG,2731,1.0,0.15861306,0.027832959,0.0
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.14164202,0.0042023915,0.0
2005-07-25 00:00:00+00,LONG,2686,0.648012469920028,0.115384616,0.053800095,0.0
2005-08-02 00:00:00+00,LONG,1064,0.0,0.1826405,0.01524101,0.0
2005-08-03 00:00:00+00,LONG,1064,0.0,0.164229,-0.0025943976,0.0
2005-08-08 00:00:00+00,LONG,2778,0.0,0.105882354,0.049599305,0.0
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,0.12914893,0.012971967,0.0
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,0.12724167,0.0072989264,0.0
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.17325057,0.052041538,0.0
2005-08-15 00:00:00+00,LONG,3882,0.0,0.1337437,-0.008647341,0.0
2005-08-16 00:00:00+00,LONG,3882,0.0,0.1361582,-0.0040050354,0.0
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,0.12179725,0.020609811,0.0
2005-08-24 00:00:00+00,LONG,3586,0.5188052087236618,0.1281768,0.014478356,0.0
2005-08-26 00:00:00+00,LONG,3114,0.0,0.12463768,-0.0053753704,0.0
2005-08-30 00:00:00+00,LONG,1807,1.0,0.10974106,0.049175613,0.0
2005-09-07 00:00:00+00,LONG,2462,0.2978283771978657,0.11913358,0.07485647,0.0
2005-09-08 00:00:00+00,LONG,2462,0.29007694163053566,0.118746236,0.06288171,0.0
2005-09-09 00:00:00+00,LONG,2462,0.2879651683110545,0.12294837,0.047247324,0.0
2005-09-12 00:00:00+00,LONG,2462,0.18110290237318497,0.11209701,0.019853288,0.0
2005-09-13 00:00:00+00,LONG,2462,0.24211294876513834,0.112163365,0.013730114,0.0
2005-09-14 00:00:00+00,LONG,2462,0.22268013719176916,0.1080365,-0.0014846106,0.0
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,0.13128288,0.029661145,0.0
2005-10-06 00:00:00+00,LONG,4171,1.0,0.17147908,-0.008476217,0.0
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.11057692,0.02515582,0.0
2005-10-12 00:00:00+00,LONG,2085,0.0,0.10875,0.022075972,0.0
2005-10-12 00:00:00+00,LONG,68,1.0,0.14054759,0.02760659,0.0
2005-10-12 00:00:00+00,LONG,505,1.0,0.12978208,0.023965571,0.0
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,0.115767635,0.03723377,0.0
2005-10-12 00:00:00+00,LONG,1790,0.5731167926624297,0.1327645,0.048640866,0.0
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,0.13473132,0.019435737,0.0
2005-10-13 00:00:00+00,LONG,2778,0.6163102683063338,0.104979254,0.020902742,0.0
2005-10-13 00:00:00+00,LONG,1185,0.11693589764759643,0.13914901,0.0043007107,0.0
2005-10-13 00:00:00+00,LONG,3614,1.0,0.11722702,0.02501369,0.0
2005-10-14 00:00:00+00,LONG,68,0.0,0.12042161,0.0026362736,0.0
2005-10-17 00:00:00+00,LONG,68,0.9361702127659575,0.12813738,0.007278559,0.0
2005-10-17 00:00:00+00,LONG,2546,0.34362885458801923,0.1579392,-0.009588087,0.0
2005-10-18 00:00:00+00,LONG,68,0.9148936170212766,0.10952252,7.176273E-4,0.0
2005-10-19 00:00:00+00,LONG,2050,1.0,0.12041885,0.03219071,0.0
2005-10-19 00:00:00+00,LONG,4172,1.0,0.1754263,-1.0870211E-4,0.0
2005-10-19 00:00:00+00,LONG,3621,0.8338523723251293,0.10526446,0.020171214,0.0
2005-10-19 00:00:00+00,LONG,3743,0.27572462351213717,0.12537177,0.0027665251,0.0
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,0.11670481,0.03701929,0.0
2005-10-20 00:00:00+00,LONG,4172,0.9767441860465116,0.19329296,0.0066995225,0.0
2005-10-20 00:00:00+00,LONG,3743,0.3508521145564711,0.14527956,0.017692456,0.0
2005-10-21 00:00:00+00,LONG,4172,0.9534883720930233,0.182672,-0.008736303,0.0
2005-10-21 00:00:00+00,LONG,195,0.3059118770439473,0.12654762,0.0056531588,0.0
2005-10-21 00:00:00+00,LONG,684,1.0,0.15655172,0.052310314,0.0
2005-10-21 00:00:00+00,LONG,3743,0.35667191292430456,0.14131185,0.00873575,0.0
2005-10-21 00:00:00+00,LONG,3794,1.0,0.13251908,0.04613081,0.0
2005-10-24 00:00:00+00,LONG,684,0.0,0.14613035,0.018385194,0.0
2005-10-25 00:00:00+00,LONG,684,0.0,0.13798423,0.011750373,0.0
2005-10-25 00:00:00+00,LONG,3049,1.0,0.15523835,0.06572371,0.0
2005-10-26 00:00:00+00,LONG,684,0.0,0.13913488,0.001708971,0.0
2005-10-26 00:00:00+00,LONG,3049,0.9767441860465116,0.12709719,0.0266117,0.0
2005-10-26 00:00:00+00,LONG,3794,0.9482758620689655,0.11947973,1.3350834E-4,0.0
2005-10-26 00:00:00+00,LONG,4070,1.0,0.15998101,0.0107096825,0.0
2005-10-27 00:00:00+00,LONG,2276,1.0,0.10789383,0.017979842,0.0
2005-10-27 00:00:00+00,LONG,684,0.9,0.1329279,0.008730848,0.0
2005-10-27 00:00:00+00,LONG,869,0.5993003894345594,0.13114753,-0.00220536,0.0
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,0.14123574,0.036454555,0.0
2005-10-27 00:00:00+00,LONG,3794,0.9310344827586207,0.15476887,-2.1499353E-4,0.0
2005-10-27 00:00:00+00,LONG,3853,1.0,0.1635201,0.03763218,0.0
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,0.1107258,0.00877224,0.0
2005-10-27 00:00:00+00,LONG,3897,0.3221303231114796,0.12770644,0.068480745,0.0
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,0.1148811,0.031186275,0.0
2005-10-27 00:00:00+00,LONG,4070,0.962962962962963,0.14586826,-0.008269023,0.0
2005-10-28 00:00:00+00,LONG,220,1.0,0.13038625,0.026713545,0.0
2005-10-28 00:00:00+00,LONG,2276,0.9761904761904762,0.10713067,2.681971E-4,0.0
2005-10-28 00:00:00+00,LONG,2349,0.6215171085016185,0.11271805,-0.009411505,0.0
2005-10-28 00:00:00+00,LONG,558,0.5494093529312287,0.120632276,0.0063147247,0.0
2005-10-28 00:00:00+00,LONG,3049,0.9302325581395349,0.13833953,0.015576738,0.0
2005-10-28 00:00:00+00,LONG,3699,0.5351289360100635,0.17436846,0.0075088954,0.0
2005-10-28 00:00:00+00,LONG,3794,0.9137931034482758,0.1512828,-0.004875906,0.0
2005-10-28 00:00:00+00,LONG,3853,1.0,0.15611814,0.010607237,0.0
2005-10-28 00:00:00+00,LONG,1819,0.8333333333333334,0.10519466,-0.0031996847,0.0
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,0.16911115,0.039408784,0.0
2005-10-28 00:00:00+00,LONG,4005,1.0,0.1387385,0.010965331,0.0
2005-10-31 00:00:00+00,LONG,220,0.0,0.1200883,-0.0014546263,0.0
2005-10-31 00:00:00+00,LONG,558,0.5239925019711769,0.120116375,-0.002188675,0.0
2005-10-31 00:00:00+00,LONG,1790,0.28953584596148024,0.10749834,-0.009474576,0.0
2005-10-31 00:00:00+00,LONG,3897,0.0,0.18887673,0.0062126857,0.0
2005-11-01 00:00:00+00,LONG,2276,0.9285714285714286,0.12474849,-0.008776821,0.0
2005-11-01 00:00:00+00,LONG,558,0.5196515249135906,0.12192067,-0.0028006225,0.0
2005-11-02 00:00:00+00,LONG,558,0.4711451102788129,0.11860855,-0.00986871,0.0
2005-11-03 00:00:00+00,LONG,1453,0.6570098213633534,0.110957004,-0.008990999,0.0
2005-11-04 00:00:00+00,LONG,1673,0.36136635499028114,0.10681003,-0.003376317,0.0
2005-11-11 00:00:00+00,LONG,874,0.9830508474576272,0.17419878,-0.0060492554,0.0
2005-11-15 00:00:00+00,LONG,984,1.0,0.14091681,0.010789182,0.0
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,0.121608905,0.01893563,0.0
