time,side,ticker_id,mv_up_composite_labels,price_drift_21_df005,dist_lower_bb_20_2.5_df055
2006-06-20 00:00:00+00,LONG,2028,1.0,-0.1459752,-0.010973287
2006-07-18 00:00:00+00,LONG,234,1.0,-0.13545647,-0.046827607
2006-07-18 00:00:00+00,LONG,3782,1.0,-0.14189869,-0.0066465754
2006-07-28 00:00:00+00,LONG,2870,1.0,-0.15081769,-0.037964083
2006-07-31 00:00:00+00,LONG,4171,0.5876363151027243,-0.13077132,-0.03905012
2006-08-01 00:00:00+00,LONG,4171,0.6434048428266436,-0.15825376,-0.02186295
2006-08-01 00:00:00+00,LONG,1700,0.0,-0.146434,-0.017841615
2006-08-02 00:00:00+00,LONG,3861,0.0,-0.13635254,-0.01085793
2006-08-09 00:00:00+00,LONG,167,0.6829268292682926,-0.15511079,-0.040065583
2006-08-09 00:00:00+00,LONG,1176,0.0,-0.13155834,-0.044426925
2006-08-09 00:00:00+00,LONG,3703,0.0,-0.15439379,-0.013157437
2006-08-10 00:00:00+00,LONG,4034,1.0,-0.15771998,-0.048481293
2006-08-11 00:00:00+00,LONG,3677,0.9565217391304348,-0.1438891,-0.023770232
2006-08-11 00:00:00+00,LONG,3703,1.0,-0.1342823,-0.008561787
2006-08-14 00:00:00+00,LONG,2816,0.0,-0.13257404,-0.01751437
2006-08-17 00:00:00+00,LONG,1939,1.0,-0.14258529,-0.021750832
2006-08-24 00:00:00+00,LONG,2028,1.0,-0.15649574,-0.038458414
2006-09-12 00:00:00+00,LONG,4086,0.0,-0.15756665,0.0371025
2006-09-25 00:00:00+00,LONG,610,0.9836065573770492,-0.13030832,-0.011896092
2006-09-25 00:00:00+00,LONG,838,1.0,-0.13345438,-0.029505804
2006-09-26 00:00:00+00,LONG,610,0.9672131147540983,-0.14598961,-0.023973348
2006-09-27 00:00:00+00,LONG,610,0.9508196721311475,-0.1541976,-0.042839758
2006-10-04 00:00:00+00,LONG,1826,1.0,-0.14943863,-0.044521492
2006-10-05 00:00:00+00,LONG,1298,0.0,-0.14072971,-0.048336223
2006-10-06 00:00:00+00,LONG,2619,0.4522362305341501,-0.15555103,-0.03987057
2006-10-09 00:00:00+00,LONG,356,0.5409448330941034,-0.15270147,-0.047169577
2006-10-09 00:00:00+00,LONG,2619,0.2638393227288901,-0.14380577,-0.03763206
2006-10-09 00:00:00+00,LONG,3116,0.29748445164347304,-0.1420095,-0.048379753
2006-10-25 00:00:00+00,LONG,1650,0.0,-0.13240132,0.033392835
2006-11-09 00:00:00+00,LONG,2993,0.0,-0.15552239,-0.005734421
2006-11-10 00:00:00+00,LONG,2993,0.0,-0.1516298,-0.04480449
2006-11-17 00:00:00+00,LONG,712,0.6573634375843393,-0.15602471,-0.045571066
2006-11-20 00:00:00+00,LONG,712,0.7721113977153826,-0.14563107,-0.044396944
2007-01-04 00:00:00+00,LONG,1173,0.6031377444778159,-0.13415794,-0.021449262
2007-01-08 00:00:00+00,LONG,3148,0.0,-0.14915694,-0.027433634
2007-01-08 00:00:00+00,LONG,4062,1.0,-0.13831054,-0.047360677
2007-01-09 00:00:00+00,LONG,93,0.0,-0.1321567,0.011992922
2007-01-10 00:00:00+00,LONG,1298,1.0,-0.1380814,-0.024026725
2007-01-10 00:00:00+00,LONG,3466,1.0,-0.1453619,-0.04158372
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,-0.13825585,-0.039887298
2007-01-10 00:00:00+00,LONG,1908,0.9444444444444444,-0.13333334,-0.014331381
2007-01-10 00:00:00+00,LONG,4000,1.0,-0.13260129,-0.045313206
2007-01-11 00:00:00+00,LONG,2896,0.793815355042908,-0.12987368,-0.046159074
2007-01-11 00:00:00+00,LONG,897,0.7196768041256262,-0.12978624,6.3373224E-4
2007-01-11 00:00:00+00,LONG,1908,0.9166666666666666,-0.13333334,-0.026804969
2007-01-12 00:00:00+00,LONG,2546,0.20536126778672154,-0.15167215,-0.04272649
2007-01-12 00:00:00+00,LONG,1908,0.8888888888888888,-0.13333334,-0.04101499
2007-01-31 00:00:00+00,LONG,3703,0.5806451612903226,-0.13078687,-0.020407349
2007-03-05 00:00:00+00,LONG,135,0.0,-0.13848856,-0.025640497
2007-03-05 00:00:00+00,LONG,2351,0.44074797074950794,-0.13857926,0.002578125
2007-03-05 00:00:00+00,LONG,2497,1.0,-0.15490206,-0.030698858
