time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,interest_coverage_normalized_df080,weighted_neg_sum_20_df036
2009-10-22 00:00:00+00,SHORT,853,0.0,0.30907777,0.0127,0.038469475
2009-12-02 00:00:00+00,SHORT,73,0.44237256471471903,0.5293475,0.0574,0.03368629
2009-12-07 00:00:00+00,SHORT,52,0.2542595756162419,0.52338,0.0651,0.039879758
2009-12-08 00:00:00+00,SHORT,52,0.378396319118334,0.46961647,0.0651,0.039879758
2009-12-09 00:00:00+00,SHORT,52,0.3057988033420682,0.4629178,0.0651,0.040568344
2009-12-10 00:00:00+00,SHORT,52,0.23159862122379496,0.5768275,0.0651,0.03245064
2009-12-11 00:00:00+00,SHORT,907,0.3922299550826638,0.40347683,0.1061,0.037105743
2009-12-14 00:00:00+00,SHORT,2151,1.0,0.35182625,0.2101,0.041775133
2009-12-14 00:00:00+00,SHORT,907,0.30701250305266,0.39888892,0.1061,0.037105743
2009-12-15 00:00:00+00,SHORT,2151,0.9473684210526316,0.3277284,0.2101,0.041775133
