time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,revenue_growth_yoy_df063,dist_upper_bb_50_2.0_df055,price_to_sales_zscore_universe_df070
2006-05-10 00:00:00+00,SHORT,2032,0.3667533128650356,-0.10609354,15.57,-0.008500834,-0.1194
2006-05-11 00:00:00+00,SHORT,817,0.6435178209936562,-0.060355186,12.81,-0.008228167,-0.1207
2006-05-12 00:00:00+00,SHORT,2285,0.9090909090909091,-0.056362655,18.61,-0.010914172,-0.119
2006-06-07 00:00:00+00,SHORT,960,0.7997566450138588,-0.024695117,18.92,-0.008232964,-0.1129
2006-08-15 00:00:00+00,SHORT,1803,0.33883655728804535,-0.04753584,14.97,-0.01485249,-0.0839
2006-08-17 00:00:00+00,SHORT,3436,0.42378235086832455,-0.100045405,1.86,-0.009048279,-0.1136
2006-08-18 00:00:00+00,SHORT,4118,0.0,-0.060730524,15.26,-0.014579989,-0.1147
2006-08-18 00:00:00+00,SHORT,3273,0.43228557174856486,-0.02914675,8.35,-0.0058028605,-0.1057
2006-08-31 00:00:00+00,SHORT,2297,1.0,-0.028466664,17.13,-0.009303972,-0.0836
2006-09-01 00:00:00+00,SHORT,2297,0.8888888888888888,-0.032189418,17.13,-0.010764118,-0.0833
2006-09-06 00:00:00+00,SHORT,1300,0.18072929146248667,-0.017324153,-6.63,-0.013031749,-0.0927
2006-09-07 00:00:00+00,SHORT,1368,0.35716738870902726,-0.04691357,7.83,-0.012527231,-0.1029
2006-09-13 00:00:00+00,SHORT,1667,0.0,-0.011061794,7.56,-0.010802422,-0.1195
2006-10-05 00:00:00+00,SHORT,1300,0.0,-0.0046383403,-6.63,-0.007887317,-0.0845
2006-10-11 00:00:00+00,SHORT,1356,0.5393740520459275,-0.0074848547,3.52,-0.0059884386,-0.0848
2006-10-12 00:00:00+00,SHORT,1244,0.4988971967419201,-0.06955183,12.99,-0.012631803,-0.0917
2006-10-16 00:00:00+00,SHORT,713,0.0,-0.028476043,-10.51,-0.01053865,-0.0946
2006-10-16 00:00:00+00,SHORT,1356,0.41944211345152144,-0.011583151,3.52,-0.006539742,-0.0903
2006-10-19 00:00:00+00,SHORT,3918,0.2747549044828731,-0.05193108,12.05,-0.010426994,-0.1011
2006-10-20 00:00:00+00,SHORT,2518,0.0,-0.13491483,19.52,-0.0074773384,-0.0952
2006-10-20 00:00:00+00,SHORT,3556,0.0,-0.052733343,10.71,-0.007617904,-0.0959
2006-10-23 00:00:00+00,SHORT,3556,0.0,-0.052982997,10.71,-0.014566591,-0.0979
2006-10-25 00:00:00+00,SHORT,817,0.0,-0.075661585,0.8,-0.014772256,-0.1019
2006-10-31 00:00:00+00,SHORT,1072,0.0,-0.017118456,3.42,-0.013220701,-0.0953
2006-10-31 00:00:00+00,SHORT,3614,0.0,-0.023875462,16.81,-0.010219407,-0.098
2006-11-09 00:00:00+00,SHORT,1463,0.5292261422426489,-0.018771263,8.93,-0.012892563,-0.1111
2006-11-15 00:00:00+00,SHORT,2548,0.4878755178051879,-0.041278638,18.01,-0.010824733,-0.1019
2006-11-16 00:00:00+00,SHORT,157,0.5259883882983477,-0.04034362,10.64,-0.011557507,-0.1063
2006-11-21 00:00:00+00,SHORT,1719,0.0,-0.11919594,5.05,-0.012823528,-0.107
2006-11-22 00:00:00+00,SHORT,157,0.3986876545873005,-0.03243443,10.64,-0.010383868,-0.1084
2006-11-22 00:00:00+00,SHORT,1324,0.38160521630353667,-0.022559926,11.88,-0.008769794,-0.0945
2006-11-24 00:00:00+00,SHORT,3586,0.38483003746026145,-0.050761413,-0.29,-0.009396819,-0.1041
2006-12-05 00:00:00+00,SHORT,2006,0.0,-0.027533151,0.8,-0.009639268,-0.1103
2006-12-05 00:00:00+00,SHORT,4089,0.0,-0.018515946,10.51,-0.0067886338,-0.0957
2006-12-06 00:00:00+00,SHORT,1371,0.15384780457163763,-0.025987577,18.67,-0.00701198,-0.1029
