time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,accel_price_5_df021,ma_cloud_diff_8_50_df007
2006-06-14 00:00:00+00,LONG,498,0.0,0.009532313,0.049949132,-0.10571774
2006-06-14 00:00:00+00,LONG,540,0.5997554513095575,0.017425966,-0.0048597767,-0.07626923
2006-06-14 00:00:00+00,LONG,934,0.7757553516126262,0.023405457,0.052760154,-0.11308523
2006-06-14 00:00:00+00,LONG,2990,1.0,0.03131072,0.016991135,-0.096060544
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,0.01622236,0.02292142,-0.08477559
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,0.019981235,0.022305641,-0.097266786
2006-06-14 00:00:00+00,LONG,1298,0.0,0.012449406,0.055839937,-0.11011919
2006-06-14 00:00:00+00,LONG,3352,0.9565217391304348,0.04144576,0.0299297,-0.08637125
2006-06-14 00:00:00+00,LONG,3433,0.4228069856845268,0.0049642655,0.046808116,-0.13251008
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,0.02822776,0.023365932,-0.10651985
2006-06-14 00:00:00+00,LONG,3841,1.0,0.01871819,0.032137483,-0.1311365
2006-06-19 00:00:00+00,LONG,2272,0.0,0.012097027,0.006591519,-0.12073661
2006-06-20 00:00:00+00,LONG,2272,0.0,0.024168449,0.03688889,-0.13166296
2006-06-20 00:00:00+00,LONG,3466,0.46566594864078603,0.012017003,0.010742135,-0.12758549
2006-06-20 00:00:00+00,LONG,3613,0.5464192789749112,0.018314194,0.047959525,-0.120788604
2006-07-14 00:00:00+00,LONG,858,1.0,0.05258233,-0.011591634,-0.11179606
2006-07-17 00:00:00+00,LONG,858,0.967741935483871,0.0153515395,0.008981271,-0.12096665
2006-07-21 00:00:00+00,LONG,4224,1.0,0.0070726704,-0.014074899,-0.090871744
2006-07-21 00:00:00+00,LONG,167,1.0,0.045204382,-0.008076499,-0.13382842
2006-07-24 00:00:00+00,LONG,2305,0.9838709677419355,0.024760643,0.039049152,-0.07128807
2006-07-25 00:00:00+00,LONG,2305,0.967741935483871,0.014494647,-0.0010476649,-0.07690989
2006-07-28 00:00:00+00,LONG,4062,0.9375,0.06694284,0.034880005,-0.12877485
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,0.021876121,-5.49488E-4,-0.08237836
