time,side,ticker_id,mv_up_composite_labels,delta_pe_qoq_df028,joint_fall_flag_1_20_df042,ma_cloud_diff_13_100_df007,skew_weighted_20_df037
2005-10-27 00:00:00+00,LONG,4013,0.7163233659242741,7.0525613,0.0,-0.039662898,-0.38765648
2005-10-28 00:00:00+00,LONG,2557,0.3980498703186558,3.281106,0.0,-0.08663604,-0.42713618
2005-10-28 00:00:00+00,LONG,1141,0.9523809523809523,-6.2869635,0.0,-0.06855648,-0.35229266
2005-10-28 00:00:00+00,LONG,1330,0.9827586206896551,-11.6316805,0.0,-0.063221455,-0.37881464
2005-10-28 00:00:00+00,LONG,4005,1.0,-17.41115,0.0,-0.010648059,-0.43757424
2005-10-31 00:00:00+00,LONG,1444,0.41649663364512407,-15.6875,0.0,0.016814172,-0.37182334
2005-10-31 00:00:00+00,LONG,4005,0.6508095854285162,-17.41115,0.0,-0.014188513,-0.4365668
2005-11-01 00:00:00+00,LONG,3137,1.0,22.178572,0.0,0.07797706,-0.3906053
2005-11-01 00:00:00+00,LONG,1444,0.38099422124929694,-15.6875,0.0,0.016467556,-0.34997672
2005-11-02 00:00:00+00,LONG,1303,0.3874818586145685,-13.792208,0.0,-0.038615074,-0.3847745
2005-11-04 00:00:00+00,LONG,2408,0.34595870066098056,-14.714286,0.0,-0.07335225,-0.41836354
2005-11-07 00:00:00+00,LONG,2408,0.3891815428725152,-14.714286,0.0,-0.072582975,-0.37393385
2005-11-15 00:00:00+00,LONG,1803,0.8403201596659947,16.05419,0.0,0.023635257,-0.400318
2005-11-17 00:00:00+00,LONG,664,0.9761904761904762,25.71756,0.0,0.0129822735,-0.36769167
2005-11-18 00:00:00+00,LONG,664,0.9523809523809523,25.71756,0.0,0.011175848,-0.3623924
2005-12-02 00:00:00+00,LONG,28,0.4880666271135251,1.4786206,0.0,-0.099343866,-0.37082887
2005-12-16 00:00:00+00,LONG,2084,0.0,7.3330965,0.0,-0.03454357,-0.40765098
2005-12-16 00:00:00+00,LONG,3065,0.9523809523809523,-17.335566,0.0,-0.028499354,-0.37638018
2005-12-19 00:00:00+00,LONG,3065,0.771770203958317,-17.335566,0.0,-0.031592295,-0.37343314
2005-12-20 00:00:00+00,LONG,2330,0.9411764705882353,-9.307881,0.0,0.08724123,-0.41183725
2005-12-20 00:00:00+00,LONG,1437,0.0,5.6037736,0.0,0.06578506,-0.36162424
2005-12-21 00:00:00+00,LONG,578,0.0,0.8142857,0.0,-0.08592435,-0.38754192
2005-12-21 00:00:00+00,LONG,1437,0.0,5.6037736,0.0,0.060684666,-0.34911945
2005-12-22 00:00:00+00,LONG,2330,0.0,-9.307881,0.0,0.08757188,-0.35211
2005-12-22 00:00:00+00,LONG,3065,0.0,-17.335566,0.0,-0.041336585,-0.4041719
2005-12-23 00:00:00+00,LONG,443,0.8390819642125306,11.489496,0.0,-8.464392E-4,-0.3750076
