time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,earnings_drift_10_df011
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,-0.009377437,0.0
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,-0.008046754,0.0
2005-06-21 00:00:00+00,SHORT,907,0.49454082408381017,-0.012574618,0.019518543
2005-06-21 00:00:00+00,SHORT,1330,0.0,-0.0077420557,0.0
2005-06-21 00:00:00+00,SHORT,2006,0.3568095509434414,0.0021820723,0.0
2005-06-21 00:00:00+00,SHORT,4062,0.0,-0.008704011,0.0
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,-0.0057431706,0.0
2005-06-22 00:00:00+00,SHORT,2482,0.6041900282550655,-6.648532E-4,0.0
2005-06-22 00:00:00+00,SHORT,730,0.0,-0.008301735,0.0
2005-06-22 00:00:00+00,SHORT,2999,0.4235919789603007,-0.007309263,0.0
2005-06-22 00:00:00+00,SHORT,3686,0.3598438889752516,-0.011281341,0.0
2005-06-22 00:00:00+00,SHORT,2006,0.9375,-0.007364409,0.0
2005-06-23 00:00:00+00,SHORT,68,0.0,-0.012720111,0.0
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,-0.010892263,0.0
2005-06-23 00:00:00+00,SHORT,457,0.17720134099265433,-0.0019459976,0.0
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,-0.008647035,0.0
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.0045648576,0.0
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,-0.011068777,0.0
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,1.593238E-4,0.0
2005-06-24 00:00:00+00,SHORT,413,0.33213536241523417,-0.012808988,0.0
2005-06-28 00:00:00+00,SHORT,2482,0.4369911022671174,-0.011406019,0.0
2005-06-29 00:00:00+00,SHORT,2055,0.0,-0.008448569,0.0
2005-06-29 00:00:00+00,SHORT,413,0.3545280134512553,-0.011221745,0.0
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,-0.009584085,0.0
2005-07-01 00:00:00+00,SHORT,787,1.0,-0.0016431843,0.0
2005-07-01 00:00:00+00,SHORT,796,0.0,-0.010061021,0.0
2005-07-01 00:00:00+00,SHORT,2041,0.0,-0.01082196,0.0
2005-07-05 00:00:00+00,SHORT,2393,0.0,-0.010379939,0.0
2005-07-05 00:00:00+00,SHORT,787,0.9230769230769231,-0.011486295,0.0
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,-0.010800545,0.0
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,-0.009907624,0.0
2005-07-08 00:00:00+00,SHORT,3677,0.4620251988102702,-0.0067479904,0.0
2005-07-11 00:00:00+00,SHORT,1250,0.11673948630413597,-0.0065183737,0.0
2005-07-12 00:00:00+00,SHORT,28,1.0,-1.6078782E-5,0.0
2005-07-12 00:00:00+00,SHORT,2028,0.0,-0.011247511,0.0
2005-07-13 00:00:00+00,SHORT,3352,1.0,-0.0071619535,0.0
2005-07-13 00:00:00+00,SHORT,3573,0.0,0.002636838,0.0
2005-07-14 00:00:00+00,SHORT,3897,0.794696663239638,-0.010226218,0.0
2005-07-14 00:00:00+00,SHORT,2041,0.0,-0.012497534,0.0
2005-07-15 00:00:00+00,SHORT,791,0.0,-0.01237992,0.0
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.011698051,0.0
2005-07-15 00:00:00+00,SHORT,1939,1.0,-0.002193191,0.0
2005-07-18 00:00:00+00,SHORT,791,0.0,-0.012374909,0.0
2005-07-19 00:00:00+00,SHORT,1423,1.0,-0.003431892,0.0
2005-07-20 00:00:00+00,SHORT,76,0.0,-0.00745539,0.0
2005-07-20 00:00:00+00,SHORT,2305,1.0,-0.0014676817,0.0
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,-0.011331635,0.0
2005-07-20 00:00:00+00,SHORT,1761,0.6182015794127816,-0.006249675,0.0
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,-0.012406655,0.0
2005-07-21 00:00:00+00,SHORT,1677,1.0,-0.006861921,0.0
2005-07-21 00:00:00+00,SHORT,1678,1.0,-0.0068634297,0.0
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,-0.012500457,0.0
2005-07-27 00:00:00+00,SHORT,786,0.2821124318588489,0.0027340106,0.0
2005-07-28 00:00:00+00,SHORT,4163,0.0,0.009278194,0.0
2005-07-28 00:00:00+00,SHORT,786,0.30023162707351003,-4.6037926E-4,0.0
2005-07-28 00:00:00+00,SHORT,3273,1.0,-0.008653554,0.0
2005-07-28 00:00:00+00,SHORT,3818,1.0,-0.0027621454,0.0
2005-07-29 00:00:00+00,SHORT,69,1.0,-5.3532276E-4,0.0
2005-07-29 00:00:00+00,SHORT,2638,0.0,-0.0026627348,0.0
2005-07-29 00:00:00+00,SHORT,730,0.058854377807013865,0.0061282096,0.0
2005-07-29 00:00:00+00,SHORT,786,0.2694643678978534,-0.008001529,0.0
2005-08-01 00:00:00+00,SHORT,3703,0.21595723047922383,0.0132569065,0.0
2005-08-02 00:00:00+00,SHORT,2261,1.0,-0.0105238985,0.0
2005-08-02 00:00:00+00,SHORT,918,0.14886855719294073,-0.0092086755,0.0
2005-08-02 00:00:00+00,SHORT,3078,0.0,-0.0053306096,0.022190409
2005-08-02 00:00:00+00,SHORT,3233,0.21523850032624856,-0.0079373075,0.030402137
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,-0.011284262,0.0
2005-08-02 00:00:00+00,SHORT,1462,0.4546536772646413,-0.009209227,0.0
2005-08-03 00:00:00+00,SHORT,2196,0.26688739658286587,-0.008452253,0.0
2005-08-03 00:00:00+00,SHORT,2352,0.3227993618422308,-0.0073329145,0.0
2005-08-03 00:00:00+00,SHORT,694,0.23949441381084485,0.0034633942,0.0
2005-08-03 00:00:00+00,SHORT,787,1.0,-0.012749323,0.022132345
2005-08-03 00:00:00+00,SHORT,2938,0.11970161748513201,-0.010444623,0.0
2005-08-03 00:00:00+00,SHORT,2961,0.0,-0.0073135975,0.0
2005-08-03 00:00:00+00,SHORT,3052,0.2706318670855964,-0.0058868197,0.0
2005-08-03 00:00:00+00,SHORT,3067,0.0,1.1003015E-4,0.0
2005-08-03 00:00:00+00,SHORT,3078,0.0,-0.012562117,0.01789549
2005-08-03 00:00:00+00,SHORT,1039,0.0,0.001135639,0.0
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,-0.010436718,0.0
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,-0.006479795,0.0
