time,side,ticker_id,mv_dn_composite_labels,accel_price_21_df021,joint_fall_flag_1_10_df042,dist_upper_bb_20_2.0_df055,delta_volume_21_df024
2006-03-03 00:00:00+00,SHORT,739,0.4261272540849688,0.0069503924,1.0,-0.023229472,-52600.0
2006-03-17 00:00:00+00,SHORT,2276,0.5420708210993047,-0.0182569,1.0,-0.010680503,-114000.0
2006-03-21 00:00:00+00,SHORT,3179,0.0,-0.0073401695,1.0,-0.023517113,-59200.0
2006-03-23 00:00:00+00,SHORT,4223,0.7142857142857143,-0.0129433265,1.0,-0.018440846,425100.0
2006-03-24 00:00:00+00,SHORT,3586,0.7167600255974564,0.0074331677,1.0,-0.020990722,-14600.0
2006-03-27 00:00:00+00,SHORT,2262,0.9375,-0.005082378,1.0,-0.005866382,695300.0
2006-03-27 00:00:00+00,SHORT,3586,0.8455963009931948,-0.015685542,1.0,-0.025713973,-37300.0
2006-03-28 00:00:00+00,SHORT,759,0.18730338356452467,-0.010891956,1.0,-0.016544033,-69900.0
2006-03-28 00:00:00+00,SHORT,1149,0.6262594599061718,-0.004086674,1.0,-0.025799565,103800.0
2006-03-29 00:00:00+00,SHORT,759,0.0,-0.0065291338,1.0,-0.023525357,85200.0
2006-03-30 00:00:00+00,SHORT,641,0.5155346756383786,-0.0076876353,1.0,-0.014221159,1521200.0
2006-03-30 00:00:00+00,SHORT,1171,0.8160455964584521,0.0014853912,1.0,-0.013487479,-65400.0
2006-03-30 00:00:00+00,SHORT,1444,0.5866509803823843,-0.011134615,1.0,-0.0077114436,98000.0
2006-03-31 00:00:00+00,SHORT,2352,0.14386928469637889,0.0054926,1.0,-0.015181947,219400.0
2006-04-03 00:00:00+00,SHORT,1149,0.5809227128929785,-0.012673403,1.0,-0.022161588,-64200.0
2006-04-04 00:00:00+00,SHORT,898,0.9,-0.005675095,1.0,-0.018325027,1458200.0
2006-04-04 00:00:00+00,SHORT,1473,0.0,0.010840695,1.0,-0.026131157,269400.0
2006-04-06 00:00:00+00,SHORT,370,0.19369279556284144,-0.001946394,1.0,-0.025079178,4700.0
2006-04-06 00:00:00+00,SHORT,1473,0.0,-0.0021249638,1.0,-0.021020368,24800.0
2006-04-11 00:00:00+00,SHORT,4215,0.9333333333333333,0.018991474,1.0,-0.024773162,-800.0
2006-04-19 00:00:00+00,SHORT,2473,1.0,0.0076479963,1.0,-0.022683853,39300.0
2006-04-19 00:00:00+00,SHORT,862,0.5781161756204254,-0.016325051,1.0,-0.0075752176,955800.0
2006-04-20 00:00:00+00,SHORT,3539,0.3713932816076915,0.005507094,1.0,-0.021787629,400100.0
2006-04-24 00:00:00+00,SHORT,3273,0.5960620261882928,1.1411313E-6,1.0,-0.02491105,448790.0
2006-04-24 00:00:00+00,SHORT,1437,0.6468713194888895,-0.002628745,1.0,-0.019894984,-48900.0
