time,side,ticker_id,mv_dn_composite_labels,price_to_sales_rev_growth_zscore_universe_df073,dist_upper_bb_50_2.0_df055
2009-05-01 00:00:00+00,SHORT,3693,0.0,-0.0648,0.0324541
2009-05-01 00:00:00+00,SHORT,3861,0.0,-0.0643,0.023844017
2009-05-04 00:00:00+00,SHORT,133,0.17405817737666998,-0.066,0.027001992
2009-05-04 00:00:00+00,SHORT,153,0.8571428571428572,-0.0652,0.015518693
2009-05-04 00:00:00+00,SHORT,1144,0.0,-0.0665,0.050542872
2009-05-04 00:00:00+00,SHORT,3629,0.815387748151379,-0.0663,0.034215465
2009-05-04 00:00:00+00,SHORT,3861,0.8,-0.0658,0.04801027
2009-05-04 00:00:00+00,SHORT,4062,0.8333333333333334,-0.0661,0.03503603
2009-05-05 00:00:00+00,SHORT,133,0.20105532559218486,-0.0654,0.024789523
2009-05-05 00:00:00+00,SHORT,401,1.0,-0.0656,0.04794049
2009-05-05 00:00:00+00,SHORT,3684,0.0,-0.0648,0.029777395
2009-05-06 00:00:00+00,SHORT,4171,0.0,-0.0643,0.056318104
2009-05-06 00:00:00+00,SHORT,2421,1.0,-0.0616,0.033296015
2009-05-06 00:00:00+00,SHORT,401,0.8888888888888888,-0.0653,0.025430119
2009-05-06 00:00:00+00,SHORT,2469,0.0,-0.0627,0.04251649
2009-05-06 00:00:00+00,SHORT,2761,0.0,-0.0655,0.038674373
2009-05-06 00:00:00+00,SHORT,1360,1.0,-0.0646,0.017383505
2009-05-06 00:00:00+00,SHORT,3684,0.9333333333333333,-0.0645,0.02545074
2009-05-06 00:00:00+00,SHORT,3915,0.0,-0.065,0.017646672
2009-05-07 00:00:00+00,SHORT,2345,0.0,-0.0661,0.056691602
2009-05-07 00:00:00+00,SHORT,730,1.0,-0.0648,0.055685226
2009-05-07 00:00:00+00,SHORT,3182,1.0,-0.0658,0.028728483
2009-05-07 00:00:00+00,SHORT,1523,0.4341767651693391,-0.0659,0.044656754
2009-05-07 00:00:00+00,SHORT,3693,0.0,-0.0657,0.028005918
2009-05-08 00:00:00+00,SHORT,2072,0.5807652990821315,-0.0612,0.033353433
2009-05-08 00:00:00+00,SHORT,243,0.9246920912858504,-0.0595,0.04217493
2009-05-08 00:00:00+00,SHORT,2345,0.0,-0.0659,0.040756002
2009-05-08 00:00:00+00,SHORT,335,0.0,-0.0651,0.019453555
2009-05-08 00:00:00+00,SHORT,401,0.6666666666666667,-0.0655,0.027470803
2009-05-08 00:00:00+00,SHORT,2469,0.0,-0.0628,0.03424612
2009-05-08 00:00:00+00,SHORT,444,0.7272727272727273,-0.0658,0.045072414
2009-05-08 00:00:00+00,SHORT,694,0.6640804803076582,-0.0657,0.04411784
2009-05-08 00:00:00+00,SHORT,2761,0.0,-0.0657,0.032875292
2009-05-08 00:00:00+00,SHORT,730,0.8571428571428572,-0.0646,0.035545517
2009-05-08 00:00:00+00,SHORT,3182,0.8333333333333334,-0.0657,0.03533824
2009-05-08 00:00:00+00,SHORT,1280,0.7240416887090854,-0.0619,0.042804375
2009-05-08 00:00:00+00,SHORT,1300,0.7243299175927213,-0.0651,0.023705767
2009-05-08 00:00:00+00,SHORT,1404,0.0,-0.0637,0.015140142
2009-05-08 00:00:00+00,SHORT,3693,0.0,-0.0655,0.041609414
2009-05-11 00:00:00+00,SHORT,266,0.0,-0.0648,0.055485338
2009-05-11 00:00:00+00,SHORT,2408,0.0,-0.0633,0.016115839
2009-05-11 00:00:00+00,SHORT,2431,0.0,-0.0661,0.051364817
2009-05-11 00:00:00+00,SHORT,2568,0.5719542538337457,-0.0632,0.047228865
2009-05-11 00:00:00+00,SHORT,2703,0.0,-0.064,0.027286658
2009-05-11 00:00:00+00,SHORT,3098,0.0,-0.0647,0.044787414
2009-05-11 00:00:00+00,SHORT,1099,0.0,-0.0599,0.01614528
2009-05-11 00:00:00+00,SHORT,3199,0.0,-0.0647,0.05298061
2009-05-11 00:00:00+00,SHORT,3613,0.0,-0.0576,0.036108367
2009-05-11 00:00:00+00,SHORT,1615,0.0,-0.0641,0.023003899
2009-05-12 00:00:00+00,SHORT,4237,0.85,-0.0659,0.024016384
2009-05-12 00:00:00+00,SHORT,266,0.0,-0.0653,0.019007303
2009-05-12 00:00:00+00,SHORT,2408,0.0,-0.0615,0.016853662
2009-05-12 00:00:00+00,SHORT,2568,0.42157764262118586,-0.0614,0.01822638
2009-05-12 00:00:00+00,SHORT,2703,0.0,-0.0621,0.031030199
2009-05-12 00:00:00+00,SHORT,2776,1.0,-0.0667,0.04665849
2009-05-12 00:00:00+00,SHORT,3199,0.0,-0.0652,0.020467367
2009-05-12 00:00:00+00,SHORT,1361,0.34202329754640165,-0.0593,0.022854982
2009-05-12 00:00:00+00,SHORT,1462,0.0,-0.0637,0.027110366
2009-05-18 00:00:00+00,SHORT,1447,0.09044794743508848,-0.0626,0.043295484
2009-05-26 00:00:00+00,SHORT,753,0.512885162803132,-0.0596,0.016176622
2009-06-01 00:00:00+00,SHORT,4123,0.43355331464150715,-0.0611,0.027136795
2009-06-01 00:00:00+00,SHORT,2159,0.7359765149318129,-0.0667,0.020703731
2009-06-01 00:00:00+00,SHORT,2659,1.0,-0.0602,0.018749278
2009-06-01 00:00:00+00,SHORT,3595,0.5238775373646514,-0.0623,0.027785642
2009-06-01 00:00:00+00,SHORT,3613,1.0,-0.057,0.052742377
2009-06-01 00:00:00+00,SHORT,2041,0.38007532635519525,-0.0654,0.03325432
2009-06-02 00:00:00+00,SHORT,4215,1.0,-0.0654,0.029095298
2009-06-02 00:00:00+00,SHORT,487,1.0,-0.0662,0.031661846
2009-06-02 00:00:00+00,SHORT,2690,1.0,-0.0637,0.031915996
2009-06-02 00:00:00+00,SHORT,903,1.0,-0.0595,0.022445416
2009-06-02 00:00:00+00,SHORT,3114,1.0,-0.0626,0.034961272
2009-06-02 00:00:00+00,SHORT,3179,1.0,-0.0602,0.023644963
2009-06-02 00:00:00+00,SHORT,3218,1.0,-0.0634,0.019142862
2009-06-02 00:00:00+00,SHORT,3915,1.0,-0.0627,0.039478015
2009-06-02 00:00:00+00,SHORT,3994,1.0,-0.0642,0.036442537
2009-06-02 00:00:00+00,SHORT,2032,1.0,-0.0628,0.025388036
2009-06-02 00:00:00+00,SHORT,2041,0.25718535622263766,-0.0653,0.01622309
2009-06-05 00:00:00+00,SHORT,1371,1.0,-0.0624,0.015675383
