time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2023-05-16 00:00:00+00,LONG,1651,0.3446549953393584,-0.10244735,-0.36154678,-0.014199863,-0.0018542401,0.0
2023-05-19 00:00:00+00,LONG,2327,0.9019607843137255,-0.084756285,-0.4017202,-0.06755284,-0.05025227,0.0
2023-05-26 00:00:00+00,LONG,641,1.0,-0.09617569,-0.38143608,-0.03776528,-0.020993972,0.0
2023-05-30 00:00:00+00,LONG,3519,0.06713973747341907,-0.08571429,-0.42902553,-0.11685512,-0.09792748,0.0
2023-05-30 00:00:00+00,LONG,1740,0.0,-0.09221374,-0.42542943,-0.07260468,-0.058061358,0.0
2023-05-31 00:00:00+00,LONG,2550,0.0,-0.11083393,-0.34122306,-0.015674656,-9.370609E-5,0.0
2023-05-31 00:00:00+00,LONG,761,0.18920838072269208,-0.10013132,-0.34201214,-0.10690441,-0.085937984,0.0
2023-06-01 00:00:00+00,LONG,2469,0.0,-0.17138599,-0.3566984,-0.11832125,-0.08309433,0.0
2023-06-01 00:00:00+00,LONG,2550,0.0,-0.09393832,-0.35347039,-0.037695117,-0.02340663,0.0
2023-06-01 00:00:00+00,LONG,2004,0.5013912815048235,-0.09746287,-0.42887685,-0.0023704015,0.013387593,0.0
2023-06-05 00:00:00+00,LONG,93,0.0,-0.10676157,-0.35190192,-0.08138032,-0.054888446,0.0
2023-06-05 00:00:00+00,LONG,3825,0.0,-0.15998669,-0.3523108,-0.0720725,-0.05764421,0.0
2023-06-06 00:00:00+00,LONG,93,0.0,-0.112042345,-0.35209996,-0.08792881,-0.061331622,0.0
2023-06-06 00:00:00+00,LONG,3825,0.0,-0.16889109,-0.3537652,-0.070737794,-0.056360215,0.0
2023-06-23 00:00:00+00,LONG,4237,1.0,-0.09493025,-0.37938002,-0.053352375,-0.023710188,0.0
2023-07-10 00:00:00+00,LONG,472,1.0,-0.16225749,-0.3516059,-0.08801405,-0.05103952,0.0
2023-07-11 00:00:00+00,LONG,3280,0.0,-0.11062844,-0.33971646,-0.071946494,-0.055016324,0.0
2023-08-15 00:00:00+00,LONG,2050,0.0,-0.11477273,-0.36341184,-0.030544387,-0.008317748,0.0
