time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,accel_volume_5_df025,dist_lower_bb_20_2.0_df055
2006-06-14 00:00:00+00,LONG,2866,0.567509515326536,-0.022033062,0.01551191,0.012977662
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,-0.04000753,0.9108098,-0.00883129
2006-06-14 00:00:00+00,LONG,1112,1.0,-0.07700777,0.024953822,0.007889032
2006-06-14 00:00:00+00,LONG,3420,0.47001160959632776,-0.023923129,0.17340982,-0.004623148
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,-0.06382547,0.30187327,-0.002167515
2006-06-23 00:00:00+00,LONG,1447,0.6122147379613091,-0.021725575,0.41091034,-2.5280347E-4
2006-06-28 00:00:00+00,LONG,835,0.7420823139406023,-0.037518065,0.1329869,-0.008439896
2006-07-13 00:00:00+00,LONG,2546,1.0,-0.041168276,-0.011168996,-0.0020153585
2006-07-14 00:00:00+00,LONG,1447,0.18245046764311829,-0.026237303,0.59753036,-0.0044344957
2006-07-18 00:00:00+00,LONG,2116,0.865236515489218,-0.06082707,0.1835285,-0.006455398
2006-07-18 00:00:00+00,LONG,578,0.24080438745693677,-0.024874683,0.3053974,-0.004780193
2006-07-21 00:00:00+00,LONG,2508,1.0,-0.023564002,0.35977927,-0.0055779037
2006-07-21 00:00:00+00,LONG,3853,1.0,-0.038351204,0.8332512,0.010261092
2006-07-26 00:00:00+00,LONG,2211,1.0,-0.046989672,0.42984724,-0.0070003364
2006-08-09 00:00:00+00,LONG,2870,0.8709677419354839,-0.054761074,0.2950941,-0.0029681271
2006-08-14 00:00:00+00,LONG,540,0.5924800660190465,-0.024521017,0.5735783,-0.0026771305
2006-08-14 00:00:00+00,LONG,694,0.95,-0.026039455,0.14962204,0.0035747557
2006-08-25 00:00:00+00,LONG,3182,1.0,-0.049156554,0.18451126,-0.006129679
2006-08-25 00:00:00+00,LONG,2028,0.9777777777777777,-0.088288255,0.043747038,-0.0057580243
2006-09-06 00:00:00+00,LONG,1280,0.0,-0.022375545,0.015769692,-1.6305238E-4
2006-09-07 00:00:00+00,LONG,3098,1.0,-0.03492678,0.017777905,-0.0010865674
2006-09-07 00:00:00+00,LONG,3861,1.0,-0.084604695,0.25406006,-0.0053645466
2006-09-08 00:00:00+00,LONG,3098,0.950953910356328,-0.03381119,0.34348473,-0.009047999
2006-09-11 00:00:00+00,LONG,3433,0.0,-0.02342159,0.7934754,0.012014473
2006-09-25 00:00:00+00,LONG,3595,1.0,-0.03852694,0.47208932,0.002070881
