time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,normalized_3m_df003,pe_ratio_sector_relative_df083
2008-01-11 00:00:00+00,LONG,3378,0.9512195121951219,-0.12799658,0.45487365,0.1774
2008-01-11 00:00:00+00,LONG,3621,0.21955938101807604,-0.14854646,0.433213,-0.7614
2008-01-11 00:00:00+00,LONG,3862,0.0,-0.17748141,0.28519857,0.1753
2008-01-14 00:00:00+00,LONG,2870,0.0,-0.18441065,0.39208633,0.1924
2008-01-14 00:00:00+00,LONG,3621,0.2664427608210432,-0.12225411,0.42805755,-0.7058
2008-01-15 00:00:00+00,LONG,2870,0.0,-0.17938079,0.42181817,0.198
2008-01-15 00:00:00+00,LONG,3378,0.21068212392674532,-0.11954218,0.5018182,0.1839
2008-01-15 00:00:00+00,LONG,3621,0.2381034526495246,-0.15508512,0.42545456,-0.7318
2008-01-16 00:00:00+00,LONG,4107,1.0,-0.13396482,0.25,0.1123
2008-01-16 00:00:00+00,LONG,2870,0.0,-0.17287917,0.40942028,0.1964
2008-01-17 00:00:00+00,LONG,4107,0.9666666666666667,-0.1320567,0.24944812,0.104
2008-01-17 00:00:00+00,LONG,2370,0.46568845622714605,-0.13006504,0.39955848,0.0934
2008-01-17 00:00:00+00,LONG,2870,0.8571428571428572,-0.18265139,0.4117647,0.1779
2008-01-17 00:00:00+00,LONG,3631,1.0,-0.1635071,0.3115942,0.2254
2008-01-18 00:00:00+00,LONG,4107,0.9333333333333333,-0.1220081,0.29032257,0.1081
2008-01-22 00:00:00+00,LONG,522,1.0,-0.15589753,0.4452555,0.2017
2008-01-22 00:00:00+00,LONG,2870,0.1103054306679811,-0.14354995,0.47810218,0.1901
2008-01-22 00:00:00+00,LONG,3443,1.0,-0.18461539,0.5291971,-0.0924
2008-01-22 00:00:00+00,LONG,1684,0.0,-0.14482905,0.48666668,0.1749
2008-01-22 00:00:00+00,LONG,3862,0.0,-0.12684931,0.29602888,0.19
2008-01-23 00:00:00+00,LONG,522,0.9736842105263158,-0.13731395,0.46387833,0.2024
2008-01-23 00:00:00+00,LONG,2686,0.0,-0.13864543,0.48642534,0.2557
2008-01-23 00:00:00+00,LONG,730,0.8099496366778403,-0.13153154,0.25095057,0.19
2008-01-23 00:00:00+00,LONG,3695,1.0,-0.14133406,0.25113124,0.2308
2008-01-23 00:00:00+00,LONG,1684,0.0,-0.13898306,0.44343892,0.1705
2008-01-23 00:00:00+00,LONG,3905,0.6211050071659114,-0.13570206,0.24434389,0.231
2008-01-24 00:00:00+00,LONG,386,0.4945191745251801,-0.126498,0.42986426,0.1347
2008-01-24 00:00:00+00,LONG,2469,0.14897505592513857,-0.15612161,0.2576923,-0.3012
2008-01-24 00:00:00+00,LONG,694,0.0,-0.17334534,0.5538462,-0.336
2008-01-24 00:00:00+00,LONG,730,0.4999463277881607,-0.13119534,0.26153848,0.1936
2008-01-24 00:00:00+00,LONG,2870,0.0,-0.12933458,0.48076922,0.1777
2008-01-24 00:00:00+00,LONG,3179,0.0,-0.13269827,0.31900454,0.2578
2008-01-24 00:00:00+00,LONG,1454,0.345557950728856,-0.18831949,0.32126698,0.1702
2008-01-24 00:00:00+00,LONG,3695,0.4879709421071135,-0.12526824,0.28733033,0.237
2008-01-24 00:00:00+00,LONG,1668,0.0,-0.12574612,0.2760181,0.176
2008-01-24 00:00:00+00,LONG,1684,0.0,-0.17382371,0.41855204,0.1552
2008-01-24 00:00:00+00,LONG,3905,0.705869961489501,-0.12615643,0.260181,0.2303
2008-01-25 00:00:00+00,LONG,323,0.0,-0.12110159,0.27213824,0.2521
2008-01-25 00:00:00+00,LONG,386,0.5821184645574992,-0.11946565,0.36933047,0.1405
2008-01-25 00:00:00+00,LONG,730,0.8032278335973158,-0.15081206,0.2591241,0.2117
2008-01-25 00:00:00+00,LONG,2870,0.0,-0.13963546,0.540146,0.1843
