time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_zscore_universe_df070
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,-0.011824314,0.0347
2005-05-04 00:00:00+00,SHORT,4136,0.8333333333333334,-0.008610765,-0.0028
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.0070383386,0.0389
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.005477686,0.0394
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0015989892,0.0404
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.0044464017,0.0346
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,-0.008750381,0.0354
2005-05-06 00:00:00+00,SHORT,3586,1.0,-0.009980223,-0.0013
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,9.6246816E-4,-0.0012
2005-05-09 00:00:00+00,SHORT,3586,0.9090909090909091,-0.012272769,-0.0012
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.015813768,-0.0011
2005-05-19 00:00:00+00,SHORT,2640,0.0,0.01990585,-0.001
2005-05-20 00:00:00+00,SHORT,2067,0.6459612209834655,-0.003872059,-0.001
2005-05-20 00:00:00+00,SHORT,167,0.546897658975487,-0.011601787,0.0033
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,-0.009888352,-9.0E-4
2005-05-27 00:00:00+00,SHORT,1817,0.0,-0.0107355695,-8.0E-4
2005-06-02 00:00:00+00,SHORT,1817,0.0,-0.0010244295,-7.0E-4
2005-06-07 00:00:00+00,SHORT,4083,1.0,0.0068896636,-0.001
2005-06-10 00:00:00+00,SHORT,2640,0.0,0.028223988,-9.0E-4
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.021271806,-8.0E-4
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,0.0070930626,-8.0E-4
2005-06-16 00:00:00+00,SHORT,4118,0.0,-0.005920141,-0.0011
2005-06-16 00:00:00+00,SHORT,2640,0.0,-1.7501957E-4,-9.0E-4
2005-06-16 00:00:00+00,SHORT,631,0.0,-0.0066114976,-0.0011
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.0014091071,-7.0E-4
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.018655434,-0.0011
2005-06-17 00:00:00+00,SHORT,2055,0.0,-0.0042584306,-0.0012
2005-06-17 00:00:00+00,SHORT,4118,0.0,-0.009602924,-0.0011
2005-06-17 00:00:00+00,SHORT,335,0.0,0.008256689,-0.0011
2005-06-17 00:00:00+00,SHORT,817,0.0,0.02228741,-0.001
2005-06-17 00:00:00+00,SHORT,838,0.0,0.0016077609,-0.0012
2005-06-17 00:00:00+00,SHORT,3049,1.0,-0.001321915,-0.0011
2005-06-17 00:00:00+00,SHORT,3130,0.0,-0.009212354,-0.0011
2005-06-17 00:00:00+00,SHORT,3286,0.0,0.001984355,-0.0012
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.04352689,-4.0E-4
2005-06-17 00:00:00+00,SHORT,3595,0.05601310025179433,-0.0032775493,-0.0011
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.0083780205,-0.0012
2005-06-17 00:00:00+00,SHORT,2028,0.0,4.8514418E-4,5.0E-4
2005-06-20 00:00:00+00,SHORT,2055,0.0,-0.011658554,-0.0012
2005-06-20 00:00:00+00,SHORT,4118,0.0,-0.008737453,-0.0012
2005-06-20 00:00:00+00,SHORT,335,0.0,-0.010874109,-0.0012
2005-06-20 00:00:00+00,SHORT,838,0.0,-0.0076311813,-0.0012
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.0064721443,-4.0E-4
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.012592285,-0.0012
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,0.0067550074,-0.0012
2005-06-20 00:00:00+00,SHORT,2028,0.0,-0.0053991345,5.0E-4
2005-06-21 00:00:00+00,SHORT,2351,0.0,-1.6078989E-4,-7.0E-4
2005-06-21 00:00:00+00,SHORT,631,0.11925800349871751,-0.010020609,-0.0012
2005-06-21 00:00:00+00,SHORT,1297,0.19371339518753267,-0.009141948,-4.0E-4
2005-06-21 00:00:00+00,SHORT,1719,0.0,-0.008149759,-0.0013
2005-06-21 00:00:00+00,SHORT,3882,0.875,-0.009568093,-0.0012
2005-06-21 00:00:00+00,SHORT,4062,0.0,0.0053509786,-0.0011
2005-06-22 00:00:00+00,SHORT,2999,0.4235919789603007,0.0076624244,-0.001
2005-06-22 00:00:00+00,SHORT,4062,0.0,-0.0072411313,-0.0011
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,0.002424495,-0.001
2005-06-23 00:00:00+00,SHORT,3699,0.0,-0.011167519,-9.0E-4
2005-06-29 00:00:00+00,SHORT,2055,0.0,1.1444784E-4,-0.0013
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,-0.0015945899,-0.0395
2005-06-30 00:00:00+00,SHORT,1966,0.7145465683532836,-0.0020211698,-0.0374
2005-07-08 00:00:00+00,SHORT,3677,0.4620251988102702,0.00888652,-8.0E-4
2005-07-11 00:00:00+00,SHORT,3677,0.3870261787891005,-0.0042632264,-8.0E-4
2005-07-11 00:00:00+00,SHORT,1762,0.0,-0.0016181649,0.0209
2005-07-12 00:00:00+00,SHORT,153,1.0,-0.010307627,-6.0E-4
2005-07-12 00:00:00+00,SHORT,984,0.0,0.0040759654,-5.0E-4
2005-07-12 00:00:00+00,SHORT,2028,0.0,0.007868391,8.0E-4
2005-07-13 00:00:00+00,SHORT,3352,1.0,0.0035486612,-9.0E-4
2005-07-14 00:00:00+00,SHORT,2801,0.0,-0.008656271,-9.0E-4
2005-07-14 00:00:00+00,SHORT,3114,0.9527474795465143,-0.0071833692,-6.0E-4
2005-07-14 00:00:00+00,SHORT,3352,0.8888888888888888,-0.0043109967,-9.0E-4
2005-07-15 00:00:00+00,SHORT,3114,0.9166666666666666,-0.005420823,-5.0E-4
2005-07-15 00:00:00+00,SHORT,1939,1.0,0.023005491,5.0E-4
