time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,vola_roc_5_20_df040
2006-06-13 00:00:00+00,LONG,934,1.0,0.0534203,1.2371813
2006-06-13 00:00:00+00,LONG,3013,0.8151647870962435,0.019857215,0.69827217
2006-06-13 00:00:00+00,LONG,984,1.0,0.025303397,0.33544856
2006-06-13 00:00:00+00,LONG,1022,0.591275651075708,0.07755315,1.2470165
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.035416447,0.4407529
2006-06-13 00:00:00+00,LONG,3124,1.0,0.046145413,1.0949515
2006-06-13 00:00:00+00,LONG,1173,1.0,0.06007506,0.30265734
2006-06-13 00:00:00+00,LONG,3236,0.5295738825796439,0.038767237,0.23998742
2006-06-13 00:00:00+00,LONG,3241,0.7053617114206702,0.040619884,0.5677146
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,0.049341686,0.110115364
2006-06-13 00:00:00+00,LONG,3286,0.0,0.06960088,0.7448812
2006-06-13 00:00:00+00,LONG,3330,1.0,0.026576482,0.33466095
2006-06-13 00:00:00+00,LONG,1298,0.0,0.047941644,0.3299418
2006-06-13 00:00:00+00,LONG,3352,1.0,0.073033944,0.24788412
2006-06-13 00:00:00+00,LONG,1404,0.6842636237468289,0.076514155,0.5202314
2006-06-13 00:00:00+00,LONG,3556,1.0,0.057175666,1.0859908
2006-06-13 00:00:00+00,LONG,3573,1.0,0.053999025,0.18771483
2006-06-13 00:00:00+00,LONG,3595,1.0,0.020495087,0.30701602
2006-06-13 00:00:00+00,LONG,1610,1.0,0.07990876,1.0123174
2006-06-13 00:00:00+00,LONG,1762,1.0,0.06794798,1.1146164
2006-06-13 00:00:00+00,LONG,1770,1.0,0.038958386,0.60732794
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,0.037139814,0.13226482
2006-06-13 00:00:00+00,LONG,1807,0.37641029739341664,0.019452922,-0.24757808
2006-06-13 00:00:00+00,LONG,1888,1.0,0.04765524,0.42045477
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,0.039995752,0.45213112
2006-06-13 00:00:00+00,LONG,4086,0.0,0.04326485,0.69677866
2006-06-14 00:00:00+00,LONG,19,0.9523809523809523,0.050962355,1.0936215
2006-06-14 00:00:00+00,LONG,2125,1.0,0.02769251,0.3347234
2006-06-14 00:00:00+00,LONG,88,0.42340568181952765,0.016149001,0.30399546
2006-06-14 00:00:00+00,LONG,219,1.0,0.0352102,0.23862223
2006-06-14 00:00:00+00,LONG,2272,0.0,0.051657576,0.696527
2006-06-14 00:00:00+00,LONG,2536,1.0,0.016554926,0.30303335
2006-06-14 00:00:00+00,LONG,540,0.5997554513095575,0.017425966,-0.27688175
2006-06-14 00:00:00+00,LONG,576,0.37076197272872663,0.016500685,0.89328754
2006-06-14 00:00:00+00,LONG,2866,0.567509515326536,0.021639783,0.27680027
2006-06-14 00:00:00+00,LONG,2932,0.3415122690794783,0.018270839,0.7429526
2006-06-14 00:00:00+00,LONG,934,0.7757553516126262,0.023405457,1.1573951
2006-06-14 00:00:00+00,LONG,2990,1.0,0.03131072,0.6024074
2006-06-14 00:00:00+00,LONG,1022,0.49005842169147684,0.023289226,1.1083846
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,0.01622236,0.5496958
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,0.019981235,1.0543628
2006-06-14 00:00:00+00,LONG,3241,0.6112698445642428,0.027978513,0.72073007
2006-06-14 00:00:00+00,LONG,3286,0.0,0.027537076,0.6812139
2006-06-14 00:00:00+00,LONG,3352,0.9565217391304348,0.04144576,0.36340436
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,0.02822776,1.0652727
2006-06-14 00:00:00+00,LONG,1610,0.15695566400875247,0.032472,0.7626731
2006-06-14 00:00:00+00,LONG,3684,1.0,0.051390044,1.4197092
2006-06-14 00:00:00+00,LONG,1762,0.9565217391304348,0.028518375,1.0867822
2006-06-14 00:00:00+00,LONG,1770,0.0,0.02009464,0.69105935
2006-06-14 00:00:00+00,LONG,3841,1.0,0.01871819,0.661553
2006-06-14 00:00:00+00,LONG,1888,0.22546008665660874,0.029420082,0.7302688
2006-06-19 00:00:00+00,LONG,1184,0.2888576936372407,0.023919689,0.4908433
2006-06-20 00:00:00+00,LONG,2272,0.0,0.024168449,0.32414716
2006-06-20 00:00:00+00,LONG,3613,0.5464192789749112,0.018314194,0.06276213
2006-07-10 00:00:00+00,LONG,817,0.0,0.114427514,1.1110717
2006-07-14 00:00:00+00,LONG,858,1.0,0.05258233,1.3704803
2006-07-17 00:00:00+00,LONG,578,0.2704360435419386,0.022322666,0.56160694
2006-07-18 00:00:00+00,LONG,2095,1.0,0.02805771,0.47081223
2006-07-18 00:00:00+00,LONG,3782,1.0,0.03493091,0.6416687
2006-07-20 00:00:00+00,LONG,1144,1.0,0.029340783,0.56120646
2006-07-20 00:00:00+00,LONG,3699,0.6472556795067244,0.025837045,0.20932898
2006-07-21 00:00:00+00,LONG,2095,0.8888888888888888,0.017733606,1.0241507
2006-07-21 00:00:00+00,LONG,167,1.0,0.045204382,1.2247543
2006-07-21 00:00:00+00,LONG,2305,1.0,0.06409583,0.90237874
2006-07-21 00:00:00+00,LONG,2504,0.40309440387988704,0.044641666,1.3239198
2006-07-21 00:00:00+00,LONG,3501,1.0,0.027516661,0.055385377
2006-07-24 00:00:00+00,LONG,191,0.47520306002107277,0.039462738,-0.16331473
2006-07-24 00:00:00+00,LONG,2305,0.9838709677419355,0.024760643,1.0365894
2006-07-24 00:00:00+00,LONG,3631,1.0,0.07894081,1.2641666
2006-07-24 00:00:00+00,LONG,1740,0.0,0.027773054,0.6202034
2006-07-25 00:00:00+00,LONG,3631,0.9545454545454546,0.03820255,1.3122274
2006-07-26 00:00:00+00,LONG,2305,0.9516129032258065,0.02300069,1.3603064
2006-07-26 00:00:00+00,LONG,862,1.0,0.017383788,0.25412735
2006-07-28 00:00:00+00,LONG,1063,0.6546591590214399,0.034287974,0.6042387
2006-08-01 00:00:00+00,LONG,4171,0.6434048428266436,0.038835205,0.61054134
2006-08-01 00:00:00+00,LONG,4062,0.875,0.039071593,1.5419388
2006-08-02 00:00:00+00,LONG,1650,1.0,0.028531855,0.62956446
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,0.021876121,0.6731262
2006-08-11 00:00:00+00,LONG,694,1.0,0.030233663,0.068672426
2006-08-11 00:00:00+00,LONG,1790,0.957345830002671,0.025031712,0.76748616
2006-08-11 00:00:00+00,LONG,3862,0.9714285714285714,0.029160576,0.26724395
2006-08-14 00:00:00+00,LONG,68,1.0,0.060989503,1.4847994
2006-08-14 00:00:00+00,LONG,694,0.95,0.03679235,0.19641083
2006-08-25 00:00:00+00,LONG,4150,0.3925946220773426,0.060472343,0.9861896
2006-08-28 00:00:00+00,LONG,4150,0.27015457166552287,0.041412693,1.3791873
2006-09-06 00:00:00+00,LONG,897,0.0,0.019191831,0.13551581
2006-09-07 00:00:00+00,LONG,897,0.0,0.020882139,0.17632793
2006-09-08 00:00:00+00,LONG,3613,0.0,0.04741702,0.1424576
2006-09-11 00:00:00+00,LONG,3433,0.0,0.032333493,0.19220868
2006-09-12 00:00:00+00,LONG,4086,0.0,0.09046025,0.9031051
2006-09-13 00:00:00+00,LONG,4086,0.0,0.044603266,1.266661
2006-09-15 00:00:00+00,LONG,523,0.22723331960983767,0.03626685,1.1258147
2006-09-22 00:00:00+00,LONG,158,1.0,0.07672766,1.2078291
2006-09-22 00:00:00+00,LONG,610,1.0,0.028027032,0.06799382
2006-09-22 00:00:00+00,LONG,796,1.0,0.02650034,0.09333724
2006-09-25 00:00:00+00,LONG,158,0.3398379173032859,0.038101163,1.505713
2006-09-25 00:00:00+00,LONG,610,0.9836065573770492,0.016173538,0.2600943
2006-09-25 00:00:00+00,LONG,838,1.0,0.034365114,0.7989343
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,0.022225356,0.41212505
2006-09-26 00:00:00+00,LONG,610,0.9672131147540983,0.020059498,0.3169588
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,0.02595372,1.2602929
2006-10-10 00:00:00+00,LONG,2272,0.4437253966442237,0.021893702,0.8902806
2006-10-10 00:00:00+00,LONG,3531,1.0,0.015867606,0.3557125
2006-10-11 00:00:00+00,LONG,2272,0.48472207790205196,0.025244977,0.81923217
2006-10-11 00:00:00+00,LONG,1262,1.0,0.016021678,-0.1861381
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,0.029535726,0.67802346
2006-11-06 00:00:00+00,LONG,2877,1.0,0.027627736,1.0522053
2006-11-06 00:00:00+00,LONG,2004,0.32021316112771536,0.016962556,0.7196187
2006-11-09 00:00:00+00,LONG,3903,1.0,0.031462494,0.1592946
2006-11-28 00:00:00+00,LONG,517,0.26433876689764924,0.021864155,-0.11137525
2006-12-14 00:00:00+00,LONG,3293,0.5618859754620028,0.024127591,1.1001416
2006-12-21 00:00:00+00,LONG,2066,0.0,0.0906289,1.3621999
2007-01-04 00:00:00+00,LONG,1173,0.6031377444778159,0.01748989,0.84667736
2007-01-04 00:00:00+00,LONG,1404,0.8205051362522381,0.04540069,0.65257293
2007-01-05 00:00:00+00,LONG,874,1.0,0.060184587,1.5710411
2007-01-05 00:00:00+00,LONG,3236,1.0,0.028378906,-0.010928128
2007-01-05 00:00:00+00,LONG,1404,0.7421189594844843,0.026013454,0.70407456
2007-01-08 00:00:00+00,LONG,874,0.9714285714285714,0.019515803,1.4915849
2007-01-09 00:00:00+00,LONG,93,0.0,0.04408354,0.5213687
2007-01-10 00:00:00+00,LONG,4137,0.5811566555403496,0.022696333,0.5783055
2007-01-10 00:00:00+00,LONG,2896,0.42747883681958226,0.035752837,1.2161989
2007-01-10 00:00:00+00,LONG,1298,1.0,0.031437617,0.8743603
2007-01-10 00:00:00+00,LONG,3466,1.0,0.028670955,0.72144026
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,0.03412032,1.5326136
2007-01-11 00:00:00+00,LONG,93,0.0,0.02290521,0.86431724
2007-01-11 00:00:00+00,LONG,2261,1.0,0.040094066,0.29406315
