time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2006-06-13 00:00:00+00,LONG,4000,0.0,-0.041581906,-0.031545248,0.13437982,0.0026374694
2006-06-14 00:00:00+00,LONG,3241,0.6112698445642428,-0.035955686,-0.005325853,0.12953931,0.027978513
2006-06-14 00:00:00+00,LONG,3855,0.28094255443322025,-0.029573297,0.007710717,0.14177047,0.011780499
2006-06-16 00:00:00+00,LONG,440,0.653474599188885,-0.051960442,0.008775844,0.1339114,-0.02070827
2006-06-16 00:00:00+00,LONG,1051,0.5142114190371826,-0.065450765,-0.018638417,0.1390972,-0.0060056676
2006-06-16 00:00:00+00,LONG,1462,0.0,-0.033785705,0.007814833,0.15423457,-0.071407355
2006-06-16 00:00:00+00,LONG,1673,0.9230769230769231,-0.05639431,-0.008557109,0.14218086,-0.041742537
2006-06-16 00:00:00+00,LONG,3855,0.3843750521138663,-0.036671776,-0.00272883,0.15659294,-0.013989671
2006-06-16 00:00:00+00,LONG,4000,0.0,-0.046171688,-0.014124412,0.13786826,-0.07694115
2006-06-16 00:00:00+00,LONG,1967,0.4938031294129051,-0.04861929,-0.0043570744,0.13052227,-0.036826823
2006-06-16 00:00:00+00,LONG,4086,0.0,-0.0724421,-1.2486136E-4,0.1611208,-0.05285525
2006-06-19 00:00:00+00,LONG,897,0.0,-0.059085295,-0.01711725,0.12699956,-0.020075137
2006-06-19 00:00:00+00,LONG,1673,0.8695652173913043,-0.06343,-0.001310312,0.1403422,-0.02884564
2006-06-19 00:00:00+00,LONG,1770,0.0,-0.028789148,-0.019556692,0.15840662,-0.0012202103
2006-06-19 00:00:00+00,LONG,1939,0.8779902284153114,-0.050913036,-0.018170724,0.15474509,-0.06014516
2006-06-19 00:00:00+00,LONG,4000,0.0,-0.04943791,-0.015261742,0.14396931,-0.034238067
2006-06-19 00:00:00+00,LONG,4062,0.0,-0.062764674,0.010089339,0.15384994,-0.06492921
2006-06-20 00:00:00+00,LONG,1462,0.08134638583228236,-0.035853893,0.012764875,0.14185216,-0.052544337
2006-06-20 00:00:00+00,LONG,1463,0.5630732660888762,-0.06565355,-0.008972102,0.136642,-0.012680901
2006-06-20 00:00:00+00,LONG,1770,0.0,-0.036999006,0.004789182,0.15724972,0.015242607
2006-06-23 00:00:00+00,LONG,1888,0.0,-0.06650303,0.011962138,0.14514507,-0.061109073
2006-07-14 00:00:00+00,LONG,3684,0.0,-0.02957515,-0.014314613,0.1334424,-0.032246664
2006-07-14 00:00:00+00,LONG,3825,0.007377465050218095,-0.032922722,0.002539038,0.12931015,-0.032146268
2006-07-18 00:00:00+00,LONG,2582,0.8784578032681856,-0.020599704,0.011051067,0.15454325,-0.019908201
2006-07-18 00:00:00+00,LONG,2670,0.0,-0.058489844,-0.0027542675,0.14898437,-0.07387135
2006-07-18 00:00:00+00,LONG,3359,1.0,-0.046535637,-0.004434698,0.14148147,-0.027205447
2006-07-18 00:00:00+00,LONG,3531,0.0,-0.030727237,-0.030652419,0.14614095,-0.014559625
2006-07-18 00:00:00+00,LONG,3782,1.0,-0.035603724,-0.020328037,0.15651941,0.03493091
2006-07-20 00:00:00+00,LONG,3359,0.9666666666666667,-0.048181392,0.013020819,0.1352314,-0.050257068
2006-07-20 00:00:00+00,LONG,3782,0.9259259259259259,-0.0449166,1.1574659E-4,0.14099458,-0.007038156
