time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,dist_upper_bb_50_2.5_df055,price_roc_5_df020
2005-11-11 00:00:00+00,SHORT,710,0.273672514471132,0.7802837,0.0040730997,0.055028465
2005-11-14 00:00:00+00,SHORT,687,0.6369181207223458,0.7946771,-0.013335549,0.04953618
2005-11-15 00:00:00+00,SHORT,617,0.3905023275309097,0.78625757,-0.007970114,0.03308002
2005-11-23 00:00:00+00,SHORT,2923,1.0,0.85276616,-0.042120982,0.04425635
2005-11-25 00:00:00+00,SHORT,2815,0.2802560232363432,0.83778787,-0.06431237,0.038131554
2005-11-25 00:00:00+00,SHORT,2923,0.9473684210526316,0.7975647,-0.045621254,0.018836826
2005-11-25 00:00:00+00,SHORT,1176,0.0,0.8096808,-0.01838495,0.07117689
2005-11-28 00:00:00+00,SHORT,2742,0.0,0.8030196,-0.007243174,0.046640143
2005-11-29 00:00:00+00,SHORT,3309,0.0,0.7559507,0.014346182,0.058276333
2005-12-01 00:00:00+00,SHORT,2815,0.3712860895645602,0.7726385,-0.04710679,0.020174231
2005-12-01 00:00:00+00,SHORT,1244,1.0,0.8557638,-0.012364937,0.08199457
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.78516555,0.001220262,0.056505222
2005-12-02 00:00:00+00,SHORT,1985,1.0,0.83733165,-0.0069263,0.023125699
2005-12-05 00:00:00+00,SHORT,19,0.30602215698867086,0.7508535,-0.018400032,0.033083484
2005-12-06 00:00:00+00,SHORT,588,0.0,0.7887524,-0.0787935,0.07171636
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,0.8237837,-3.1188148E-4,0.05327388
2005-12-07 00:00:00+00,SHORT,4172,0.18573488450655862,0.7928815,-0.008255345,0.048109245
2005-12-12 00:00:00+00,SHORT,713,0.6463299835264111,0.79319596,-0.029236563,0.061643835
2005-12-12 00:00:00+00,SHORT,3148,0.0,0.75695795,-0.02697792,0.01655629
2005-12-13 00:00:00+00,SHORT,713,0.7038032207119067,0.7770891,-0.034055244,0.03897436
2005-12-13 00:00:00+00,SHORT,2816,0.0,0.775012,-0.028873878,0.03497434
2005-12-13 00:00:00+00,SHORT,1173,0.29797398907909656,0.7769727,-0.018702447,0.04605777
2005-12-14 00:00:00+00,SHORT,2582,0.0,0.8513371,-0.055554945,0.069579065
2005-12-14 00:00:00+00,SHORT,2638,0.49819328624187564,0.75126445,-0.018947888,0.031562973
2005-12-14 00:00:00+00,SHORT,1173,0.2203135379287504,0.8264747,-0.008946332,0.052754074
2005-12-23 00:00:00+00,SHORT,3310,0.5797918570247561,0.77291477,-0.021255458,0.013226926
2006-01-04 00:00:00+00,SHORT,2670,0.7248949887078712,0.80165535,-0.0150923915,0.07749078
2006-01-05 00:00:00+00,SHORT,323,1.0,0.8738891,-0.052300792,0.058165897
2006-01-05 00:00:00+00,SHORT,3179,0.7629626183983198,0.79623544,0.0067957654,0.05167464
2006-01-06 00:00:00+00,SHORT,323,0.5292188592673859,0.75358903,-0.07013449,0.04910488
2006-01-06 00:00:00+00,SHORT,2863,0.7494819255452438,0.755769,0.002943958,0.06753458
2006-01-06 00:00:00+00,SHORT,3179,0.731314074929761,0.8029957,0.009373793,0.054502368
2006-01-09 00:00:00+00,SHORT,19,0.0,0.90101624,-0.013820598,0.07674113
2006-01-09 00:00:00+00,SHORT,323,0.6511488241208354,0.86315495,-0.06387022,0.066819735
2006-01-10 00:00:00+00,SHORT,19,0.0,0.8818188,-0.017103357,0.06253243
2006-01-10 00:00:00+00,SHORT,88,0.0,0.7547194,-0.054788068,0.013157895
2006-01-11 00:00:00+00,SHORT,19,0.0,0.8861383,-0.010055619,0.04783599
2006-01-11 00:00:00+00,SHORT,2437,0.324811578198072,0.7581099,0.0037106231,0.025655022
2006-01-11 00:00:00+00,SHORT,516,0.09158997025879478,0.7549682,-0.0010349359,0.03275176
2006-01-11 00:00:00+00,SHORT,3794,0.0,0.8008668,-0.03568094,0.046788484
2006-01-12 00:00:00+00,SHORT,19,0.0,0.94543695,-0.008838144,0.028395062
2006-01-12 00:00:00+00,SHORT,3794,0.0,0.7769248,-0.042951483,0.048902474
2006-01-13 00:00:00+00,SHORT,13,0.0,0.81753796,0.010314353,0.05963699
2006-01-13 00:00:00+00,SHORT,2349,0.40643544581678465,0.8968882,0.01708346,0.06818182
2006-01-17 00:00:00+00,SHORT,13,0.0,0.8127656,0.0024444193,0.031639177
2006-01-17 00:00:00+00,SHORT,1677,0.625,0.7808189,-0.02991454,4.4549155E-4
2006-01-17 00:00:00+00,SHORT,1678,0.625,0.7807905,-0.029911207,4.497751E-4
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,0.81858766,-0.060729615,0.08396226
2006-02-01 00:00:00+00,SHORT,1022,0.20184968879733028,0.79651904,-0.0221888,0.022361906
2006-02-02 00:00:00+00,SHORT,335,0.0,0.83091915,-0.033318393,0.057259712
2006-02-02 00:00:00+00,SHORT,602,0.5559436716163811,0.796972,-0.0025467838,0.005116868
2006-02-02 00:00:00+00,SHORT,3286,0.0,0.7766598,0.012150524,0.059101958
2006-02-03 00:00:00+00,SHORT,4137,0.0,0.8064463,-0.02202783,0.06214689
2006-02-03 00:00:00+00,SHORT,602,0.428765684187783,0.7745637,-0.003593086,0.012497697
2006-02-06 00:00:00+00,SHORT,4137,0.0,0.8106235,-0.025407126,0.024161074
2006-02-06 00:00:00+00,SHORT,335,0.13302053015907792,0.7719255,-0.03107898,0.023233669
2006-02-06 00:00:00+00,SHORT,602,0.5714285714285714,0.77605987,-0.0073054177,0.011212429
2006-02-06 00:00:00+00,SHORT,838,0.0,0.76246864,-0.02629482,0.030442998
2006-02-16 00:00:00+00,SHORT,3994,0.44241480297880914,0.83583623,-0.01750833,0.04981474
2006-02-21 00:00:00+00,SHORT,1114,0.3320872508194976,0.76332116,-0.015904952,0.054263566
2006-02-22 00:00:00+00,SHORT,443,0.0,0.82564884,-0.030998958,0.042565268
2006-02-23 00:00:00+00,SHORT,2818,0.0,0.9023757,0.010714194,0.04476033
2006-02-24 00:00:00+00,SHORT,2818,0.0,0.8371382,-0.0050956034,0.043694794
2006-02-27 00:00:00+00,SHORT,2818,0.0,0.82904214,-0.01412046,0.02931314
2006-02-27 00:00:00+00,SHORT,845,0.2930669089341288,0.79954916,-0.018419046,0.042404518
2006-02-27 00:00:00+00,SHORT,1462,0.26746878893627596,0.78054523,-0.042058166,0.071402505
2006-02-27 00:00:00+00,SHORT,1816,0.22491807880686435,0.8121235,-0.029756153,0.024601191
2006-02-28 00:00:00+00,SHORT,845,0.28890177240175224,0.7690101,-0.0297748,0.030551061
2006-03-01 00:00:00+00,SHORT,845,0.32360113312948474,0.7651001,-0.026668921,0.016646517
2006-03-01 00:00:00+00,SHORT,3703,0.0,0.9735961,-0.044880137,0.035139278
