time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2007-01-16 00:00:00+00,SHORT,502,0.8888888888888888,0.035926145,0.04501845,-0.20148967,0.044675793
2007-01-17 00:00:00+00,SHORT,3199,0.8888888888888888,0.114587255,0.058298074,-0.22471368,0.12269327
2007-01-17 00:00:00+00,SHORT,3818,0.43334536937066537,0.06929536,0.0492796,-0.20405702,0.07740137
2007-01-17 00:00:00+00,SHORT,3862,0.6791271559582042,0.07721671,0.04824936,-0.23593698,0.08532272
2007-01-22 00:00:00+00,SHORT,710,0.5887772310699845,0.075902335,0.045666084,-0.20148095,0.07893157
2007-01-31 00:00:00+00,SHORT,243,0.5416300240186063,0.08268211,0.03577005,-0.22948173,0.093511164
2007-02-02 00:00:00+00,SHORT,1280,0.3413052171000919,0.10804387,0.047582734,-0.20421743,0.13237718
2007-02-13 00:00:00+00,SHORT,3310,0.637286836958775,0.094729915,0.04197088,-0.24121259,0.10464335
2007-02-14 00:00:00+00,SHORT,3310,0.5387581421570035,0.058232356,0.03608217,-0.23624083,0.07676901
2007-02-21 00:00:00+00,SHORT,4194,1.0,0.11124001,0.04616858,-0.21395037,0.13652445
2007-02-22 00:00:00+00,SHORT,3947,0.0,0.10925422,0.03689212,-0.2073893,0.13075282
2007-03-23 00:00:00+00,SHORT,2297,0.0,0.062105298,0.038938053,-0.20319404,0.04510386
2007-03-27 00:00:00+00,SHORT,64,0.4329097548178957,0.06558206,0.053019147,-0.20071195,0.049669683
2007-04-09 00:00:00+00,SHORT,3915,0.5124355459745301,0.0905935,0.03809883,-0.20294881,0.116883114
2007-04-18 00:00:00+00,SHORT,3862,1.0,0.06059942,0.038994595,-0.24193569,0.11102738
2007-04-20 00:00:00+00,SHORT,4034,0.7468311619084258,0.086921185,0.057029177,-0.23898014,0.12411848
2007-04-23 00:00:00+00,SHORT,2613,0.19690878243001575,0.08171716,0.05054037,-0.20313528,0.115800135
2007-04-23 00:00:00+00,SHORT,4034,0.5155792550400039,0.088736534,0.053792182,-0.21515425,0.122819506
2007-04-24 00:00:00+00,SHORT,2613,0.247864583648558,0.100004494,0.054406617,-0.21505219,0.13299145
2007-04-25 00:00:00+00,SHORT,191,0.0,0.037326064,0.05319914,-0.21344261,0.08118081
2007-05-02 00:00:00+00,SHORT,1910,0.5946937945829475,0.07100088,0.04803685,-0.20195743,0.12291422
