time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,sessions_since_bearish_13_50_df059
2005-05-06 00:00:00+00,LONG,2070,0.0,0.008867658,27.0
2005-05-09 00:00:00+00,LONG,2106,0.0,0.11170448,13.0
2005-05-09 00:00:00+00,LONG,1064,0.5584800795836248,9.815602E-4,8.0
2005-05-10 00:00:00+00,LONG,2106,0.8205128205128205,0.08656471,14.0
2005-05-11 00:00:00+00,LONG,2106,0.0,0.024006905,15.0
2005-05-12 00:00:00+00,LONG,2106,0.7692307692307693,0.006663199,16.0
2005-05-12 00:00:00+00,LONG,2518,1.0,0.061570954,8.0
2005-05-13 00:00:00+00,LONG,4169,0.37798133447288085,0.0064671757,13.0
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,0.018172301,14.0
2005-05-13 00:00:00+00,LONG,1039,1.0,0.020906532,6.0
2005-05-13 00:00:00+00,LONG,1205,0.21893665762256567,0.013598784,7.0
2005-05-13 00:00:00+00,LONG,3275,1.0,0.00394373,20.0
2005-05-13 00:00:00+00,LONG,3378,0.07920181115700177,0.0050802687,13.0
2005-05-13 00:00:00+00,LONG,1453,0.0,0.021654146,15.0
2005-05-13 00:00:00+00,LONG,3561,1.0,0.009793588,20.0
2005-05-13 00:00:00+00,LONG,3973,0.29687370167176497,0.0049762437,25.0
2005-05-16 00:00:00+00,LONG,4123,1.0,0.01740873,21.0
2005-05-16 00:00:00+00,LONG,4187,1.0,0.025216395,20.0
2005-05-16 00:00:00+00,LONG,576,0.894186302049144,6.550718E-4,28.0
2005-05-16 00:00:00+00,LONG,2896,1.0,0.0037596491,15.0
2005-05-16 00:00:00+00,LONG,897,1.0,0.029027127,17.0
2005-05-16 00:00:00+00,LONG,1039,0.9787234042553191,0.0111259315,7.0
2005-05-16 00:00:00+00,LONG,1173,1.0,0.005132899,16.0
2005-05-16 00:00:00+00,LONG,3283,1.0,0.04361034,14.0
2005-05-16 00:00:00+00,LONG,3561,0.9830508474576272,1.0141046E-4,21.0
2005-05-16 00:00:00+00,LONG,1770,1.0,0.017616633,20.0
2005-05-17 00:00:00+00,LONG,4187,0.7545556912630998,0.010882892,21.0
2005-05-17 00:00:00+00,LONG,192,0.7943533491275363,-1.9078511E-4,18.0
2005-05-17 00:00:00+00,LONG,335,1.0,0.021090763,14.0
2005-05-17 00:00:00+00,LONG,450,1.0,0.015733141,15.0
2005-05-17 00:00:00+00,LONG,897,0.96,0.0043575806,18.0
2005-05-17 00:00:00+00,LONG,1667,0.04098911621763578,0.10774298,6.0
2005-05-17 00:00:00+00,LONG,1770,0.96,0.0018747003,21.0
2005-05-17 00:00:00+00,LONG,4050,1.0,0.012200396,19.0
2005-05-17 00:00:00+00,LONG,4086,1.0,0.015739338,10.0
2005-05-18 00:00:00+00,LONG,4187,0.43816475242008474,0.009966223,22.0
2005-05-18 00:00:00+00,LONG,450,0.9696969696969697,0.0139066065,16.0
2005-05-18 00:00:00+00,LONG,1667,0.0,0.020517591,7.0
2005-05-18 00:00:00+00,LONG,1770,0.92,0.004233647,22.0
2005-05-18 00:00:00+00,LONG,4050,0.9772727272727273,4.7763108E-4,20.0
2005-05-19 00:00:00+00,LONG,450,0.9393939393939394,0.0016699731,17.0
2005-05-19 00:00:00+00,LONG,3586,0.6231582965546869,0.0010702858,24.0
2005-05-20 00:00:00+00,LONG,88,0.8397540776460467,0.03211296,24.0
2005-05-23 00:00:00+00,LONG,88,0.6120998039469852,0.0015373834,25.0
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,0.02475064,17.0
2005-05-26 00:00:00+00,LONG,3612,0.33323784276444146,0.05385229,8.0
2005-05-27 00:00:00+00,LONG,2397,0.4752757040359398,0.11652973,6.0
2005-05-31 00:00:00+00,LONG,2397,0.24341361562287317,0.08259788,7.0
2005-06-01 00:00:00+00,LONG,2397,0.4354642975953105,0.032957625,8.0
2005-06-15 00:00:00+00,LONG,1011,0.0,0.10372561,5.0
2005-06-16 00:00:00+00,LONG,1011,0.0,0.057914745,6.0
2005-06-17 00:00:00+00,LONG,1011,0.0,0.013038288,7.0
2005-06-21 00:00:00+00,LONG,3293,0.007473859424635956,0.1250408,5.0
2005-06-22 00:00:00+00,LONG,3293,0.009207524033045998,0.07872225,6.0
2005-06-23 00:00:00+00,LONG,3293,0.0,0.041765038,7.0
