time,side,ticker_id,mv_dn_composite_labels,volume_spike_1_df057,dist_upper_bb_20_2.0_df055
2005-10-04 00:00:00+00,SHORT,76,0.3559512582464003,-0.12137791,-0.0063135587
2005-10-04 00:00:00+00,SHORT,142,0.27992275508768166,-0.0071868584,-0.006065097
2005-10-04 00:00:00+00,SHORT,370,0.10606794269747982,-0.14031531,-0.008314692
2005-10-04 00:00:00+00,SHORT,2742,0.0,-0.059093848,-0.0063367016
2005-10-04 00:00:00+00,SHORT,1453,0.7856109115694921,-0.18733346,-0.009980304
2005-10-04 00:00:00+00,SHORT,1840,0.0,-0.07022472,-0.008385405
2005-10-14 00:00:00+00,SHORT,1939,0.0,-0.047635883,-0.009527192
2005-10-17 00:00:00+00,SHORT,1473,0.6,-0.008,-0.009079675
2005-10-24 00:00:00+00,SHORT,245,0.0,-0.16588913,-0.004538312
2005-10-24 00:00:00+00,SHORT,3273,0.0,-0.15539132,-0.003332901
2005-10-24 00:00:00+00,SHORT,3343,0.0,-0.17391545,0.006080633
2005-10-25 00:00:00+00,SHORT,2863,0.5120240956347297,-0.10255895,0.015070012
2005-11-02 00:00:00+00,SHORT,424,0.0,-0.08132836,0.0013364654
2005-11-02 00:00:00+00,SHORT,3013,0.5300979005807755,-0.046259843,-0.0027565404
2005-11-02 00:00:00+00,SHORT,3310,0.0,-0.16573836,0.011341258
2005-11-02 00:00:00+00,SHORT,3436,0.056742603108328224,-0.125,-0.0054106796
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,-0.18213515,0.009002147
2005-11-03 00:00:00+00,SHORT,2230,0.0,-0.052271917,-0.011850299
2005-11-03 00:00:00+00,SHORT,523,0.0,-0.020320646,0.0036939583
2005-11-03 00:00:00+00,SHORT,1280,0.0,-0.15030117,-0.00857048
2005-11-03 00:00:00+00,SHORT,1298,0.46305088161067637,-0.1324416,0.001270832
2005-11-03 00:00:00+00,SHORT,4000,0.29571493992995523,-0.15183347,-0.0105536645
2005-11-04 00:00:00+00,SHORT,4218,0.8332323531084966,-0.016322723,3.197954E-4
2005-11-04 00:00:00+00,SHORT,2568,0.0,-0.01915356,0.009033911
2005-11-04 00:00:00+00,SHORT,3613,0.0,-0.12438091,-0.0048606433
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,-0.10610035,0.0048919558
2005-11-08 00:00:00+00,SHORT,1368,0.0,-0.026120376,0.0031490498
2005-11-09 00:00:00+00,SHORT,3561,0.0,-0.16972625,-0.0065413266
2005-11-09 00:00:00+00,SHORT,3825,0.404195821177573,-0.088801794,-0.0066977027
2005-11-11 00:00:00+00,SHORT,2175,0.0,-0.13021882,0.0014787838
2005-11-22 00:00:00+00,SHORT,2554,0.07917341280905818,-0.055360287,-0.011776529
2005-11-23 00:00:00+00,SHORT,2923,1.0,-0.16461746,-0.011538253
2005-11-23 00:00:00+00,SHORT,3614,0.19205203466108217,-0.19073084,-0.0069992226
2005-11-29 00:00:00+00,SHORT,2557,0.0,-0.18942544,-0.007010126
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,-0.065862454,-5.145149E-4
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,-0.16033164,0.0105724735
2005-12-02 00:00:00+00,SHORT,3947,0.24664067137327406,-0.19462943,-0.0047838516
2005-12-06 00:00:00+00,SHORT,576,0.1587961950974222,-0.18259723,-0.008856941
2005-12-06 00:00:00+00,SHORT,862,0.39660285825089114,-0.0130293155,-0.0097854035
2005-12-07 00:00:00+00,SHORT,1615,0.0,-0.09355514,0.020317914
2005-12-08 00:00:00+00,SHORT,1108,0.5470108236330985,-0.065511644,-0.0051672705
2005-12-14 00:00:00+00,SHORT,4187,0.0,-0.031725742,-0.012011569
2005-12-14 00:00:00+00,SHORT,2582,0.0,-0.11509013,0.0033457442
2005-12-14 00:00:00+00,SHORT,1173,0.2203135379287504,-0.17286895,-0.006796347
2005-12-16 00:00:00+00,SHORT,3052,0.25939308310238945,-0.12776524,0.003976836
2005-12-27 00:00:00+00,SHORT,234,1.0,-0.11864013,-0.010841333
2005-12-27 00:00:00+00,SHORT,2710,0.0,-0.13907197,-0.0070139985
2005-12-30 00:00:00+00,SHORT,3861,0.75,-0.18822178,0.007466732
2006-01-04 00:00:00+00,SHORT,3838,0.6572552599700084,-0.1375969,-0.0033017336
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,-0.13227898,0.0027183378
2006-01-06 00:00:00+00,SHORT,19,0.0,-0.15292229,0.013398898
2006-01-06 00:00:00+00,SHORT,4218,0.0,-0.118960276,-0.0037498064
2006-01-06 00:00:00+00,SHORT,2990,0.6080884801225378,-0.17340438,-0.0041899094
2006-01-06 00:00:00+00,SHORT,1306,0.0,-0.08797654,-0.009013148
2006-01-06 00:00:00+00,SHORT,1897,1.0,-0.020741023,0.0043678433
2006-01-09 00:00:00+00,SHORT,2327,0.3527959295276325,-0.07807267,-4.1012745E-4
2006-01-09 00:00:00+00,SHORT,3130,0.792616808789317,-0.011923077,-0.0117582
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,-0.13627145,0.02223341
2006-01-09 00:00:00+00,SHORT,3923,0.24654697581693394,-0.1256789,-0.011686655
2006-01-10 00:00:00+00,SHORT,2084,1.0,-0.06292495,-0.0019341916
2006-01-10 00:00:00+00,SHORT,200,0.0,-0.04317974,-0.0045803036
2006-01-10 00:00:00+00,SHORT,610,1.0,-0.090719596,-0.0013949171
2006-01-10 00:00:00+00,SHORT,2999,0.32241567443035696,-0.01684397,-0.0010300061
