time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-09-12 00:00:00+00,LONG,3828,0.0,0.0,0.14589569
2005-09-13 00:00:00+00,LONG,3828,0.0,0.0,0.114059694
2005-09-14 00:00:00+00,LONG,3828,0.0,0.0,0.09007609
2005-09-15 00:00:00+00,LONG,3828,0.015509362230387163,0.0,0.059309658
2005-09-20 00:00:00+00,LONG,1410,1.0,0.0,0.020332053
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,0.0,0.029661145
2005-09-21 00:00:00+00,LONG,1633,0.6244816552148627,0.0,0.018047825
2005-10-03 00:00:00+00,LONG,3915,0.0,0.0,0.14853208
2005-10-04 00:00:00+00,LONG,3915,0.0,0.0,0.102315255
2005-10-05 00:00:00+00,LONG,3915,0.0,0.0,0.042511895
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.0,0.02515582
2005-10-12 00:00:00+00,LONG,2085,0.0,0.0,0.022075972
2005-10-12 00:00:00+00,LONG,68,1.0,0.0,0.02760659
2005-10-12 00:00:00+00,LONG,505,1.0,0.0,0.023965571
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,0.0,0.03723377
2005-10-12 00:00:00+00,LONG,1790,0.5731167926624297,0.0,0.048640866
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,0.0,0.019435737
2005-10-13 00:00:00+00,LONG,2396,1.0,0.0,0.016724942
2005-10-13 00:00:00+00,LONG,2778,0.6163102683063338,0.0,0.020902742
2005-10-13 00:00:00+00,LONG,3187,0.3918219750180463,0.0,0.018382028
2005-10-13 00:00:00+00,LONG,3614,1.0,0.0,0.02501369
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,0.0,0.032795887
2005-10-19 00:00:00+00,LONG,2050,1.0,0.0,0.03219071
2005-10-19 00:00:00+00,LONG,3621,0.8338523723251293,0.0,0.020171214
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,0.0,0.03701929
2005-10-20 00:00:00+00,LONG,2070,1.0,0.0,0.020688958
2005-10-20 00:00:00+00,LONG,2079,1.0,0.0,0.031324655
2005-10-20 00:00:00+00,LONG,3621,0.47435532157765087,0.0,0.018242994
2005-10-20 00:00:00+00,LONG,3824,0.962962962962963,0.0,0.01857257
2005-10-21 00:00:00+00,LONG,2050,0.9591836734693877,0.0,0.024205437
2005-10-21 00:00:00+00,LONG,684,1.0,0.0,0.052310314
2005-10-21 00:00:00+00,LONG,1092,1.0,0.0,0.014468073
2005-10-21 00:00:00+00,LONG,3794,1.0,0.0,0.04613081
2005-10-21 00:00:00+00,LONG,1819,1.0,0.0,0.041919656
2005-10-24 00:00:00+00,LONG,684,0.0,0.0,0.018385194
2005-10-24 00:00:00+00,LONG,1819,0.9666666666666667,0.0,0.014688753
