time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_10_df042,price_to_sales_rev_growth_zscore_universe_df073
2005-05-10 00:00:00+00,SHORT,433,0.0,-0.002104958,0.0,-0.0457
2005-05-10 00:00:00+00,SHORT,1826,0.0,0.0058070715,0.0,-0.0457
2005-05-11 00:00:00+00,SHORT,3116,0.12522969413183252,-0.0026510449,0.0,-0.0457
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,0.010388205,0.0,-0.0457
2005-05-26 00:00:00+00,SHORT,786,0.23623521286575727,-3.189186E-4,0.0,-0.0457
2005-05-27 00:00:00+00,SHORT,3702,0.7906111808740817,-0.0023665286,0.0,-0.0457
2005-06-01 00:00:00+00,SHORT,429,0.581885221419161,0.0075456584,0.0,-0.0457
2005-06-03 00:00:00+00,SHORT,4032,1.0,0.022713264,0.0,-0.0457
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,0.014115848,0.0,-0.0457
2005-06-06 00:00:00+00,SHORT,4032,0.8333333333333334,-0.0011201539,0.0,-0.0457
2005-06-07 00:00:00+00,SHORT,1678,0.19368624597879108,0.010800973,0.0,-0.0457
2005-06-09 00:00:00+00,SHORT,191,0.0,0.022188826,0.0,-0.0457
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,0.0011422494,0.0,-0.0457
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.008791258,0.0,-0.0457
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,-0.0010179938,0.0,-0.0457
2005-06-16 00:00:00+00,SHORT,356,0.3757201425148478,-0.0024010688,0.0,-0.0457
2005-06-16 00:00:00+00,SHORT,1306,0.3243481161875476,0.009352745,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,356,0.31727903949759373,-0.0035243947,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,498,0.0,0.01486712,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,8.984843E-4,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,1306,0.26661748005896696,0.0048994566,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,1383,0.0,0.0056283404,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,3773,0.23283628576186463,0.014237578,0.0,-0.0457
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.008482314,0.0,-0.0457
2005-06-20 00:00:00+00,SHORT,498,0.0,0.006377645,0.0,-0.0457
2005-06-20 00:00:00+00,SHORT,2993,0.0,0.012938128,0.0,-0.0457
2005-06-20 00:00:00+00,SHORT,1306,0.20930186090167194,-0.004279608,0.0,-0.0457
2005-06-20 00:00:00+00,SHORT,1377,0.3428708072175483,0.009924469,0.0,-0.0457
