time,side,ticker_id,mv_up_composite_labels,accel_price_1_df021,dist_lower_bb_50_2.0_df055,ma_cloud_diff_13_50_df007,vola_roc_21_5_df040
2007-08-30 00:00:00+00,LONG,3607,1.0,-0.022301944,0.024033451,-0.07072157,0.7028674
2007-08-30 00:00:00+00,LONG,1803,0.0,-0.035307717,-0.019918824,-0.0802566,0.64500934
2007-09-07 00:00:00+00,LONG,401,0.0,-0.035941135,-0.035138845,-0.08184237,0.48353586
2007-09-10 00:00:00+00,LONG,773,1.0,6.2970084E-4,0.002153816,-0.05020289,0.64315355
2007-09-10 00:00:00+00,LONG,988,1.0,-0.032428794,0.0031038134,-0.085188955,0.5412572
2007-09-19 00:00:00+00,LONG,2534,0.0,-0.05138889,-0.030168956,-0.050794914,0.8165967
2007-09-25 00:00:00+00,LONG,2670,0.0,-0.010633675,-0.021953285,-0.0775141,0.8896715
2007-11-07 00:00:00+00,LONG,799,0.13229886262605883,-0.038102377,0.007628375,-0.06273217,0.9125643
2007-11-14 00:00:00+00,LONG,220,0.0,-0.05404744,0.016644925,-0.05187546,0.86375916
2007-11-14 00:00:00+00,LONG,2482,0.0,-0.037928022,-0.0037673225,-0.06718372,0.6332296
2007-11-14 00:00:00+00,LONG,786,0.9166666666666666,-0.024644256,-0.023045769,-0.075931184,0.8627918
2007-11-15 00:00:00+00,LONG,786,0.6393283461668848,0.002787826,-0.03303572,-0.07866912,0.37772337
2007-11-21 00:00:00+00,LONG,2262,0.0,-0.016752224,0.011997656,-0.06761127,0.80138916
2007-11-26 00:00:00+00,LONG,2262,0.0,-0.056681857,-0.011601159,-0.06886365,0.5351495
2007-11-26 00:00:00+00,LONG,3515,0.0,0.008108267,-0.012616052,-0.08864444,0.6662327
2007-11-27 00:00:00+00,LONG,3283,1.0,6.526722E-4,4.676793E-4,-0.061515808,0.70447004
2007-11-27 00:00:00+00,LONG,3686,0.0,0.00801166,0.031779326,-0.061415944,0.4257654
2007-11-27 00:00:00+00,LONG,1740,0.0,0.0056910203,0.018170357,-0.05005479,0.88474786
2007-11-29 00:00:00+00,LONG,897,0.0,-0.007669793,-0.033489965,-0.06293667,0.51630884
2007-11-29 00:00:00+00,LONG,1740,0.0,-0.0013082669,-0.030311424,-0.06013252,0.8772227
2007-11-30 00:00:00+00,LONG,1740,0.0,-0.020094965,-0.033562075,-0.059686437,0.75402594
2007-12-03 00:00:00+00,LONG,3515,0.0,-0.042260733,-0.031900246,-0.08885382,0.67126393
2007-12-04 00:00:00+00,LONG,2550,0.0,-0.010158594,-0.023620706,-0.06347318,0.48277104
2007-12-17 00:00:00+00,LONG,88,1.0,-0.028178908,-0.0076877153,-0.06762243,0.9121409
2008-01-04 00:00:00+00,LONG,3973,1.0,-0.02376288,0.012568582,-0.07070282,0.80627584
2008-01-16 00:00:00+00,LONG,631,1.0,0.0037342745,0.02632799,-0.06253284,0.35475954
2008-01-17 00:00:00+00,LONG,4107,0.9666666666666667,-0.0018908661,0.008465144,-0.0496452,0.83487695
2008-01-22 00:00:00+00,LONG,2107,0.0,0.016423611,0.031368222,-0.07284205,0.93021417
2008-01-22 00:00:00+00,LONG,304,1.0,0.011365626,-0.021803452,-0.07254067,0.58039266
2008-01-22 00:00:00+00,LONG,2877,0.0,-0.0051303552,0.018473867,-0.07591981,0.6415817
2008-01-22 00:00:00+00,LONG,1022,0.0,0.013411443,-0.030520683,-0.066497795,0.90778565
2008-01-22 00:00:00+00,LONG,1063,0.5305007964694448,-0.008660508,0.0034911414,-0.08886088,0.82723236
2008-01-22 00:00:00+00,LONG,3501,1.0,0.007505297,0.03392032,-0.078344844,0.62335336
2008-01-22 00:00:00+00,LONG,1684,0.0,0.017778452,0.02207065,-0.08800748,0.575342
2008-01-22 00:00:00+00,LONG,3907,1.0,-0.013655344,0.004908386,-0.07329247,0.4972436
2008-01-22 00:00:00+00,LONG,2018,0.0,0.009924109,0.013870892,-0.056113113,0.5257492
