time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,joint_fall_flag_1_10_df042,dist_upper_bb_50_2.5_df055
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.0,0.0,-9.493819E-4
2005-07-15 00:00:00+00,SHORT,1939,1.0,0.0,0.0,-0.0011176633
2005-07-19 00:00:00+00,SHORT,2686,0.9256075021455707,0.0,0.0,-8.900031E-4
2005-07-19 00:00:00+00,SHORT,1667,1.0,0.0,0.0,-0.013846088
2005-07-19 00:00:00+00,SHORT,1939,0.8888888888888888,0.0,0.0,-0.017522922
2005-07-20 00:00:00+00,SHORT,2070,0.7810838409359055,0.0,0.0,-0.016568428
2005-07-20 00:00:00+00,SHORT,2305,1.0,0.0,0.0,-0.017729875
2005-07-20 00:00:00+00,SHORT,2686,0.574239527591335,0.0,0.0,-0.012817161
2005-07-20 00:00:00+00,SHORT,2815,0.5196730070315535,0.0,0.0,-0.0073550325
2005-07-20 00:00:00+00,SHORT,858,0.6153846153846154,0.0,0.0,-0.019960992
2005-07-20 00:00:00+00,SHORT,959,1.0,0.0,0.0,-0.016023366
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,0.0,0.0,0.0049305577
2005-07-21 00:00:00+00,SHORT,3310,0.5214655850611303,0.0,0.0,-0.020012753
2005-07-21 00:00:00+00,SHORT,1454,0.6755778798696086,0.0,0.0,-0.014729483
2005-07-21 00:00:00+00,SHORT,1615,0.0,0.0,0.0,-0.015139062
2005-07-21 00:00:00+00,SHORT,3794,1.0,0.0,0.0,0.005551312
2005-07-21 00:00:00+00,SHORT,1761,0.9333333333333333,0.0,0.0,-0.0043885303
2005-07-21 00:00:00+00,SHORT,3973,0.3527971835415313,0.0,0.0,-0.0059597967
2005-07-22 00:00:00+00,SHORT,937,0.341928545424992,0.0,0.0,-0.011914865
2005-07-22 00:00:00+00,SHORT,3794,0.8,0.0,0.0,-0.0015622373
2005-07-22 00:00:00+00,SHORT,1761,0.49941595133716393,0.0,0.0,-0.0053956136
2005-07-22 00:00:00+00,SHORT,3973,0.5089795294831431,0.0,0.0,-0.009513091
2005-07-25 00:00:00+00,SHORT,836,0.3272302843793211,0.0,0.0,-0.0051893103
2005-07-25 00:00:00+00,SHORT,3699,0.0,0.0,0.0,-0.0038025442
2005-07-25 00:00:00+00,SHORT,3748,0.9230769230769231,0.0,0.0,0.004426668
2005-07-25 00:00:00+00,SHORT,3794,0.6,0.0,0.0,3.0740324E-4
2005-07-25 00:00:00+00,SHORT,1761,0.3285606186739385,0.0,0.0,-0.015844284
2005-07-25 00:00:00+00,SHORT,3973,0.24082261146146247,0.0,0.0,-0.020034902
