time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,price_drift_abs_21_df006
2007-01-12 00:00:00+00,LONG,3466,0.9259259259259259,-0.6666626,0.1215478
2007-01-12 00:00:00+00,LONG,1908,0.8888888888888888,-0.84239465,0.13333334
2007-01-16 00:00:00+00,LONG,2546,0.15894108072355603,-0.8462355,0.12782316
2007-01-16 00:00:00+00,LONG,2569,0.7261974691593143,-0.81523204,0.14389578
2007-01-16 00:00:00+00,LONG,2896,0.6844111144128577,-0.6606287,0.1180181
2007-01-16 00:00:00+00,LONG,3466,0.8888888888888888,-0.6612066,0.12479176
2007-01-17 00:00:00+00,LONG,2546,0.12900081994137888,-0.64786077,0.105569005
2007-01-22 00:00:00+00,LONG,1700,1.0,-0.78314114,0.10980675
2007-02-16 00:00:00+00,LONG,1826,0.0,-0.82010293,0.11413267
2007-03-05 00:00:00+00,LONG,4194,0.3685614381176906,-0.6364243,0.14384782
2007-03-05 00:00:00+00,LONG,135,0.0,-0.73012865,0.13848856
2007-03-05 00:00:00+00,LONG,2351,0.44074797074950794,-0.83267176,0.13857926
2007-03-05 00:00:00+00,LONG,629,1.0,-0.74499613,0.11201907
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,-0.93410623,0.14294152
2007-03-05 00:00:00+00,LONG,3255,0.0,-0.76237583,0.14073792
2007-03-05 00:00:00+00,LONG,3621,0.1758163316109731,-0.7100661,0.11177235
2007-03-05 00:00:00+00,LONG,3677,1.0,-0.6450722,0.17052194
2007-03-06 00:00:00+00,LONG,4194,0.3956710061141627,-0.7901608,0.13901165
2007-03-06 00:00:00+00,LONG,135,0.0,-0.8098411,0.13213322
2007-03-06 00:00:00+00,LONG,2351,0.0,-0.6663912,0.106375836
2007-03-06 00:00:00+00,LONG,3192,0.9795918367346939,-0.83037794,0.1420256
2007-03-07 00:00:00+00,LONG,4194,0.3257184439458873,-0.6541516,0.13599685
2007-03-07 00:00:00+00,LONG,2351,0.0,-0.6860214,0.12281879
2007-03-07 00:00:00+00,LONG,2497,0.9545454545454546,-0.6625886,0.13527511
2007-03-07 00:00:00+00,LONG,3192,0.6356389465711622,-0.7766708,0.13255131
2007-03-29 00:00:00+00,LONG,4169,0.0,-0.763243,0.13129842
2007-03-30 00:00:00+00,LONG,4169,0.0,-0.71633613,0.13093106
2007-04-02 00:00:00+00,LONG,4169,0.0,-0.63716,0.13030817
2007-04-25 00:00:00+00,LONG,3837,0.0,-0.7623722,0.10961366
2007-05-01 00:00:00+00,LONG,2067,0.22747362016426204,-0.6468554,0.13987836
2007-05-01 00:00:00+00,LONG,3862,1.0,-0.8619706,0.13020697
2007-05-02 00:00:00+00,LONG,2067,0.0,-0.70459896,0.11703057
2007-05-02 00:00:00+00,LONG,3862,0.6082191635213984,-0.88643694,0.119687095
2007-05-03 00:00:00+00,LONG,3862,0.6313477999531862,-0.875285,0.1647996
2007-05-17 00:00:00+00,LONG,195,0.0,-0.8642512,0.10548242
2007-05-18 00:00:00+00,LONG,195,0.0,-0.79974544,0.13286264
2007-05-21 00:00:00+00,LONG,195,0.0,-0.77942824,0.12570599
2007-05-22 00:00:00+00,LONG,195,0.0,-0.7639923,0.1323364
2007-05-23 00:00:00+00,LONG,195,0.0,-0.6970722,0.10584776
2007-06-06 00:00:00+00,LONG,1176,0.8918918918918919,-0.64472014,0.1263298
2007-06-07 00:00:00+00,LONG,580,0.0,-0.6636511,0.108133525
2007-06-11 00:00:00+00,LONG,1176,0.967741935483871,-0.661724,0.15135835
2007-06-12 00:00:00+00,LONG,3192,0.4619654538673264,-0.7847853,0.1217086
2007-06-12 00:00:00+00,LONG,1807,0.0,-0.6454862,0.16083916
2007-06-13 00:00:00+00,LONG,2066,0.2794256931200627,-0.8621227,0.1274298
2007-06-14 00:00:00+00,LONG,2066,0.2313026999283997,-0.8123338,0.11208406
2007-06-19 00:00:00+00,LONG,142,0.0,-0.78397304,0.123242736
2007-06-20 00:00:00+00,LONG,142,0.0,-0.7693683,0.12766455
2007-06-20 00:00:00+00,LONG,858,0.0,-0.8788884,0.12145749
2007-06-25 00:00:00+00,LONG,3521,0.0,-0.7711865,0.15361828
2007-06-29 00:00:00+00,LONG,2125,0.0,-0.7279495,0.12443778
2007-07-24 00:00:00+00,LONG,1368,1.0,-0.80554837,0.112068966
2007-07-25 00:00:00+00,LONG,1368,0.9736842105263158,-0.6610327,0.10574949
2007-08-01 00:00:00+00,LONG,270,0.5649020867951713,-0.64610666,0.12193413
2007-08-01 00:00:00+00,LONG,2352,0.3171585055692773,-0.7260856,0.12093736
2007-08-03 00:00:00+00,LONG,121,0.0,-0.8148181,0.12281201
2007-08-06 00:00:00+00,LONG,523,0.4191023183601767,-0.72385144,0.12815246
2007-08-09 00:00:00+00,LONG,858,1.0,-0.752987,0.16231087
2007-08-09 00:00:00+00,LONG,1144,0.0,-0.84592813,0.15643352
2007-08-16 00:00:00+00,LONG,602,1.0,-0.8077637,0.15122017
2007-08-16 00:00:00+00,LONG,3109,0.0,-0.66131425,0.13176471
2007-08-16 00:00:00+00,LONG,1063,0.18986883443045796,-0.8436402,0.15500425
2007-08-16 00:00:00+00,LONG,3853,0.0,-0.6647045,0.15550363
2007-08-17 00:00:00+00,LONG,1803,0.35303760616087887,-0.63916415,0.13837838
2007-08-20 00:00:00+00,LONG,3109,0.9672131147540983,-0.7905859,0.12463083
2007-08-20 00:00:00+00,LONG,1803,0.27827135324172414,-0.76139325,0.14726394
2007-08-21 00:00:00+00,LONG,3109,0.0,-0.70429254,0.1196934
2007-08-21 00:00:00+00,LONG,1803,0.24839045552630004,-0.70729154,0.1300813
2007-08-22 00:00:00+00,LONG,243,0.9344262295081968,-0.70562416,0.11818397
2007-08-22 00:00:00+00,LONG,1803,0.23844199138426184,-0.671013,0.12710483
2007-09-07 00:00:00+00,LONG,638,0.0,-0.7552738,0.14760585
2007-09-10 00:00:00+00,LONG,3187,0.0,-0.65957904,0.12339332
2007-09-21 00:00:00+00,LONG,3049,0.0,-0.6597563,0.114788525
2007-09-28 00:00:00+00,LONG,2061,1.0,-0.6857424,0.14503817
2007-10-24 00:00:00+00,LONG,3556,0.0,-0.7644298,0.15550064
2007-11-01 00:00:00+00,LONG,417,0.0,-0.7198213,0.11745454
2007-11-01 00:00:00+00,LONG,517,0.0,-0.7210877,0.11047938
2007-11-05 00:00:00+00,LONG,517,0.0,-0.6490346,0.12466179
2007-11-05 00:00:00+00,LONG,799,0.0,-0.7976668,0.12702702
